"id","actor1","actor2","relation","x","year"
"1","吴京","弗兰克?格里罗","1","战狼2","2017"
"2","吴京","吴刚","1","战狼2","2017"
"3","吴京","张翰","1","战狼2","2017"
"4","吴京","卢靖姗","1","战狼2","2017"
"5","弗兰克?格里罗","吴刚","1","战狼2","2017"
"6","弗兰克?格里罗","张翰","1","战狼2","2017"
"7","弗兰克?格里罗","卢靖姗","1","战狼2","2017"
"8","吴刚","张翰","1","战狼2","2017"
"9","吴刚","卢靖姗","1","战狼2","2017"
"10","张翰","卢靖姗","1","战狼2","2017"
"11","邓超","彭于晏","1","乘风破浪","2017"
"12","邓超","赵丽颖","1","乘风破浪","2017"
"13","邓超","董子健","1","乘风破浪","2017"
"14","邓超","金士杰","1","乘风破浪","2017"
"15","彭于晏","赵丽颖","1","乘风破浪","2017"
"16","彭于晏","董子健","1","乘风破浪","2017"
"17","彭于晏","金士杰","1","乘风破浪","2017"
"18","赵丽颖","董子健","1","乘风破浪","2017"
"19","赵丽颖","金士杰","1","乘风破浪","2017"
"20","董子健","金士杰","1","乘风破浪","2017"
"21","吴亦凡","林更新","1","西游伏妖篇","2017"
"22","吴亦凡","姚晨","1","西游伏妖篇","2017"
"23","吴亦凡","林允","1","西游伏妖篇","2017"
"24","吴亦凡","包贝尔","1","西游伏妖篇","2017"
"25","林更新","姚晨","1","西游伏妖篇","2017"
"26","林更新","林允","1","西游伏妖篇","2017"
"27","林更新","包贝尔","1","西游伏妖篇","2017"
"28","姚晨","林允","1","西游伏妖篇","2017"
"29","姚晨","包贝尔","1","西游伏妖篇","2017"
"30","林允","包贝尔","1","西游伏妖篇","2017"
"31","黄渤","段奕宏","1","记忆大师","2017"
"32","黄渤","徐静蕾","1","记忆大师","2017"
"33","黄渤","杨子姗","1","记忆大师","2017"
"34","黄渤","梁杰理","1","记忆大师","2017"
"35","段奕宏","徐静蕾","1","记忆大师","2017"
"36","段奕宏","杨子姗","1","记忆大师","2017"
"37","段奕宏","梁杰理","1","记忆大师","2017"
"38","徐静蕾","杨子姗","1","记忆大师","2017"
"39","徐静蕾","梁杰理","1","记忆大师","2017"
"40","杨子姗","梁杰理","1","记忆大师","2017"
"41","金城武","周冬雨","1","喜欢你","2017"
"42","金城武","孙艺洲","1","喜欢你","2017"
"43","金城武","奚梦瑶","1","喜欢你","2017"
"44","金城武","杨?宁","1","喜欢你","2017"
"45","周冬雨","孙艺洲","1","喜欢你","2017"
"46","周冬雨","奚梦瑶","1","喜欢你","2017"
"47","周冬雨","杨?宁","1","喜欢你","2017"
"48","孙艺洲","奚梦瑶","1","喜欢你","2017"
"49","孙艺洲","杨?宁","1","喜欢你","2017"
"50","奚梦瑶","杨?宁","1","喜欢你","2017"
"51","王凯","张鲁一","1","嫌疑人X的献身","2017"
"52","王凯","林心如","1","嫌疑人X的献身","2017"
"53","王凯","叶祖新","1","嫌疑人X的献身","2017"
"54","王凯","丁冠森","1","嫌疑人X的献身","2017"
"55","张鲁一","林心如","1","嫌疑人X的献身","2017"
"56","张鲁一","叶祖新","1","嫌疑人X的献身","2017"
"57","张鲁一","丁冠森","1","嫌疑人X的献身","2017"
"58","林心如","叶祖新","1","嫌疑人X的献身","2017"
"59","林心如","丁冠森","1","嫌疑人X的献身","2017"
"60","叶祖新","丁冠森","1","嫌疑人X的献身","2017"
"61","张震","杨幂","1","绣春刀II：修罗战场","2017"
"62","张震","张译","1","绣春刀II：修罗战场","2017"
"63","张震","雷佳音","1","绣春刀II：修罗战场","2017"
"64","张震","辛芷蕾","1","绣春刀II：修罗战场","2017"
"65","杨幂","张译","1","绣春刀II：修罗战场","2017"
"66","杨幂","雷佳音","1","绣春刀II：修罗战场","2017"
"67","杨幂","辛芷蕾","1","绣春刀II：修罗战场","2017"
"68","张译","雷佳音","1","绣春刀II：修罗战场","2017"
"69","张译","辛芷蕾","1","绣春刀II：修罗战场","2017"
"70","雷佳音","辛芷蕾","1","绣春刀II：修罗战场","2017"
"71","刘亦菲","杨洋","1","三生三世十里桃花","2017"
"72","刘亦菲","罗晋","1","三生三世十里桃花","2017"
"73","刘亦菲","严屹宽","1","三生三世十里桃花","2017"
"74","刘亦菲","李纯","1","三生三世十里桃花","2017"
"75","杨洋","罗晋","1","三生三世十里桃花","2017"
"76","杨洋","严屹宽","1","三生三世十里桃花","2017"
"77","杨洋","李纯","1","三生三世十里桃花","2017"
"78","罗晋","严屹宽","1","三生三世十里桃花","2017"
"79","罗晋","李纯","1","三生三世十里桃花","2017"
"80","严屹宽","李纯","1","三生三世十里桃花","2017"
"81","小连杀","图特哈蒙","1","大护法","2017"
"82","小连杀","金士杰","1","大护法","2017"
"83","小连杀","幽舞越山","1","大护法","2017"
"84","小连杀","李佳怡","1","大护法","2017"
"85","图特哈蒙","金士杰","1","大护法","2017"
"86","图特哈蒙","幽舞越山","1","大护法","2017"
"87","图特哈蒙","李佳怡","1","大护法","2017"
"88","金士杰","幽舞越山","1","大护法","2017"
"89","金士杰","李佳怡","1","大护法","2017"
"90","幽舞越山","李佳怡","1","大护法","2017"
"91","成龙","李治廷","1","功夫瑜伽","2017"
"92","成龙","张艺兴","1","功夫瑜伽","2017"
"93","成龙","索努?苏德","1","功夫瑜伽","2017"
"94","成龙","母其弥雅","1","功夫瑜伽","2017"
"95","李治廷","张艺兴","1","功夫瑜伽","2017"
"96","李治廷","索努?苏德","1","功夫瑜伽","2017"
"97","李治廷","母其弥雅","1","功夫瑜伽","2017"
"98","张艺兴","索努?苏德","1","功夫瑜伽","2017"
"99","张艺兴","母其弥雅","1","功夫瑜伽","2017"
"100","索努?苏德","母其弥雅","1","功夫瑜伽","2017"
"101","邓超","罗志祥","1","美人鱼","2016"
"102","邓超","张雨绮","1","美人鱼","2016"
"103","邓超","林允","1","美人鱼","2016"
"104","邓超","徐克","1","美人鱼","2016"
"105","罗志祥","张雨绮","1","美人鱼","2016"
"106","罗志祥","林允","1","美人鱼","2016"
"107","罗志祥","徐克","1","美人鱼","2016"
"108","张雨绮","林允","1","美人鱼","2016"
"109","张雨绮","徐克","1","美人鱼","2016"
"110","林允","徐克","1","美人鱼","2016"
"111","张涵予","彭于晏","1","湄公河行动","2016"
"112","张涵予","孙淳","1","湄公河行动","2016"
"113","张涵予","陈宝国","1","湄公河行动","2016"
"114","张涵予","冯文娟","1","湄公河行动","2016"
"115","彭于晏","孙淳","1","湄公河行动","2016"
"116","彭于晏","陈宝国","1","湄公河行动","2016"
"117","彭于晏","冯文娟","1","湄公河行动","2016"
"118","孙淳","陈宝国","1","湄公河行动","2016"
"119","孙淳","冯文娟","1","湄公河行动","2016"
"120","陈宝国","冯文娟","1","湄公河行动","2016"
"121","任素汐","大力","1","驴得水","2016"
"122","任素汐","刘帅良","1","驴得水","2016"
"123","任素汐","裴魁山","1","驴得水","2016"
"124","任素汐","阿如那","1","驴得水","2016"
"125","大力","刘帅良","1","驴得水","2016"
"126","大力","裴魁山","1","驴得水","2016"
"127","大力","阿如那","1","驴得水","2016"
"128","刘帅良","裴魁山","1","驴得水","2016"
"129","刘帅良","阿如那","1","驴得水","2016"
"130","裴魁山","阿如那","1","驴得水","2016"
"131","周冬雨","马思纯","1","七月与安生","2016"
