city	year	wnum
七台河	2017	144336
三亚	2017	89376
三明	2017	110360
三门峡	2017	140000
上海	2017	116264
上饶	2017	107752
东莞	2017	168704
东营	2017	108168
中卫	2017	145840
中山	2017	123728
临夏	2017	120592
临汾	2017	138072
临沂	2017	111360
临沧	2017	114416
丹东	2017	106256
丽水	2017	137088
丽江	2017	128016
乌兰察布	2017	125032
乌海	2017	150936
乌鲁木齐	2017	164504
乐山	2017	102984
九江	2017	80336
云浮	2017	131480
亳州	2017	185016
伊春	2017	105008
伊犁	2017	127888
佛山	2017	162456
佳木斯	2017	99408
保定	2017	146856
保山	2017	115976
信阳	2017	144832
六安	2017	122184
六盘水	2017	135136
兰州	2017	143520
内江	2017	100944
凉山	2017	123288
包头	2017	157240
北京	2017	124256
北海	2017	103160
十堰	2017	120160
南京	2017	152712
南充	2017	136968
南宁	2017	214880
南平	2017	123632
南昌	2017	121216
南通	2017	135392
南阳	2017	157744
厦门	2017	110416
双鸭山	2017	172776
台州	2017	156696
合肥	2017	185488
吉安	2017	97368
吉林	2017	117320
吕梁	2017	146952
吴忠	2017	136192
周口	2017	144400
呼伦贝尔	2017	101504
呼和浩特	2017	161112
咸宁	2017	131008
咸阳	2017	128600
哈尔滨	2017	151560
唐山	2017	132416
商丘	2017	214728
商洛	2017	134928
嘉兴	2017	122424
嘉峪	2017	134976
四平	2017	145392
固原	2017	143464
大同	2017	112256
大庆	2017	125536
大理	2017	141272
大连	2017	8
天水	2017	149864
天津	2017	105120
太原	2017	104720
威海	2017	132200
娄底	2017	105304
孝感	2017	118088
宁德	2017	132968
宁波	2017	159048
安庆	2017	104816
安康	2017	143000
安阳	2017	135832
安顺	2017	152432
定西	2017	154352
宜宾	2017	160072
宜昌	2017	116960
宜春	2017	109128
宝鸡	2017	137472
宣城	2017	155856
宿州	2017	110344
宿迁	2017	205384
岳阳	2017	125040
崇左	2017	124664
巴中	2017	128488
巴彦淖尔	2017	112328
巴音郭楞	2017	134928
常州	2017	75238
常德	2017	152160
平凉	2017	135600
平顶山	2017	122120
广元	2017	163688
广安	2017	162792
广州	2017	156968
庆阳	2017	129096
廊坊	2017	148320
延安	2017	148008
延边	2017	103440
开封	2017	156960
张家口	2017	147424
张家界	2017	123568
张掖	2017	164992
徐州	2017	210264
德宏	2017	111024
德州	2017	117792
德阳	2017	48
忻州	2017	201480
怀化	2017	115232
恩施	2017	109136
惠州	2017	165360
成都	2017	120
扬州	2017	145608
承德	2017	179608
抚州	2017	112752
抚顺	2017	8
揭阳	2017	126560
攀枝花	2017	107024
文山	2017	155592
新乡	2017	132536
新余	2017	120096
无锡	2017	150360
日照	2017	182888
昆明	2017	154560
昭通	2017	141728
晋中	2017	213912
晋城	2017	131448
普洱	2017	105936
景德镇	2017	84048
曲靖	2017	128696
朔州	2017	180864
朝阳	2017	154112
本溪	2017	16
来宾	2017	144696
杭州	2017	137128
松原	2017	132808
枣庄	2017	130944
柳州	2017	122624
株洲	2017	127912
桂林	2017	119448
梅洲	2017	141184
梧州	2017	126048
楚雄	2017	139248
榆林	2017	123312
武威	2017	117984
武汉	2017	111056
永州	2017	160584
汉中	2017	141544
汕头	2017	115856
汕尾	2017	116120
江门	2017	169792
池州	2017	126504
沈阳	2017	141512
沧州	2017	121144
河池	2017	153136
河源	2017	127968
泉州	2017	130160
泰安	2017	128968
泰州	2017	163240
泸州	2017	92656
洛阳	2017	129072
济南	2017	142024
济宁	2017	109048
海北	2017	120736
海口	2017	114648
海西	2017	131672
淄博	2017	104992
淮北	2017	115744
淮南	2017	123248
淮安	2017	128432
深圳	2017	159224
