city_name year num
七台河 2017 32
三亚 2017 16
三明 2017 32
三门峡 2017 40
上海 2017 8
上饶 2017 16
东莞 2017 24
东营 2017 24
中卫 2017 0
中山 2017 32
临夏 2017 0
临汾 2017 24
临沂 2017 24
临沧 2017 48
丹东 2017 32
丽水 2017 8
丽江 2017 32
乌兰察布 2017 8
乌海 2017 16
乌鲁木齐 2017 8
乐山 2017 16
九江 2017 0
云浮 2017 0
亳州 2017 24
伊春 2017 0
伊犁 2017 8
佛山 2017 0
佳木斯 2017 0
保定 2017 8
保山 2017 32
信阳 2017 0
六安 2017 56
六盘水 2017 16
兰州 2017 8
内江 2017 16
凉山 2017 16
包头 2017 32
北京 2017 0
北海 2017 0
十堰 2017 16
南京 2017 16
南充 2017 0
南宁 2017 24
南平 2017 40
南昌 2017 32
南通 2017 48
南阳 2017 16
厦门 2017 8
双鸭山 2017 8
台州 2017 8
合肥 2017 0
吉安 2017 40
吉林 2017 0
吕梁 2017 48
吴忠 2017 16
周口 2017 24
呼伦贝尔 2017 24
呼和浩特 2017 64
咸宁 2017 24
咸阳 2017 8
哈尔滨 2017 40
唐山 2017 8
商丘 2017 0
商洛 2017 8
嘉兴 2017 16
嘉峪 2017 40
四平 2017 0
固原 2017 40
大同 2017 40
大庆 2017 16
大理 2017 40
大连 2017 0
天水 2017 0
天津 2017 48
太原 2017 16
威海 2017 32
娄底 2017 8
孝感 2017 8
宁德 2017 16
宁波 2017 24
安庆 2017 8
安康 2017 8
安阳 2017 72
安顺 2017 16
定西 2017 8
宜宾 2017 24
宜昌 2017 24
宜春 2017 8
宝鸡 2017 0
宣城 2017 16
宿州 2017 16
宿迁 2017 8
岳阳 2017 24
崇左 2017 32
巴中 2017 16
巴彦淖尔 2017 0
巴音郭楞 2017 8
常州 2017 5
常德 2017 8
平凉 2017 24
平顶山 2017 80
广元 2017 0
广安 2017 16
广州 2017 16
庆阳 2017 0
廊坊 2017 0
延安 2017 24
延边 2017 8
开封 2017 24
张家口 2017 24
张家界 2017 8
张掖 2017 32
徐州 2017 0
德宏 2017 8
德州 2017 8
德阳 2017 0
忻州 2017 8
怀化 2017 8
恩施 2017 8
惠州 2017 8
成都 2017 0
扬州 2017 8
承德 2017 40
抚州 2017 32
抚顺 2017 0
揭阳 2017 8
攀枝花 2017 16
文山 2017 24
新乡 2017 24
新余 2017 48
无锡 2017 56
日照 2017 0
昆明 2017 64
昭通 2017 16
晋中 2017 0
晋城 2017 0
普洱 2017 48
景德镇 2017 0
曲靖 2017 24
朔州 2017 16
朝阳 2017 0
本溪 2017 0
来宾 2017 32
杭州 2017 16
松原 2017 8
枣庄 2017 16
柳州 2017 8
株洲 2017 48
桂林 2017 0
梅洲 2017 16
梧州 2017 24
楚雄 2017 40
榆林 2017 56
武威 2017 16
武汉 2017 0
永州 2017 24
汉中 2017 8
汕头 2017 8
汕尾 2017 8
江门 2017 0
池州 2017 24
沈阳 2017 88
沧州 2017 16
河池 2017 56
河源 2017 8
泉州 2017 24
泰安 2017 8
泰州 2017 8
泸州 2017 8
洛阳 2017 32
济南 2017 16
济宁 2017 8
海北 2017 0
海口 2017 0
海西 2017 72
淄博 2017 8
淮北 2017 16
淮南 2017 24
淮安 2017 48
深圳 2017 0
清远 2017 8
温州 2017 0
渭南 2017 0
湖州 2017 0
湘潭 2017 64
湘西 2017 8
湛江 2017 8
滁州 2017 32
滨州 2017 24
漯河 2017 32
漳州 2017 0
潍坊 2017 16
潮州 2017 16
濮阳 2017 24
烟台 2017 16
焦作 2017 32
牡丹江 2017 0
玉林 2017 24
玉溪 2017 72
珠海 2017 0
甘南 2017 16
甘孜 2017 0
白城 2017 16
白山 2017 0
白银 2017 24
百色 2017 32
益阳 2017 0
盐城 2017 16
盘锦 2017 16
眉山 2017 8
石嘴山 2017 32
石家庄 2017 16
福州 2017 16
秦皇岛 2017 32
红河 2017 56
绍兴 2017 0
绥化 2017 8
绵阳 2017 0
聊城 2017 8
肇庆 2017 16
自贡 2017 8
舟山 2017 24
芜湖 2017 0
苏州 2017 32
茂名 2017 32
荆州 2017 8
荆门 2017 40
莆田 2017 8
莱芜 2017 48
菏泽 2017 8
萍乡 2017 24
营口 2017 56
葫芦岛 2017 32
蚌埠 2017 0
衡水 2017 16
衡阳 2017 16
衢州 2017 0
襄阳 2017 24
西双 2017 8
西宁 2017 16
西安 2017 16
许昌 2017 24
贵港 2017 0
贵阳 2017 8
贺州 2017 16
赣州 2017 8
赤峰 2017 32
辽源 2017 56
辽阳 2017 56
达州 2017 16
运城 2017 72
连云港 2017 8
迪庆 2017 0
通化 2017 24
通辽 2017 24
遂宁 2017 0
遵义 2017 16
邢台 2017 0
邯郸 2017 24
邵阳 2017 24
郑州 2017 0
郴州 2017 32
鄂尔多斯 2017 0
鄂州 2017 24
酒泉 2017 24
重庆 2017 88
金华 2017 8
金昌 2017 0
钦州 2017 16
铁岭 2017 0
铜川 2017 16
铜陵 2017 72
银川 2017 40
锦州 2017 56
镇江 2017 40
长春 2017 16
长沙 2017 16
长治 2017 72
阜新 2017 48
阜阳 2017 0
防城港 2017 32
阳江 2017 0
阳泉 2017 16
阿坝 2017 16
陇南 2017 8
随州 2017 48
雅安 2017 8
青岛 2017 8
鞍山 2017 64
韶关 2017 32
马鞍山 2017 24
驻马店 2017 0
鸡西 2017 0
鹤壁 2017 16
鹤岗 2017 0
鹰潭 2017 8
黄冈 2017 32
黄南 2017 0
黄山 2017 80
黄石 2017 48
黑河 2017 0
黔东南 2017 40
黔南 2017 24
黔西南 2017 0
齐齐哈尔 2017 32
龙岩 2017 40
