author_first,city_code1,ym1,city_unitn1,city_units1,class_num1,mag_classn1,class_num_num1,mag_classn_num1,coauthor1,city_code2,ym2,city_unitn2,city_units2,class_num2,mag_classn2,class_num_num2,mag_classn_num2,coauthor2
万广华,5301.0,2013-05-01;2008-12-01;2008-04-01;2012-04-01;2008-10-01;2008-04-01;,1.0,云南财经大学;,F;F;F;F;F;D;D;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1, 张茵; M.S.Qureshi; 伏润民; 吴一平; 张藕香;,6104.0,2006-06-01;2004-08-01;,1.0,西北农林科技大学;,F;F;,经济与管理;经济与管理;,1,1, 张茵;
云鹤,4401.0,2004-07-01;,1.0,中山大学;,F;F;,经济与管理;,1,1, 刘涛; 舒元;,3301.0,2005-06-01;2012-01-01;2008-07-01;,1.0,浙江理工大学;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1, 舒元; 胡剑锋; 吕品; 舒元;
付强,3701.0,2017-03-01;,1.0,山东大学;,F;,经济与管理;,1,1,,5000.0,2013-04-01;,1.0,重庆大学;,F;,经济与管理;,1,1, 刘星; 计方;
付文林,3100.0,2014-05-01;2012-05-01;,1.0,上海财经大学;,F;F;F;F;,经济与管理;经济与管理;,1,1, 赵永辉; 沈坤荣;,3201.0,2011-07-01;,1.0,南京大学;,F;F;F;,经济与管理;,1,1, 耿强;
代谦,3502.0,2015-10-01;,1.0,厦门大学;,K;D;,经济与管理;,2,1, 别朝霞;,4201.0,2015-05-01;2010-06-01;2009-03-01;2006-04-01;,1.0,武汉大学;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1, 何祚宇; 李唐; 李唐; 别朝霞;
任寿根,3601.0,2003-02-01;2002-01-01;,1.0,江西财经大学;,F;F;F;,经济与管理;经济与管理;,1,1,,3201.0,2001-03-01;,1.0,南京大学;,F;,经济与管理;,1,1,
何启志,3201.0,2011-07-01;,1.0,南京大学;,F;F;,经济与管理;,1,1, 范从来;,3403.0,2017-05-01;,1.0,安徽财经大学;,F;,经济与管理;,1,1, 姚梦雨;
何德旭,1100.0,2016-02-01;2006-09-01;2002-09-01;2017-08-01;2015-02-01;2013-10-01;2012-10-01;2011-04-01;2002-08-01;,1.0,中国社会科学院;,F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1, 苗文龙; 姚战琪; 余升国; 蒋照辉; 周宇; 钟震; 娄峰; 吴伯磊;,1401.0,2010-04-01;,1.0,山西财经大学;,F;F;,经济与管理;,1,1, 常戈;
何德旭,1100.0,2016-02-01;2006-09-01;2002-09-01;2017-08-01;2015-02-01;2013-10-01;2012-10-01;2011-04-01;2002-08-01;,1.0,中国社会科学院;,F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1, 苗文龙; 姚战琪; 余升国; 蒋照辉; 周宇; 钟震; 娄峰; 吴伯磊;,4201.0,2009-03-01;,1.0,湖北经济学院;,F;,经济与管理;,1,1, 张雪兰;
何德旭,1401.0,2010-04-01;,1.0,山西财经大学;,F;F;,经济与管理;,1,1, 常戈;,4201.0,2009-03-01;,1.0,湖北经济学院;,F;,经济与管理;,1,1, 张雪兰;
何自力,4401.0,2007-01-01;2006-01-01;,1.0,华南理工大学;,F;F;F;,经济与管理;经济与管理;,1,1,,1200.0,2009-08-01;2001-02-01;,1.0,南开大学;,F;F;,经济与管理;经济与管理;,1,1,
何诚颖,4403.0,2003-09-01;,1.0,国信证券;,F;,经济与管理;,1,1,,3301.0,2013-10-01;,1.0,浙江财经大学;,F;F;F;,经济与管理;,1,1, 刘林; 徐向阳; 王占海;
