author_first,city_code1,ym1,coauthor1,class_num1,mag_classn1,city_code2,ym2,coauthor2,class_num2,mag_classn2,move_time,class_overlap,mag_overlap,coauthor_overlap
万广华,5301.0,2013-05-01;2008-12-01;2008-04-01;2012-04-01;2008-10-01;2008-04-01;, 张茵; M.S.Qureshi; 伏润民; 吴一平; 张藕香;,F;F;F;F;F;D;D;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,6104.0,2006-06-01;2004-08-01;, 张茵;,F;F;,经济与管理;经济与管理;,1,1,1,1
云鹤,4401.0,2004-07-01;, 刘涛; 舒元;,F;F;,经济与管理;,3301.0,2005-06-01;2012-01-01;2008-07-01;, 舒元; 胡剑锋; 吕品; 舒元;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,1
付强,3701.0,2017-03-01;,,F;,经济与管理;,5000.0,2013-04-01;, 刘星; 计方;,F;,经济与管理;,1,1,1,0
付文林,3100.0,2014-05-01;2012-05-01;, 赵永辉; 沈坤荣;,F;F;F;F;,经济与管理;经济与管理;,3201.0,2011-07-01;, 耿强;,F;F;F;,经济与管理;,1,1,1,0
代谦,3502.0,2015-10-01;, 别朝霞;,K;D;,经济与管理;,4201.0,2015-05-01;2010-06-01;2009-03-01;2006-04-01;, 何祚宇; 李唐; 李唐; 别朝霞;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,0,1,1
任寿根,3601.0,2003-02-01;2002-01-01;,,F;F;F;,经济与管理;经济与管理;,3201.0,2001-03-01;,,F;,经济与管理;,1,1,1,0
何启志,3201.0,2011-07-01;, 范从来;,F;F;,经济与管理;,3403.0,2017-05-01;, 姚梦雨;,F;,经济与管理;,1,1,1,0
何德旭,1100.0,2016-02-01;2006-09-01;2002-09-01;2017-08-01;2015-02-01;2013-10-01;2012-10-01;2011-04-01;2002-08-01;, 苗文龙; 姚战琪; 余升国; 蒋照辉; 周宇; 钟震; 娄峰; 吴伯磊;,F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1401.0,2010-04-01;, 常戈;,F;F;,经济与管理;,2,1,1,0
何德旭,1100.0,2016-02-01;2006-09-01;2002-09-01;2017-08-01;2015-02-01;2013-10-01;2012-10-01;2011-04-01;2002-08-01;, 苗文龙; 姚战琪; 余升国; 蒋照辉; 周宇; 钟震; 娄峰; 吴伯磊;,F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,4201.0,2009-03-01;, 张雪兰;,F;,经济与管理;,2,1,1,0
何德旭,1401.0,2010-04-01;, 常戈;,F;F;,经济与管理;,4201.0,2009-03-01;, 张雪兰;,F;,经济与管理;,1,1,1,0
何自力,4401.0,2007-01-01;2006-01-01;,,F;F;F;,经济与管理;经济与管理;,1200.0,2009-08-01;2001-02-01;,,F;F;,经济与管理;经济与管理;,2,1,1,0
何诚颖,4403.0,2003-09-01;,,F;,经济与管理;,3301.0,2013-10-01;, 刘林; 徐向阳; 王占海;,F;F;F;,经济与管理;,1,1,1,0
何雄浪,5101.0,2013-04-01;2015-04-01;, 赵峰;;,F;F;X;F;,经济与管理;经济与管理;,5115.0,2007-07-01;2007-12-01;2006-06-01;, 李国平; 李国平; 杨继瑞;,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
何青,1100.0,2015-12-01;2014-12-01;, 钱宗鑫; 郭俊杰; 杜巨澜; 薛畅;,F;F;F;,经济与管理;经济与管理;,1200.0,2013-06-01;2008-12-01;, 李皓鹏; 王冲;,F;F;F;F;,经济与管理;经济与管理;,1,1,1,0
余翔,1100.0,2016-01-01;,,F;,经济与管理;,4201.0,2007-12-01;, 邱洪华;,F;,经济与管理;,1,1,1,0
俞乔,3100.0,2001-04-01;2002-04-01;, 程滢; 陈剑波; 杨江; 张玮;,F;F;F;,经济与管理;经济与管理;,1100.0,2013-02-01;2009-06-01;, 刘家鹏; 赵昌文;,F;F;F;,经济与管理;经济与管理;,1,1,1,0
俞红海,3100.0,2010-08-01;, 徐龙炳; 陈百助;,F;F;,经济与管理;,3201.0,2014-05-01;, 陆蓉; 徐龙炳;,F;F;,经济与管理;,1,1,1,1
倪馨,1100.0,2005-10-01;,,F;;,经济与管理;,1301.0,2002-11-01;, 李海燕;,F;,经济与管理;,1,1,1,0
冯旭南,3100.0,2012-04-01;,,F;F;,经济与管理;,5101.0,2016-10-01;2014-04-01;,,F;F;F;,经济与管理;经济与管理;,1,1,1,0
刘冲,3100.0,2017-10-01;, 郭峰; 傅家范; 周强龙;,D;F;,经济与管理;,1100.0,2013-02-01;, 厉行;,F;F;,经济与管理;,1,1,1,0
刘刚,4401.0,2017-08-01;2015-03-01;, 屈恒; 吴思虹; 卢燕峰;,F;F;F;F;F;,经济与管理;经济与管理;,1100.0,2016-08-01;, 王泽宇; 程熙鎔;,F;F;,经济与管理;,2,1,1,0
刘刚,4401.0,2017-08-01;2015-03-01;, 屈恒; 吴思虹; 卢燕峰;,F;F;F;F;F;,经济与管理;经济与管理;,1200.0,2003-10-01;2002-04-01;,,F;F;,经济与管理;经济与管理;,1,1,1,0
刘刚,1100.0,2016-08-01;, 王泽宇; 程熙鎔;,F;F;,经济与管理;,1200.0,2003-10-01;2002-04-01;,,F;F;,经济与管理;经济与管理;,1,1,1,0
