author_first,author_unit_first,unit_city_code,ym,coauthor,class_num,mag_classn,class_num_num,mag_classn_num,author_first.1,unit_city_code.1,city_unitn,city_units
何雄浪,西南民族大学;,5101.0,2015-04-01;,,X;F;,经济与管理;,2,1,,,2,西南民族大学;西南财经大学;
何雄浪,西南财经大学;,5101.0,2013-04-01;, 赵峰;,F;F;,经济与管理;,1,1,,,2,西南民族大学;西南财经大学;
刘斌,中国人民银行;,1100.0,2003-09-01;2002-07-01;2001-07-01;2001-10-01;, 张怀清;,F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,,,2,中国人民银行;对外经济贸易大学;
刘斌,对外经济贸易大学;,1100.0,2016-03-01;2016-09-01;, 魏倩; 吕越; 祝坤福; 王乃嘉;,F;F;F;,经济与管理;经济与管理;,1,1,,,2,中国人民银行;对外经济贸易大学;
刘青,中国社会科学院;,1100.0,2012-07-01;,,F;,经济与管理;,1,1,,,2,中国社会科学院;对外经济贸易大学;
刘青,对外经济贸易大学;,1100.0,2017-01-01;, 陶攀; 洪俊杰;,F;,经济与管理;,1,1,,,2,中国社会科学院;对外经济贸易大学;
刘飞,西安交通大学;,6101.0,2011-08-01;,,F;,经济与管理;,1,1,,,2,西安交通大学;西安邮电大学;
刘飞,西安邮电大学;,6101.0,2015-04-01;2014-06-01;,,F;F;F;,经济与管理;经济与管理;,1,1,,,2,西安交通大学;西安邮电大学;
张伟,贵州大学;,5201.0,2011-10-01;, 吴文元;,F;F;,经济与管理;,1,1,,,2,贵州大学;贵州财经大学;
张伟,贵州财经大学;,5201.0,2013-10-01;, 朱启贵; 李汉文;,F;X;,经济与管理;,2,1,,,2,贵州大学;贵州财经大学;
张兵,南京农业大学;,3201.0,2015-01-01;, 李丹; 孟德峰;,F;,经济与管理;,1,1,,,2,南京农业大学;南京大学;
张兵,南京大学;,3201.0,2010-11-01;2008-09-01;2003-01-01;2017-10-01;, 范致镇; 李心丹; 封思贤; 李心丹; 汪慧建; 李晓明; 陈晓莹;,F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,,,2,南京农业大学;南京大学;
张勇,中国人民大学;,1100.0,2009-05-01;, 王玺; 古明明;,F;F;F;,经济与管理;,1,1,,,2,中国人民大学;北京大学;
张勇,北京大学;,1100.0,2014-10-01;, 李政军; 龚六堂;,F;F;,经济与管理;,1,1,,,2,中国人民大学;北京大学;
张卫国,山东大学;,3701.0,2008-02-01;,,H;,经济与管理;,1,1,,,2,山东大学;山东社会科学院;
张卫国,山东社会科学院;,3701.0,2011-08-01;, 任燕燕; 花小安;,F;D;,经济与管理;,2,1,,,2,山东大学;山东社会科学院;
张卫国,西南大学;,5000.0,2015-08-01;, 罗超平; 李海明;,F;F;F;,经济与管理;,1,1,,,2,西南大学;重庆大学;
张卫国,重庆大学;,5000.0,2011-07-01;, 梁小翠; 陆静;,F;F;F;,经济与管理;,1,1,,,2,西南大学;重庆大学;
张强,中国人民大学;,1100.0,2011-04-01;, 卢荻;,F;F;,经济与管理;,1,1,,,2,中国人民大学;中国人民银行;
张强,中国人民银行;,1100.0,2002-11-01;, 刘西顺; 王伟;,F;,经济与管理;,1,1,,,2,中国人民大学;中国人民银行;
张海洋,浙江大学;,3301.0,2011-01-01;2010-04-01;, 史晋川;,F;F;F;F;,经济与管理;经济与管理;,1,1,,,2,浙江大学;浙江理工大学;
张海洋,浙江理工大学;,3301.0,2017-09-01;, 金则杨;,F;F;,经济与管理;,1,1,,,2,浙江大学;浙江理工大学;
