author_first,title,mag_name,paper_num
"""公司财务若干问题研究""课题组",财务研究的最新发展与新兴经济体公司财务行为的解释——“新兴经济体公司财务与资本市场研讨会”综述;,经济研究;,1
(The World Bank),"中国:深化事业单位改革,改善公共服务提供;",经济研究;,1
Adam Szirmai,中国制造业劳动生产率:1980—1999;,经济学(季刊);,1
Anit Mukherjee,中国和印度的农村工业化比较研究;,经济学(季刊);,1
A·B·奥斯特洛夫斯基,从计划到市场的过渡:中国模式在俄罗斯应用的可能性;,南开经济研究;,1
BjrnGustafsson,为什么中国农村人口贫富不同?;,世界经济文汇;,1
"CCER""中国经济观察""研究组",我国资本回报率估测(1978—2006)——新一轮投资增长和经济景气微观基础;,经济学(季刊);,1
CécileBatisse,专门化、多样化和中国地区工业产业增长的关系;,世界经济文汇;,1
D.GaleJohnson,"1978以来,中国的城乡收入差距拉大了吗?;",经济学(季刊);,1
Dwight H.Perkins,中国的金融体制改革为什么那么难?;,世界经济文汇;,1
FrancescaRecanatini,企业问卷调查:世界银行的经验教训;,经济学(季刊);,1
George J. Gilboy,度量中国经济:购买力平价的适当应用;,经济研究;,1
Gordon H.Hanson,中国的出口模式:似曾相识;,经济学(季刊);,1
Ian Coxhead,国际贸易和自然资源“诅咒”:中国的增长威胁到东南亚地区的发展了吗?;,经济学(季刊);,1
J.-J.拉丰,发展中国家的普遍服务政策;,经济学(季刊);,1
James R.Simpson,中国养活自己能力的长期预测:技术和政策分析;,经济研究;,1
Jeffrey Sachs,经济改革和宪政转轨;,经济学(季刊);,1
Joakim Johansson,苹果、蜜蜂与合同:正溢出效应下的科斯-张定理;,世界经济文汇;,1
John Weiss,1990年代后期中国与东南亚国家在美日市场的出口竞争;,经济学(季刊);,1
John Wong,中国经济之强劲增长:对东亚的寓意;,经济学(季刊);,1
Kjetil Storesletten,中国的崛起和超越;,经济学(季刊);,1
Loren Brandt,中国的土地使用权和转移权:现状评价;,经济学(季刊);,1
Michael Carter,工业化、土地市场和农业投资;,经济学(季刊);,1
PieterBottelier,中国金融系统的改革与发展;,世界经济文汇;,1
Richard J.Sweeney,跨国生产函数之普适性的实证分析;,经济学(季刊);,1
Robert C.Feenstra,中国有多大?;,经济学(季刊);,1
S.M.Miller,经济学:新兴古典与新古典框架;,经济学(季刊);,1
SandraPONCET,中国市场正在走向“非一体化”?——中国国内和国际市场一体化程度的比较分析;,世界经济文汇;,1
Scott Rozelle,中国的农村经济与通向现代工业国之路;,经济学(季刊);,1
Shubham Chaudhuri,中国和印度不平衡发展的比较研究;,经济研究;,1
Sylvie Dｍｕｒｇｅｒ,地理位置与优惠政策对中国地区经济发展的相关贡献;,经济研究;,1
Thomas G.Rawski,人力资源与中国长期经济增长;,经济学(季刊);,1
ThomasG.Rawski,近年来中国GDP增长核算:目前的状态;中国改革观察:转折点正在逼近;,经济学(季刊);世界经济文汇;,2
Warwick J. Mckibbin,中国入世对国际经济影响的量化分析;,经济研究;,1
WilliamHallagan,通过契约的自我选择和分成制理论;,世界经济文汇;,1
“中国投资者动机和预期调查数据分析”课题组,参与、不确定性与投资秩序的生成和演化——解读投资者动机和预期的另一个视角;,经济研究;,1
“基础设施与制造业发展关系研究”课题组,基础设施与制造业发展关系研究;,经济研究;,1
《中国商业银行会计制度规范与信息披露及银行监管研究》课题组,对我国商业银行呆帐准备金提取及核销制度的若干思考——兼论《金融企业呆账准备金提取及呆账核销管理办法》;,金融研究;,1
丁任重,论当代中国马克思主义政治经济学的品质;,经济研究;,1
丁俊,我国金融机构市场退出制度的内在缺陷及对策;对我国地方性商业银行效率的国内比较分析;,金融论坛;金融论坛;,2
丁冬,撤点并校:整合教育资源还是减少教育投入?——基于1996—2009年的省级面板数据分析;,经济学(季刊);,1
丁剑平,亚洲金融危机后亚洲各国汇市的波动特征改变了吗;港币与人民币的协整:一个实证研究;,经济学(季刊);世界经济文汇;,2
丁勇,研发能力、规模与高新技术企业绩效;,南开经济研究;,1
丁友刚,第三届“宏观经济政策与微观企业行为”学术研讨会综述;,经济研究;,1
丁增稳,我国商业银行分行传统业绩评价的缺陷及重建;,金融论坛;,1
丁如曦,中国经济空间的新格局:基于城市房地产视角;,中国工业经济;,1
丁宁宁,世纪之交的中国经济走势;,金融研究;,1
丁宇澄,与平衡积分卡、EVA结合的绩效股票期权激励方式研究;,南开经济研究;,1
丁守海,中国产出缺口价格效应的转变趋势——基于劳动力条件变化的视角;股权改革的三阶段托宾q效应;,经济研究;南开经济研究;,2
丁宏,增加政府转移支付是否会有助于改善生育率——基于OECD国家的门槛回归模型检验;,南开经济研究;,1
丁建军,经济多样性的减贫效应——基于美国阿巴拉契亚地区的经验;,中国工业经济;,1
丁志杰,正确认识和发挥汇率在我国经济跨越发展中的作用;欧美中小银行的发展经验及其借鉴意义;,管理世界;金融论坛;,2
丁成日,美国林肯土地政策研究院中国部  第二届研究基金;,经济研究;,1
丁松良,中国新股长期走势实证研究;,南开经济研究;,1
丁纯,略论90年代“欧盟就业战略”;,世界经济文汇;,1
丁继红,我国城乡老龄健康:子女的作用有多大?——基于CHNS数据的实证研究;经济增长与环境污染关系剖析——以江苏省为例;试论我国医疗保险制度改革与医疗费用增长的有效控制;,南开经济研究;南开经济研究;南开经济研究;,3
丁维莉,局部改革与公共政策效果的交互性和复杂性;,经济研究;,1
丁菊红,政府偏好、公共品供给与转型中的财政分权;政府偏好、公共品供给与转型中的财政分权;,经济研究;经济研究;,2
丁蕊,我国创业投资企业的组织形式及其创新方向;,金融论坛;,1
丁赛,经济转型下的中国城镇女性就业、收入及其对家庭收入不平等的影响;,经济学(季刊);,1
丁鑫,机构投资者持股、公司投资支出与公司业绩——基于银行系基金与上市公司的实证研究;,金融论坛;,1
丁香桃,自媒体时代公共管理的挑战与机遇——政府信任的视角;,管理世界;,1
万兴,互联网平台选择、纵向一体化与企业绩效;,中国工业经济;,1
万华林,税制改革与公司投资价值相关性;治理环境、企业寻租与交易成本——基于中国上市公司非生产性支出的经验证据;,经济研究;经济学(季刊);,2
