,title,mag_name,mag_classn,mag_city,mag_city_code,author_first,author_unit_first,unit_city,unit_city_code,coauthor,ym,class_num
0,中国式分权与新发展理念语境中的标尺竞争,管理世界,经济与管理,北京市,1100,刘珊珊,上海财经大学,上海市,3100.0, 马志远,2017-12-01,D
1,海洋生态补偿的制度建设与治理实践——基于国际比较视角,管理世界,经济与管理,北京市,1100,朱炜,山东财经大学,济南市,3701.0, 王乐锦; 王斌; 谈立群,2017-12-01,D
2,新常态下中国流动人口的居留意愿与家庭消费水平研究,管理世界,经济与管理,北京市,1100,李国正,北京工业大学,北京市,1100.0, 艾小青; 邬嘉迪,2017-12-01,C;F
3,提高最低工资会拉升产品价格吗?,管理世界,经济与管理,北京市,1100,徐建炜,北京师范大学,北京市,1100.0, 邹静娴; 毛捷,2017-12-01,F;F
4,多个大股东与企业融资约束——基于文本分析的经验证据,管理世界,经济与管理,北京市,1100,姜付秀,中国人民大学,北京市,1100.0, 王运通; 田园; 吴恺,2017-12-01,F
5,寻找创新驱动发展的新理论思维——基于新熊彼特增长理论的思考,管理世界,经济与管理,北京市,1100,柳卸林,中国科学院,北京市,1100.0, 高雨辰; 丁雪辰,2017-12-01,F
6,思维定势如何影响创意质量——基于“众包”平台的实证研究,管理世界,经济与管理,北京市,1100,杨光,上海财经大学,上海市,3100.0, 汪立,2017-12-01,F
7,内部员工优势——来自企业人事数据的实证证据,管理世界,经济与管理,北京市,1100,张红,暨南大学,广州市,4401.0, 周黎安; 梁建章,2017-12-01,F
8,领导宽恕与员工抑制性建言的关系研究,管理世界,经济与管理,北京市,1100,张亚军,贵州财经大学,贵阳市,5201.0, 张磊,2017-12-01,F
9,数字技术革命背景下零售业商业模式创新研究,管理世界,经济与管理,北京市,1100,齐严,北京物资学院,北京市,1100.0, 司亚静; 吴利红,2017-12-01,F
10,环保督察与地方政府履责行为的博弈分析,管理世界,经济与管理,北京市,1100,卢瑶,华中科技大学,武汉市,4201.0,,2017-11-01,D;X
11,邻里关系对农村留守老人身心健康的影响研究——基于劳动力流出地10省市调查数据的实证分析,管理世界,经济与管理,北京市,1100,张邦辉,重庆大学,重庆市,5000.0, 陈乙酉,2017-11-01,C;C
12,关注房价还是关注股价——基于货币政策对资产价格反应的模拟分析,管理世界,经济与管理,北京市,1100,姚云霞,安徽财贸职业学院,合肥市,3401.0, 章贵桥,2017-11-01,F;F;F
13,经济发展中的技术创新、技术溢出与行业收入差距演变——对U型假说的理论解释与实证检验,管理世界,经济与管理,北京市,1100,周云波,南开大学,天津市,1200.0, 田柳; 陈岑,2017-11-01,F
14,土地承包经营权流转、劳动力流动与农业生产,管理世界,经济与管理,北京市,1100,陈媛媛,上海财经大学,上海市,3100.0, 傅伟,2017-11-01,F;F
15,中国女企业家发展:现状、问题与期望——2505位女企业家问卷调查报告,管理世界,经济与管理,北京市,1100,李兰,中国女企业家协会,北京市,1100.0, 仲为国; 王云峰,2017-11-01,F
16,“营改增”、企业利润率与企业创新,管理世界,经济与管理,北京市,1100,孙吉乐,兰州大学,兰州市,6201.0,,2017-11-01,F;F;F
17,社会责任信息披露的“掩饰效应”和上市公司崩盘风险——来自中国股票市场的DID-PSM分析,管理世界,经济与管理,北京市,1100,田利辉,南开大学,天津市,1200.0, 王可第,2017-11-01,F
18,家庭金融学的构建与进展,管理世界,经济与管理,北京市,1100,陶春生,中央民族大学,北京市,1100.0,,2017-11-01,F
19,创新集群知识网络环境系统构成及实证分析,管理世界,经济与管理,北京市,1100,郑成华,西安建筑科技大学,西安市,6101.0, 罗福周; 韩言虎,2017-11-01,C
20,中国对外贸易增长与隐含碳排放脱钩关系研究,管理世界,经济与管理,北京市,1100,胡剑波,贵州财经大学,贵阳市,5201.0, 高鹏; 张伟,2017-10-01,F;X
21,政治激励、资本监管与地方银行信贷投放,管理世界,经济与管理,北京市,1100,刘冲,上海财经大学,上海市,3100.0, 郭峰; 傅家范; 周强龙,2017-10-01,D;F
22,地方政府绩效考核主体群的界定及分工探析,管理世界,经济与管理,北京市,1100,戴胜利,华中师范大学,武汉市,4201.0, 张伟,2017-10-01,D
23,自媒体时代公共管理的挑战与机遇——政府信任的视角,管理世界,经济与管理,北京市,1100,丁香桃,华东师范大学,上海市,3100.0,,2017-12-01,D
24,京津冀流动人口调控联动机制分析,管理世界,经济与管理,北京市,1100,冯虹,北京工业大学,北京市,1100.0, 刘婷婷,2017-12-01,C;F
25,个人所得税减免会增加劳动供给吗?——来自准自然实验的证据,管理世界,经济与管理,北京市,1100,叶菁菁,西南财经大学,成都市,5101.0, 吴燕; 陈方豪; 王宇晴,2017-12-01,F;F
26,中国家庭金融投资组合的风险——过于保守还是过于冒进?,管理世界,经济与管理,北京市,1100,路晓蒙,西南财经大学,成都市,5101.0, 李阳; 甘犁; 王香,2017-12-01,F;F
27,"坚持新发展理念,推动现代化经济体系建设——学习习近平新时代中国特色社会主义思想关于新发展理念的体会",管理世界,经济与管理,北京市,1100,刘伟,中国人民大学,北京市,1100.0,,2017-12-01,F
28,企业家对宏观形势及企业经营状况的判断、问题和建议——2017·中国企业经营者问卷跟踪调查报告,管理世界,经济与管理,北京市,1100,李兰,中国企业家调查系统,北京市,1100.0, 潘建成; 彭泗清; 王云峰,2017-12-01,F
29,社会信任是否会提升企业并购绩效?,管理世界,经济与管理,北京市,1100,王艳,广东财经大学,广州市,4401.0, 李善民,2017-12-01,F
30,如何通过政府营销推动地方创业活动——基于武汉市政府创业营销的案例研究,管理世界,经济与管理,北京市,1100,汪涛,武汉大学,武汉市,4201.0, 肖潇; 聂春艳,2017-12-01,F
31,中国式“压力型”财政激励的财源增长效应——基于取消农业税改革的实证研究,管理世界,经济与管理,北京市,1100,谢贞发,厦门大学,厦门市,3502.0, 严瑾; 李培,2017-12-01,F
32,经济学研究中“数学滥用”现象及反思,管理世界,经济与管理,北京市,1100,陆蓉,上海财经大学,上海市,3100.0, 邓鸣茂,2017-11-01,F;O
33,基于Sen可行能力理论的农民工福利制度改进研究,管理世界,经济与管理,北京市,1100,宋艳,哈尔滨工程大学,哈尔滨市,2301.0, 苏子逢; 门建营; 孙典,2017-11-01,D
34,中国劳动力市场所有制分割的根源与表现,管理世界,经济与管理,北京市,1100,马草原,西安交通大学,西安市,6101.0, 马文涛; 李成,2017-11-01,F
35,习近平经济思想与中国特色社会主义政治经济学构建,管理世界,经济与管理,北京市,1100,王东京,中央党校,北京市,1100.0,,2017-11-01,F;F
36,农业机械化的空间溢出效应及其分布规律——农机跨区服务的视角,管理世界,经济与管理,北京市,1100,方师乐,浙江大学,杭州市,3301.0, 卫龙宝; 伍骏骞,2017-11-01,F
37,生产制造还是资本投资?中国工业企业国际创业资本的流向——基于制度距离的解释,管理世界,经济与管理,北京市,1100,葛菲,上海师范大学,上海市,3100.0, 贺小刚,2017-11-01,F
38,从自利到德行:商业组织的制度逻辑变革研究,管理世界,经济与管理,北京市,1100,刘德鹏,山东大学,济南市,3701.0, 贾良定; 刘畅唱; 蔡亚华; 郑雅琴,2017-11-01,F
39,分析师荐股更新利用管理层语调吗?——基于业绩说明会的文本分析,管理世界,经济与管理,北京市,1100,林乐,首都经济贸易大学,北京市,1100.0, 谢德仁,2017-11-01,F
40,中国本土管理研究路径探索——基于实践理论的视角,管理世界,经济与管理,北京市,1100,陈春花,北京大学,北京市,1100.0, 马胜辉,2017-11-01,C
41,基于DEA交叉效率模型的钢铁行业能源效率分析,管理世界,经济与管理,北京市,1100,刘学之,北京化工大学,北京市,1100.0, 黄敬; 王玉,2017-10-01,F;F
42,居民阶梯电价政策的技术创新诱导效应研究,管理世界,经济与管理,北京市,1100,罗传建,华中科技大学,武汉市,4201.0, 刘章生,2017-10-01,F
43,规范与表达:公共服务需求的分析框架及其政策意涵,管理世界,经济与管理,北京市,1100,容志,上海师范大学,上海市,3100.0,,2017-10-01,D
