author_first,city_code_max,city_code_min,city_code1
丁任重,5101.0,5101.0,False
丁俊,3201.0,3201.0,False
丁冬,1100.0,1100.0,False
丁剑平,3100.0,3100.0,False
丁勇,1200.0,1200.0,False
丁增稳,3402.0,3402.0,False
丁如曦,1100.0,1100.0,False
丁宁宁,1100.0,1100.0,False
丁宇澄,1100.0,1100.0,False
丁守海,1100.0,1100.0,False
丁宏,1200.0,1200.0,False
丁建军,4331.0,4331.0,False
丁志杰,1100.0,1100.0,False
丁松良,1200.0,1200.0,False
丁纯,3100.0,3100.0,False
丁继红,1200.0,1200.0,False
丁菊红,3100.0,3100.0,False
丁赛,1100.0,1100.0,False
丁鑫,2301.0,2301.0,False
丁香桃,3100.0,3100.0,False
万兴,3201.0,3201.0,False
万喆,1100.0,1100.0,False
万威武,6101.0,6101.0,False
万幼清,4201.0,4201.0,False
万广华,6104.0,5301.0,True
万建华,4403.0,4403.0,False
万建香,3601.0,3601.0,False
万志宏,1200.0,1200.0,False
万晓莉,5101.0,5101.0,False
万海远,1100.0,1100.0,False
万璐,1100.0,1100.0,False
万相昱,1100.0,1100.0,False
万芊,1100.0,1100.0,False
万解秋,3205.0,3205.0,False
万阿俊,1100.0,1100.0,False
万静芳,4401.0,4401.0,False
丘心颖,4401.0,4401.0,False
丛海彬,3302.0,3302.0,False
丛菲菲,3100.0,3100.0,False
东艳,1100.0,1100.0,False
严伟祥,3201.0,3201.0,False
严佳佳,3501.0,3501.0,False
严兵,1200.0,1200.0,False
严成樑,1100.0,1100.0,False
严文兵,6101.0,6101.0,False
严斌剑,3201.0,3201.0,False
严武,3601.0,3601.0,False
严法善,3100.0,3100.0,False
中国人民银行代表团,1100.0,1100.0,False
中国人民银行货币政策分析小组,1100.0,1100.0,False
丰雷,1100.0,1100.0,False
乌家培,1100.0,1100.0,False
乔宗铭,1200.0,1200.0,False
乔宝云,1100.0,1100.0,False
乔彬,1401.0,1401.0,False
乔扬,5101.0,5101.0,False
乔晓楠,1200.0,1200.0,False
乔榛,2301.0,2301.0,False
乔海曙,4301.0,4301.0,False
乔睿蕾,3201.0,3201.0,False
习明明,3601.0,3601.0,False
买忆媛,4201.0,4201.0,False
于业明,3100.0,3100.0,False
于东智,1100.0,1100.0,False
于凌云,5101.0,5101.0,False
于化龙,1200.0,1200.0,False
于悦,2102.0,2102.0,False
于成永,3201.0,3201.0,False
于换军,1100.0,1100.0,False
于文强,5201.0,5201.0,False
于斌斌,3301.0,3301.0,False
于新亮,3701.0,3701.0,False
于晓娟,1100.0,1100.0,False
于晓虹,3100.0,3100.0,False
于晨曦,1100.0,1100.0,False
于泽,1100.0,1100.0,False
于津平,3201.0,3201.0,False
于洪霞,1100.0,1100.0,False
于海静,4201.0,4201.0,False
于焕杰,1100.0,1100.0,False
于瑾,1100.0,1100.0,False
于良春,3701.0,3701.0,False
于蔚,3301.0,3301.0,False
于金富,4102.0,4102.0,False
于金酉,1100.0,1100.0,False
于长秋,1200.0,1200.0,False
于鸣,1100.0,1100.0,False
于鹏,4201.0,4201.0,False
云乐鑫,3702.0,3702.0,False
云鹤,4401.0,3301.0,True
仇焕广,1100.0,1100.0,False
付佳,4401.0,4401.0,False
付宗垣,1100.0,1100.0,False
付强,5000.0,3701.0,True
付才辉,1100.0,1100.0,False
付敏杰,1100.0,1100.0,False
付文林,3201.0,3100.0,True
付明卫,1100.0,1100.0,False
付朝干,4501.0,4501.0,False
付雷鸣,6101.0,6101.0,False
仝冰,4102.0,4102.0,False
代松,1100.0,1100.0,False
代谦,4201.0,3502.0,True
仲为国,1100.0,1100.0,False
仲伟周,6101.0,6101.0,False
仲彬,1100.0,1100.0,False
任会来,1100.0,1100.0,False
任凤泽,1100.0,1100.0,False
任国强,1200.0,1200.0,False
任宇航,1100.0,1100.0,False
任寿根,3601.0,3201.0,True
任峰,3701.0,3701.0,False
任建军,4301.0,4301.0,False
任志华,1200.0,1200.0,False
任曙明,2102.0,2102.0,False
任柏强,3303.0,3303.0,False
任森春,3403.0,3403.0,False
任泽平,1100.0,1100.0,False
