,author_first,unit_city_code,unitnum,unitdiff
0,LI Gen-pan,1100.0,2,北京师范大学;首都师范大学;
1,M·乌兰,1100.0,2,中国社会科学院;中国人民大学;
2,丁一,1100.0,5,中国社会科学院;北京大学;北京信息职业技术学院;国务院;中国印刷技术协会;
3,丁一,2201.0,2,吉林省社会科学院;吉林大学;
4,丁一,3100.0,5,上海海事大学;华东师范大学;上海体育学院;上海鑫茂置业发展有限公司;复旦大学;
5,丁一平,2301.0,2,黑龙江教育出版社;黑龙江出版集团;
6,丁丁,1100.0,4,对外经济贸易大学;国家应对气候变化战略研究和国际合作中心;国家发展和改革委员会;宏观经济研究院;
7,丁丹,4201.0,2,华中师范大学;武汉大学;
8,丁丽红,4201.0,2,武汉大学;中南财经政法大学;
9,丁云霞,3100.0,2,上海体育学院;上海商学院;
10,丁亮,3201.0,2,南京大学;金陵图书馆;
11,丁伟,1100.0,3,北京大学;华北电力大学;文化部;
12,丁伟,3100.0,7,上海理工大学;华东政法大学;上海市人大法制委;上海体育学院;上海市人大法工委;上海市人大法制委员会;上海市人大常委会;
13,丁伟,3202.0,2,宜兴市教研室;宜兴一中;
14,丁俊,1100.0,3,建设银行;中国人民大学;中国科学院;
15,丁俊,3100.0,2,上海财经大学;上海外国语大学;
16,丁俊,3205.0,2,苏州市职业大学;苏州工艺美术职业技术学院;
17,丁俊武,3201.0,2,南京大学;南京理工大学;
18,丁健,1100.0,2,中国社会科学院;中国人民大学;
19,丁健,3100.0,3,上海财经大学;上海外国语大学;上海师范大学;
20,丁健,6101.0,2,陕西师范大学;西安科技大学;
21,丁兆国,3701.0,2,山东财经大学;山东师范大学;
22,丁克家,6401.0,3,宁夏回族自治区民委;宁夏回族自治区民族宗教事务委员会;宁夏社会科学院;
23,丁兰,4201.0,2,中南民族大学;武汉大学;
24,丁军,1100.0,4,首都师范大学;北京市社会科学院;北京华田文化发展中心;建设部;
25,丁军,3100.0,2,同济大学;上海环境投资有限公司;
26,丁军,6101.0,2,陕西省行政学院;西安建筑科技大学;
27,丁冬,1100.0,2,中国人民大学;中国社会出版社;
28,丁冬,3201.0,2,东南大学;南京大学;
29,丁凡,1100.0,2,中国人民大学;北京大学;
30,丁凯,1100.0,2,中国人民大学;北京大学;
31,丁刚,1100.0,4,中国地质大学;国家发展和改革委员会;国家发展与改革委员会;人民日报;
32,丁刚,1200.0,2,天津财经大学;天津工业大学;
33,丁刚,4413.0,2,惠州学院;惠州大学;
34,丁利,1100.0,2,北京大学;中国社会科学院;
35,丁利荣,4201.0,2,湖北大学;武汉大学;
36,丁力,1100.0,2,农业部;中国人民大学;
37,丁力,4401.0,2,广东技术师范学院;广东省社会科学院;
38,丁勇,1100.0,2,中国农业科学院;中央电视台;
39,丁勇,1200.0,2,中国民航大学;南开大学;
40,丁勇,3201.0,6,南京医科大学;南京图书馆;南京特殊教育职业技术学院;江苏省特殊教育专业委员会;江苏省残疾人联合会;南京大学;
41,丁勇,3401.0,2,合肥工业大学;安徽大学;
42,丁勤,3201.0,2,东南大学;江苏经贸职业技术学院;
43,丁华,2101.0,2,东北大学;沈阳体育学院;
44,丁华,4101.0,3,河南工业大学;郑州航空工业管理学院;河南牧业经济学院;
45,丁华,6101.0,2,长安大学;西北大学;
46,丁卫,6101.0,2,西安交通大学;西安建筑科技大学;
47,丁原洪,1100.0,3,中国国际问题研究所;中国前驻欧盟大使;外交部;
48,丁原洪,4416.0,3,和平与发展研究中心;和平与发展;和平与发展杂志;
49,丁向阳,1100.0,4,北京市发展和改革委员会;中央财经大学;中国人事报刊社;中国人才杂志社;
50,丁君风,3100.0,2,上海海事大学;上海交通大学;
51,丁和根,3201.0,2,三江学院;南京大学;
52,丁四新,4201.0,2,湖北省周易学会;武汉大学;
53,丁国强,3305.0,2,湖州职业技术学院;浙江湖州职业技术学院;
54,丁国旗,1100.0,3,中国社会科学院;中国人民大学;北京化工大学;
55,丁夏,1100.0,2,中国政法大学;清华大学;
56,丁大尉,1100.0,2,中国科学院;清华大学;
57,丁妍,3100.0,2,上海交通大学;复旦大学;
58,丁妮,1100.0,2,北京师范大学;首都师范大学;
59,丁威,5000.0,2,西南大学;重庆理工大学;
60,丁娟,1100.0,2,全国妇联妇女研究所;建设银行;
61,丁婕,3201.0,2,南京大学;东南大学;
62,丁婧,3201.0,3,江苏省中小学教学研究室;南京师范大学;南京市金陵中学;
63,丁婷,6401.0,2,北方民族大学;宁夏大学;
64,丁宁,1100.0,9,中国人民大学;北京大学;中国科学院;北京电影学院;北京十月文艺出版社;北京师范大学;北京信息科技大学;中国社会科学院;清华大学;
65,丁宁,2101.0,2,辽宁大学;鲁迅美术学院;
66,丁宁,2102.0,2,东北财经大学;大连海事大学;
67,丁宁,3100.0,3,华东理工大学;上海交通大学;上海美术学院;
68,丁宁,3201.0,4,南京大学;南京图书馆;南京师范大学;东南大学;
69,丁宁宁,3701.0,2,山东财经大学;山东大学;
70,丁宇,4201.0,3,武汉大学;中南民族大学;武汉科技大学;
71,丁宇,4401.0,2,华南师范大学;广东警官学院;
72,丁安琪,1100.0,2,北京外国语大学;中国人民大学;
73,丁宏伟,1401.0,2,山西省万家寨引黄工程管理局;山西省人才开发交流服务中心;
74,丁宏伟,6201.0,3,甘肃省地矿局水文地质工程地质勘察院;甘肃省地勘局水文地质工程地质勘察院;甘肃省地质调查院水文地质工程地质调查所;
75,丁宗皓,2101.0,2,辽宁报业传媒集团;辽宁日报社;
76,丁宪浩,3206.0,3,南通市委党校;江苏南通市委党校;江苏省南通市委党校;
77,丁岚,3100.0,2,上海交通大学;复旦大学;
78,丁岩,6101.0,2,陕西省考古研究院;陕西省考古研究所;
79,丁峰,1100.0,4,中国建筑设计研究院;中国人民大学;华北电力大学;环境保护部;
80,丁帆,1100.0,2,清华大学;教育部;
81,丁希勤,3417.0,2,池州学院;池州师范专科学校;
82,丁平,1100.0,4,中国农业科学院;中国人民大学;中国人民银行;财政部;
83,丁平,1501.0,2,内蒙古师范大学;内蒙古大学;
84,丁延峰,3715.0,2,聊城大学;聊城大學文學院;
85,丁建军,4201.0,3,华中科技大学;华中师范大学;江汉大学;
86,丁建军,4208.0,5,荆楚理工学院;荆门大学;湖北荆门大学;湖北荆门职业技术学院;荆门职业技术学院;
87,丁建安,2201.0,2,吉林大学;吉林财经大学;
88,丁建明,3206.0,2,江苏省如皋市统计局;如皋市统计局;
89,丁建洋,3201.0,2,南京大学;南京师范大学;
90,丁强,3100.0,2,上海师范大学;复旦大学;
91,丁强,3205.0,2,苏州大学;苏州工业园区服务外包职业学院;
92,丁德科,6101.0,5,西安交通大学;陕西省委办公厅;西安财经学院;西北大学;陕西省国防科技与经济发展研究中心;
93,丁德臣,3701.0,2,山东财经大学;山东大学;
94,丁志,3715.0,2,聊城大学;山东省聊城市教育学院;
95,丁志刚,3100.0,2,上海大学;东华大学;
96,丁志刚,3201.0,2,江苏省城镇化和城乡规划研究中心;江苏省城市规划设计研究院;
97,丁志刚,3306.0,2,绍兴文理学院;绍兴广播电视总台;
98,丁志刚,6201.0,2,兰州大学;西北师范大学;
99,丁志勇,1100.0,2,北京大学;工商银行;
100,丁志宏,1100.0,2,中央财经大学;中国人民大学;
101,丁志杰,1100.0,2,对外经济贸易大学;中国人民银行;
102,丁怡,1100.0,3,中国人民大学;中央美术学院;北京师范大学;
103,丁悦,1100.0,3,中国科学院;北京师范大学;中国电子信息产业发展研究院;
104,丁慧,1100.0,2,清华大学;北京市公园管理中心;
105,丁政,4401.0,3,广东工业大学;暨南大学;中山大学;
106,丁敏,3100.0,2,上海师范大学;同济大学;
107,丁文,1100.0,2,中国青年政治学院;北京大学;
108,丁文,3201.0,3,江苏省委党校;南京农业大学;南京师范大学;
109,丁文,4201.0,2,华中师范大学;武汉大学;
110,丁文君,5301.0,2,昆明理工大学;云南师范大学;
111,丁文斌,4201.0,2,湖北工业大学;华中农业大学;
112,丁新,4401.0,2,华南师范大学;广州华南师范大学;
113,丁新华,1100.0,2,北京林业大学;中国科学院;
114,丁旭,5000.0,2,重庆大学;重庆交通大学;
115,丁明秀,2201.0,2,东北师范大学;吉林省工程技术师范学院;
116,丁晓,3301.0,2,浙江大学;杭州电视台;
117,丁晓东,1100.0,2,中国人民大学;北京大学;
118,丁晓云,4403.0,2,深圳市体工大队;深圳市体工大队科研助教组;
119,丁晓华,3100.0,3,上海市浦东新区人民法院;华东政法大学;上海市浦东区人民法院;
120,丁晓原,3205.0,4,常熟理工学院;常熟高专中文系;苏州大学;常熟高等师专;
121,丁晓安,4201.0,2,武汉大学;中南财经政法大学;
122,丁晓峰,3100.0,3,上海大学;上海财经大学;复旦大学;
123,丁晓强,3100.0,2,上海市委党校;同济大学;
124,丁晓昌,1100.0,2,中国高教学会;中国高等教育学会;
