city	year	wnum
七台河市	2018	19329
三亚	2018	15072
三明	2018	13848
三门峡	2018	14274
三门峡市	2018	21335
上海	2018	27026
上饶市	2018	22812
东莞市	2018	33148
东营市	2018	25741
中卫	2018	20377
中山	2018	18498
临夏	2018	16178
临汾	2018	22533
临沂市	2018	19831
临沧	2018	16271
丹东市	2018	31466
丽水市	2018	25125
丽江	2018	19514
乌兰察布市	2018	35138
乌海市	2018	24768
乐山市	2018	23044
九江市	2018	24117
云浮	2018	16153
亳州市	2018	35838
伊春	2018	19730
伊犁	2018	20731
佛山市	2018	39228
佳木斯市	2018	25064
保定市	2018	31773
保山	2018	15296
信阳	2018	17897
克孜勒苏	2018	16760
六安市	2018	29292
六盘水市	2018	33897
兰州市	2018	28063
内江市	2018	26855
凉山彝族自治州	2018	31119
包头市	2018	37004
北京	2018	19798
北海市	2018	41776
十堰	2018	13735
南京市	2018	34299
南充市	2018	22959
南宁市	2018	43372
南平市	2018	29042
南昌市	2018	28472
南通市	2018	27997
博尔塔拉	2018	16957
厦门市	2018	21533
双鸭山市	2018	29515
台州市	2018	25873
合肥市	2018	31047
吉安	2018	16288
吉林	2018	13963
吐鲁番	2018	13513
吕梁市	2018	29686
吴忠	2018	15858
周口	2018	18381
呼伦贝尔市	2018	25089
呼和浩特市	2018	33041
咸宁	2018	18956
咸阳	2018	14374
哈尔滨市	2018	29197
唐山市	2018	13263
商丘市	2018	30430
商洛	2018	12600
嘉兴	2018	14277
嘉峪	2018	13614
四平	2018	13491
固原市	2018	21496
大同市	2018	27413
大庆市	2018	20733
大理	2018	18231
大连市	2018	38580
天津	2018	17135
太原市	2018	15947
威海	2018	20425
孝感	2018	21701
宁德市	2018	27273
宁波市	2018	28182
安庆	2018	22383
安康	2018	17182
安阳	2018	17688
安顺	2018	16033
定西市	2018	33601
宜宾	2018	19445
宜昌	2018	19948
宜春	2018	21652
宝鸡	2018	14523
宣城	2018	19560
宿州	2018	21132
宿迁	2018	21155
岳阳	2018	21798
崇左市	2018	30355
巴中市	2018	26652
巴彦淖尔市	2018	36919
巴音郭楞	2018	17775
常州市	2018	24778
常德市	2018	32826
平凉市	2018	28887
平顶山	2018	18275
广元市	2018	21443
广安市	2018	24558
广州市	2018	73385
庆阳市	2018	27007
廊坊	2018	18135
延安	2018	16020
延边	2018	13472
开封	2018	19567
张家口	2018	20158
张家界	2018	15366
张掖	2018	20324
徐州	2018	20340
德宏	2018	20028
德州市	2018	23545
德阳市	2018	22259
忻州	2018	20827
怀化市	2018	24257
恩施州	2018	28401
惠州市	2018	41577
成都市	2018	39138
扬州	2018	16361
承德市	2018	27470
抚州市	2018	29018
抚顺市	2018	28618
揭阳市	2018	22822
攀枝花市	2018	19811
文山	2018	19347
新乡	2018	17353
新余	2018	15876
无锡市	2018	33144
日照市	2018	23967
昆明市	2018	33633
昌吉	2018	14041
昭通	2018	17183
晋中市	2018	21081
晋城市	2018	24474
普洱	2018	16751
景德镇	2018	11960
曲靖市	2018	27724
朔州市	2018	21727
朝阳市	2018	23408
本溪	2018	14796
来宾	2018	20928
杭州市	2018	28472
松原	2018	13291
林芝	2018	14168
枣庄	2018	17158
柳州	2018	16026
株洲	2018	19786
桂林市	2018	39864
梅州市	2018	23786
梧州	2018	20163
楚雄彝族自治州	2018	30633
榆林	2018	15263
武威	2018	15484
武汉	2018	21086
毕节市	2018	30271
永州	2018	23910
汉中	2018	17542
汕头市	2018	28192
汕尾	2018	17574
江门市	2018	30965
池州市	2018	32803
沈阳市	2018	34845
沧州市	2018	26474
河池	2018	21488
河源市	2018	30623
泉州市	2018	23579
泰安市	2018	20812
泰州	2018	14100
泸州	2018	12902
洛阳	2018	19075
济南市	2018	43493
济宁	2018	12767
海北	2018	16636
海南	2018	17096
海口	2018	14062
海西	2018	16569
淄博	2018	14420
淮北市	2018	30574
淮南市	2018	25573
淮安市	2018	29989
深圳市	2018	29009
清远市	2018	23835
温州市	2018	25993
渭南	2018	14013
湖州市	2018	23409
湘潭	2018	18825
湘西	2018	17596
湛江	2018	28586
滁州市	2018	38483
滨州市	2018	18343
漯河	2018	17449
漳州	2018	12463
潍坊市	2018	29102
潮州市	2018	22472
濮阳	2018	17258
烟台	2018	15308
焦作	2018	18643
牡丹江	2018	14768
玉林	2018	19314
玉树	2018	14031
玉溪	2018	25220
珠海	2018	21249
甘南	2018	18824
甘孜藏族自治州	2018	26177
白城	2018	12596
白山市	2018	24658
百色	2018	11266
益阳	2018	14030
盐城	2018	15907
盘锦市	2018	24863
眉山市	2018	18549
石嘴山市	2018	28832
石家庄市	2018	27900
福州市	2018	26449
秦皇岛市	2018	30066
红河哈尼族彝族自治州	2018	27871
绍兴市	2018	19839
绥化	2018	12678
聊城市	2018	25207
肇庆	2018	26702
自贡	2018	18218
舟山	2018	12189
芜湖	2018	19785
苏州市	2018	28179
茂名市	2018	27431
荆州市	2018	24889
荆门市	2018	31618
莆田市	2018	21239
莱芜市	2018	26342
菏泽市	2018	24695
萍乡市	2018	31600
营口	2018	22629
葫芦岛市	2018	16121
蚌埠市	2018	33406
衡水	2018	16114
衡阳市	2018	30780
衢州市	2018	22136
襄阳	2018	22045
西双	2018	14142
西宁	2018	17028
西安	2018	31999
许昌	2018	10462
贵港市	2018	26767
贵阳市	2018	27028
贺州市	2018	31348
赣州市	2018	29124
赤峰市	2018	32811
辽源市	2018	17562
辽阳市	2018	27268
达州市	2018	26057
运城	2018	21892
连云港市	2018	23021
通化	2018	13253
通辽	2018	19653
遂宁市	2018	22760
遵义	2018	15638
邢台	2018	15428
邯郸	2018	8595
邵阳	2018	17848
郑州	2018	23157
郴州市	2018	27800
鄂尔多斯市	2018	28377
鄂州市	2018	20600
酒泉	2018	17299
重庆	2018	17618
金华市	2018	22290
金昌	2018	15972
钦州市	2018	26859
铁岭市	2018	21000
铜仁市	2018	27387
铜川	2018	13473
铜陵市	2018	19766
银川	2018	23601
锦州市	2018	29285
镇江	2018	23163
长春	2018	11615
长沙	2018	25256
长治	2018	16633
阜新	2018	12925
阜阳	2018	15002
防城港	2018	19066
阳江	2018	18118
阳泉	2018	18099
阿坝	2018	15772
阿拉善	2018	16087
陇南市	2018	35627
随州市	2018	25247
雅安	2018	17039
青岛市	2018	35562
鞍山	2018	27971
韶关市	2018	24874
马鞍山市	2018	29606
驻马店	2018	21779
鸡西市	2018	25617
鹤壁	2018	14384
鹤岗市	2018	30273
鹰潭	2018	19360
黄冈市	2018	29084
黄山	2018	13904
黄石	2018	14976
黑河市	2018	30084
黔东南苗族侗族自治州	2018	22513
黔南布依族苗族自治州	2018	24410
黔西南州	2018	28392
齐齐哈尔	2018	14746
龙岩市	2018	21666
