city_name year num
七台河市 2018 1
三亚 2018 5
三明 2018 2
三门峡 2018 6
三门峡市 2018 6
上海 2018 1
上饶市 2018 0
东莞市 2018 1
东营市 2018 6
中卫 2018 7
中山 2018 6
临夏 2018 7
临汾 2018 18
临沂市 2018 5
临沧 2018 6
丹东市 2018 10
丽水市 2018 1
丽江 2018 4
乌兰察布市 2018 14
乌海市 2018 5
乐山市 2018 1
九江市 2018 3
云浮 2018 0
亳州市 2018 3
伊春 2018 1
伊犁 2018 12
佛山市 2018 20
佳木斯市 2018 3
保定市 2018 2
保山 2018 11
信阳 2018 5
克孜勒苏 2018 14
六安市 2018 3
六盘水市 2018 15
兰州市 2018 3
内江市 2018 6
凉山彝族自治州 2018 12
包头市 2018 13
北京 2018 2
北海市 2018 1
十堰 2018 2
南京市 2018 3
南充市 2018 11
南宁市 2018 7
南平市 2018 7
南昌市 2018 8
南通市 2018 10
博尔塔拉 2018 5
厦门市 2018 4
双鸭山市 2018 1
台州市 2018 0
合肥市 2018 1
吉安 2018 6
吉林 2018 10
吐鲁番 2018 4
吕梁市 2018 7
吴忠 2018 5
周口 2018 5
呼伦贝尔市 2018 7
呼和浩特市 2018 13
咸宁 2018 2
咸阳 2018 0
哈尔滨市 2018 1
唐山市 2018 0
商丘市 2018 6
商洛 2018 3
嘉兴 2018 0
嘉峪 2018 2
四平 2018 6
固原市 2018 3
大同市 2018 2
大庆市 2018 0
大理 2018 4
大连市 2018 6
天津 2018 9
太原市 2018 0
威海 2018 2
孝感 2018 3
宁德市 2018 4
宁波市 2018 5
安庆 2018 2
安康 2018 0
安阳 2018 9
安顺 2018 1
定西市 2018 2
宜宾 2018 2
宜昌 2018 10
宜春 2018 1
宝鸡 2018 1
宣城 2018 9
宿州 2018 1
宿迁 2018 3
岳阳 2018 8
崇左市 2018 3
巴中市 2018 0
巴彦淖尔市 2018 20
巴音郭楞 2018 3
常州市 2018 2
常德市 2018 1
平凉市 2018 2
平顶山 2018 10
广元市 2018 1
广安市 2018 10
广州市 2018 2
庆阳市 2018 3
廊坊 2018 0
延安 2018 2
延边 2018 1
开封 2018 6
张家口 2018 3
张家界 2018 2
张掖 2018 1
徐州 2018 2
德宏 2018 2
德州市 2018 2
德阳市 2018 1
忻州 2018 5
怀化市 2018 7
恩施州 2018 2
惠州市 2018 9
成都市 2018 5
扬州 2018 2
承德市 2018 8
抚州市 2018 7
抚顺市 2018 2
揭阳市 2018 1
攀枝花市 2018 4
文山 2018 2
新乡 2018 8
新余 2018 6
无锡市 2018 8
日照市 2018 2
昆明市 2018 14
昌吉 2018 8
昭通 2018 5
晋中市 2018 1
晋城市 2018 2
普洱 2018 3
景德镇 2018 5
曲靖市 2018 5
朔州市 2018 1
朝阳市 2018 0
本溪 2018 2
来宾 2018 7
杭州市 2018 3
松原 2018 1
林芝 2018 7
枣庄 2018 2
柳州 2018 2
株洲 2018 8
桂林市 2018 3
梅州市 2018 4
梧州 2018 5
楚雄彝族自治州 2018 24
榆林 2018 11
武威 2018 6
武汉 2018 0
毕节市 2018 13
永州 2018 0
汉中 2018 2
汕头市 2018 0
汕尾 2018 3
江门市 2018 4
池州市 2018 5
沈阳市 2018 7
沧州市 2018 4
河池 2018 0
河源市 2018 4
泉州市 2018 1
泰安市 2018 3
泰州 2018 1
泸州 2018 1
洛阳 2018 3
济南市 2018 2
济宁 2018 7
海北 2018 0
海南 2018 2
海口 2018 2
海西 2018 4
淄博 2018 1
淮北市 2018 5
淮南市 2018 1
淮安市 2018 1
深圳市 2018 0
清远市 2018 1
温州市 2018 3
渭南 2018 1
湖州市 2018 6
湘潭 2018 7
湘西 2018 8
湛江 2018 0
滁州市 2018 2
滨州市 2018 7
漯河 2018 10
漳州 2018 1
潍坊市 2018 4
潮州市 2018 5
濮阳 2018 3
烟台 2018 2
焦作 2018 11
牡丹江 2018 1
玉林 2018 4
玉树 2018 2
玉溪 2018 3
珠海 2018 2
甘南 2018 2
甘孜藏族自治州 2018 0
白城 2018 1
白山市 2018 2
百色 2018 0
益阳 2018 1
盐城 2018 2
盘锦市 2018 4
眉山市 2018 4
石嘴山市 2018 1
石家庄市 2018 1
福州市 2018 0
秦皇岛市 2018 4
红河哈尼族彝族自治州 2018 4
绍兴市 2018 1
绥化 2018 0
聊城市 2018 3
肇庆 2018 3
自贡 2018 4
舟山 2018 0
芜湖 2018 3
苏州市 2018 2
茂名市 2018 1
荆州市 2018 1
荆门市 2018 7
莆田市 2018 2
莱芜市 2018 8
菏泽市 2018 4
萍乡市 2018 3
营口 2018 8
葫芦岛市 2018 2
蚌埠市 2018 8
衡水 2018 3
衡阳市 2018 5
衢州市 2018 0
襄阳 2018 3
西双 2018 3
西宁 2018 3
西安 2018 1
许昌 2018 7
贵港市 2018 0
贵阳市 2018 6
贺州市 2018 7
赣州市 2018 5
赤峰市 2018 9
辽源市 2018 7
辽阳市 2018 3
达州市 2018 1
运城 2018 4
连云港市 2018 1
通化 2018 5
通辽 2018 14
遂宁市 2018 5
遵义 2018 7
邢台 2018 5
邯郸 2018 1
邵阳 2018 7
郑州 2018 10
郴州市 2018 5
鄂尔多斯市 2018 17
鄂州市 2018 3
酒泉 2018 9
重庆 2018 6
金华市 2018 4
金昌 2018 3
钦州市 2018 0
铁岭市 2018 6
铜仁市 2018 9
铜川 2018 1
铜陵市 2018 6
银川 2018 6
锦州市 2018 3
镇江 2018 7
长春 2018 2
长沙 2018 6
长治 2018 5
阜新 2018 7
阜阳 2018 3
防城港 2018 4
阳江 2018 0
阳泉 2018 7
阿坝 2018 1
阿拉善 2018 29
陇南市 2018 4
随州市 2018 8
雅安 2018 2
青岛市 2018 3
鞍山 2018 7
韶关市 2018 2
马鞍山市 2018 6
驻马店 2018 6
鸡西市 2018 0
鹤壁 2018 5
鹤岗市 2018 3
鹰潭 2018 4
黄冈市 2018 3
黄山 2018 0
黄石 2018 5
黑河市 2018 1
黔东南苗族侗族自治州 2018 9
黔南布依族苗族自治州 2018 8
黔西南州 2018 7
齐齐哈尔 2018 2
龙岩市 2018 3
