city_id,city_name,date,wenduh,wendul,tianqi,fengxiang,fengli,aqi
71459,渝中,2018-12-01,16℃,12℃,阴~小雨,东北风,2级,61
71459,渝中,2018-12-02,16℃,12℃,阴~小雨,东北风,2级,67
71459,渝中,2018-12-03,16℃,11℃,阴~小雨,西北风,1级,67
71459,渝中,2018-12-04,14℃,11℃,阴~小雨,东北风,2级,74
71459,渝中,2018-12-05,13℃,9℃,小雨,东北风,2级,44
71459,渝中,2018-12-06,11℃,8℃,小雨,东北风,2级,38
71459,渝中,2018-12-07,8℃,6℃,小雨,东北风,2级,34
71459,渝中,2018-12-08,7℃,5℃,小雨,东北风,2级,37
71459,渝中,2018-12-09,8℃,7℃,阴,东北风,2级,27
71459,渝中,2018-12-10,9℃,6℃,阴,东北风,2级,40
71459,渝中,2018-12-11,10℃,7℃,阴,东北风,1级,65
71459,渝中,2018-12-12,10℃,7℃,阴,东北风,1级,73
71459,渝中,2018-12-13,11℃,7℃,阴,东北风,2级,80
71459,渝中,2018-12-14,11℃,8℃,阴,东北风,1级,92
71459,渝中,2018-12-15,10℃,7℃,阴~多云,东北风,2级,94
71459,渝中,2018-12-16,12℃,5℃,多云~晴,东南风,1级,124
71459,渝中,2018-12-17,12℃,5℃,晴~多云,东北风,1级,123
71459,渝中,2018-12-18,11℃,7℃,阴~小雨,东北风,1级,139
71459,渝中,2018-12-19,9℃,6℃,小雨~多云,西南风,1级,205
71459,渝中,2018-12-20,12℃,6℃,多云~小雨,东北风,2级,160
71459,渝中,2018-12-21,11℃,9℃,阴,东北风,1级,95
71459,渝中,2018-12-22,11℃,9℃,阴,东北风,1级,114
71459,渝中,2018-12-23,12℃,9℃,多云,东北风,2级,117
71459,渝中,2018-12-24,11℃,9℃,阴,东北风,2级,101
71459,渝中,2018-12-25,11℃,9℃,阴~小雨,东北风,1级,103
71459,渝中,2018-12-26,10℃,7℃,阴~小雨,西北风,1级,30
71459,渝中,2018-12-27,10℃,7℃,小雨,东北风,2级,35
71459,渝中,2018-12-28,8℃,5℃,小雨,东北风,2级,42
71459,渝中,2018-12-29,5℃,3℃,小雨~雨夹雪,东北风,2级,32
71459,渝中,2018-12-30,5℃,2℃,阴,东北风,2级,53
71459,渝中,2018-12-31,7℃,3℃,阴,东北风,2级,65
