local_province_name,year,local_type_name,local_batch_name,score
河北,2020,艺术类,本科批(舞蹈统考),291
河北,2020,艺术类,本科批(器乐统考),291
河北,2020,艺术类,本科批(声乐统考),291
河北,2020,艺术类,专科批(统考未涉及的校考),140
河北,2020,艺术类,专科批(服装设计与表演类校际联考),140
河北,2020,艺术类,专科批(播音与主持艺术校际联考),140
河北,2020,艺术类,专科批(书法学校际联考),140
河北,2020,艺术类,专科批(戏剧与影视学类校际联考),140
河北,2020,艺术类,专科批(美术统考),140
河北,2020,艺术类,专科批(舞蹈统考),140
河北,2020,艺术类,专科批(器乐统考),140
河北,2020,艺术类,专科批(声乐统考),140
local_province_name,year,local_type_name,local_batch_name,score
河北,2020,艺术类,本科批(舞蹈统考),291
河北,2020,艺术类,本科批(器乐统考),291
河北,2020,艺术类,本科批(声乐统考),291
河北,2020,艺术类,专科批(统考未涉及的校考),140
河北,2020,艺术类,专科批(服装设计与表演类校际联考),140
河北,2020,艺术类,专科批(播音与主持艺术校际联考),140
河北,2020,艺术类,专科批(书法学校际联考),140
河北,2020,艺术类,专科批(戏剧与影视学类校际联考),140
河北,2020,艺术类,专科批(美术统考),140
河北,2020,艺术类,专科批(舞蹈统考),140
河北,2020,艺术类,专科批(器乐统考),140
河北,2020,艺术类,专科批(声乐统考),140
local_province_name,year,local_type_name,local_batch_name,score
河北,2020,艺术类,本科批(舞蹈统考),291
河北,2020,艺术类,本科批(器乐统考),291
河北,2020,艺术类,本科批(声乐统考),291
河北,2020,艺术类,专科批(统考未涉及的校考),140
河北,2020,艺术类,专科批(服装设计与表演类校际联考),140
河北,2020,艺术类,专科批(播音与主持艺术校际联考),140
河北,2020,艺术类,专科批(书法学校际联考),140
河北,2020,艺术类,专科批(戏剧与影视学类校际联考),140
河北,2020,艺术类,专科批(美术统考),140
河北,2020,艺术类,专科批(舞蹈统考),140
河北,2020,艺术类,专科批(器乐统考),140
河北,2020,艺术类,专科批(声乐统考),140
local_province_name,year,local_type_name,local_batch_name,score
河北,2020,艺术类,本科批(舞蹈统考),291
河北,2020,艺术类,本科批(器乐统考),291
河北,2020,艺术类,本科批(声乐统考),291
河北,2020,艺术类,专科批(统考未涉及的校考),140
河北,2020,艺术类,专科批(服装设计与表演类校际联考),140
河北,2020,艺术类,专科批(播音与主持艺术校际联考),140
河北,2020,艺术类,专科批(书法学校际联考),140
河北,2020,艺术类,专科批(戏剧与影视学类校际联考),140
河北,2020,艺术类,专科批(美术统考),140
河北,2020,艺术类,专科批(舞蹈统考),140
河北,2020,艺术类,专科批(器乐统考),140
河北,2020,艺术类,专科批(声乐统考),140
