local_province_name,year,local_type_name,local_batch_name,score
local_province_name,year,local_type_name,local_batch_name,score
local_province_name,year,local_type_name,local_batch_name,score
北京,2018,理科,本科一批,532
北京,2018,理科,本科二批,432
北京,2018,理科,专科批,150
北京,2018,文科,本科一批,576
北京,2018,文科,本科二批,488
北京,2018,文科,专科批,150
北京,2018,理科,本科一批,532
北京,2018,理科,本科二批,432
北京,2018,理科,专科批,150
北京,2018,文科,本科一批,576
北京,2018,文科,本科二批,488
北京,2018,文科,专科批,150
北京,2019,理科,本科批,423
北京,2019,理科,自招线,527
北京,2019,理科,艺术类（本科）,295
北京,2019,理科,艺术类（高职专科）,84
北京,2019,理科,体育类（本科）,300
北京,2019,理科,专科提前批,120
北京,2019,理科,专科批,120
北京,2019,文科,本科批,480
北京,2019,文科,自招线,559
北京,2019,文科,艺术类（本科）,335
北京,2019,文科,艺术类（高职专科）,84
北京,2019,文科,体育类（本科）,330
北京,2019,文科,专科提前批,120
北京,2019,文科,专科批,120
北京,2019,理科,本科批,423
北京,2019,理科,自招线,527
北京,2019,理科,艺术类（本科）,295
北京,2019,理科,艺术类（高职专科）,84
北京,2019,理科,体育类（本科）,300
北京,2019,理科,专科提前批,120
北京,2019,理科,专科批,120
北京,2019,文科,本科批,480
北京,2019,文科,自招线,559
北京,2019,文科,艺术类（本科）,335
北京,2019,文科,艺术类（高职专科）,84
北京,2019,文科,体育类（本科）,330
北京,2019,文科,专科提前批,120
北京,2019,文科,专科批,120
北京,2020,综合,本科批,436
北京,2020,综合,艺术类（本科）,316
北京,2020,综合,艺术类（高职专科）,84
北京,2020,综合,体育类（本科）(体育成绩60分),300
北京,2020,综合,专科批,120
北京,2020,综合,特殊类型招生控制线,526
北京,2020,综合,本科批,436
北京,2020,综合,艺术类（本科）,316
北京,2020,综合,艺术类（高职专科）,84
北京,2020,综合,体育类（本科）(体育成绩60分),300
北京,2020,综合,专科批,120
北京,2020,综合,特殊类型招生控制线,526
