author_first,city_code1,ymmin1,ymmax1,city_code2,ymmin2,ymmax2,move_time,class_overlap,mag_overlap,coauthor_overlap,daysgap
万广华,6104.0,2004-08-01,2006-06-01,5301.0,2008-04-01,2013-05-01,1,1,1,1,670
云鹤,4401.0,2004-07-01,2004-07-01,3301.0,2005-06-01,2012-01-01,1,1,1,1,335
付强,5000.0,2013-04-01,2013-04-01,3701.0,2017-03-01,2017-03-01,1,1,1,0,1430
付文林,3201.0,2011-07-01,2011-07-01,3100.0,2012-05-01,2014-05-01,1,1,1,0,305
代谦,4201.0,2006-04-01,2015-05-01,3502.0,2015-10-01,2015-10-01,1,0,1,1,153
任寿根,3201.0,2001-03-01,2001-03-01,3601.0,2002-01-01,2003-02-01,1,1,1,0,306
何德旭,4201.0,2009-03-01,2009-03-01,1401.0,2010-04-01,2010-04-01,1,1,1,0,396
何青,1200.0,2008-12-01,2013-06-01,1100.0,2014-12-01,2015-12-01,1,1,1,0,548
俞红海,3100.0,2010-08-01,2010-08-01,3201.0,2014-05-01,2014-05-01,1,1,1,1,1369
倪馨,1301.0,2002-11-01,2002-11-01,1100.0,2005-10-01,2005-10-01,1,1,1,0,1065
冯旭南,3100.0,2012-04-01,2012-04-01,5101.0,2014-04-01,2016-10-01,1,1,1,0,730
刘冲,1100.0,2013-02-01,2013-02-01,3100.0,2017-10-01,2017-10-01,1,1,1,0,1703
刘力,1100.0,2002-08-01,2002-08-01,4401.0,2005-08-01,2005-08-01,1,1,1,0,1096
刘啟仁,3502.0,2015-12-01,2015-12-01,4401.0,2016-12-01,2016-12-01,1,1,1,1,366
刘喜和,1200.0,2008-08-01,2013-06-01,3100.0,2017-06-01,2017-06-01,1,1,1,0,1461
刘德鹏,3201.0,2015-12-01,2015-12-01,3701.0,2017-11-01,2017-11-01,1,0,1,2,701
刘拥军,1200.0,2002-02-01,2002-02-01,1100.0,2004-04-01,2004-04-01,1,1,1,0,790
刘晴,3100.0,2013-09-01,2013-09-01,3401.0,2017-05-01,2017-05-01,1,1,1,0,1338
刘洪军,1200.0,2002-10-01,2002-10-01,2301.0,2004-04-01,2004-04-01,1,1,1,0,548
刘瑞明,6101.0,2007-10-01,2015-08-01,1100.0,2016-10-01,2017-03-01,1,1,1,1,427
刘瑶,1200.0,2011-03-01,2011-03-01,2102.0,2012-10-01,2012-10-01,1,1,1,0,580
卢晶亮,3100.0,2014-04-01,2014-04-01,4401.0,2017-01-01,2017-01-01,1,1,1,0,1006
叶光亮,4401.0,2010-01-01,2010-01-01,1100.0,2011-12-01,2011-12-01,1,1,1,1,699
吴志峰,1100.0,2005-06-01,2005-06-01,4403.0,2006-05-01,2006-05-01,1,1,1,0,334
吴联生,3502.0,2001-02-01,2001-02-01,1100.0,2002-04-01,2009-10-01,1,1,1,0,424
周丹,3301.0,2014-02-01,2014-02-01,1100.0,2015-06-01,2015-06-01,1,1,1,0,485
周冰,1200.0,2001-01-01,2008-04-01,3100.0,2012-02-01,2012-02-01,1,1,1,0,1401
周彬,1100.0,2001-02-01,2001-02-01,3301.0,2003-09-01,2003-09-01,1,1,1,0,942
周文,5301.0,2012-05-01,2012-05-01,3100.0,2016-03-01,2017-06-01,1,1,1,0,1400
周炎,3301.0,2016-01-01,2016-01-01,5301.0,2017-12-01,2017-12-01,1,1,1,2,700
周炎,1100.0,2012-07-01,2012-07-01,3301.0,2016-01-01,2016-01-01,1,1,1,1,1279
周燕,1200.0,2012-10-01,2012-10-01,4401.0,2017-08-01,2017-08-01,1,1,1,0,1765
周鹏,1100.0,2001-09-01,2001-09-01,2102.0,2002-06-01,2014-12-01,1,1,1,0,273
唐庆春,1100.0,2001-06-01,2001-06-01,1200.0,2001-12-01,2001-12-01,1,1,1,0,183
唐跃军,1200.0,2006-02-01,2006-02-01,3100.0,2007-12-01,2014-02-01,1,1,1,0,668
姚勇,1200.0,2003-04-01,2003-04-01,1100.0,2005-04-01,2005-04-01,1,1,1,0,731
姚树洁,6101.0,2005-07-01,2005-07-01,5000.0,2014-11-01,2017-05-01,1,1,1,1,3410
