author_first,author_unit_first,unit_city_code,city_unitn,city_units,class_num,class_num_num,coauthor,mag_classn,mag_classn_num,ym,author_first0
万广华,云南财经大学;,5301.0,1.0,云南财经大学;,F;F;F;F;F;D;D;F;F;F;F;,2, 张茵; M.S.Qureshi; 伏润民; 吴一平; 张藕香;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,2013-05-01;2008-12-01;2008-04-01;2012-04-01;2008-10-01;2008-04-01;,万广华
万广华,西北农林科技大学;,6104.0,1.0,西北农林科技大学;,F;F;,1, 张茵;,经济与管理;经济与管理;,1,2006-06-01;2004-08-01;,万广华
云鹤,中山大学;,4401.0,1.0,中山大学;,F;F;,1, 刘涛; 舒元;,经济与管理;,1,2004-07-01;,云鹤
云鹤,浙江理工大学;,3301.0,1.0,浙江理工大学;,F;F;F;F;F;F;,1, 舒元; 胡剑锋; 吕品; 舒元;,经济与管理;经济与管理;经济与管理;,1,2005-06-01;2012-01-01;2008-07-01;,云鹤
付强,山东大学;,3701.0,1.0,山东大学;,F;,1,,经济与管理;,1,2017-03-01;,付强
付强,重庆大学;,5000.0,1.0,重庆大学;,F;,1, 刘星; 计方;,经济与管理;,1,2013-04-01;,付强
付文林,上海财经大学;,3100.0,1.0,上海财经大学;,F;F;F;F;,1, 赵永辉; 沈坤荣;,经济与管理;经济与管理;,1,2014-05-01;2012-05-01;,付文林
付文林,南京大学;,3201.0,1.0,南京大学;,F;F;F;,1, 耿强;,经济与管理;,1,2011-07-01;,付文林
代谦,厦门大学;,3502.0,1.0,厦门大学;,K;D;,2, 别朝霞;,经济与管理;,1,2015-10-01;,代谦
代谦,武汉大学;,4201.0,1.0,武汉大学;,F;F;F;F;F;F;F;,1, 何祚宇; 李唐; 李唐; 别朝霞;,经济与管理;经济与管理;经济与管理;经济与管理;,1,2015-05-01;2010-06-01;2009-03-01;2006-04-01;,代谦
任寿根,江西财经大学;,3601.0,1.0,江西财经大学;,F;F;F;,1,,经济与管理;经济与管理;,1,2003-02-01;2002-01-01;,任寿根
任寿根,南京大学;,3201.0,1.0,南京大学;,F;,1,,经济与管理;,1,2001-03-01;,任寿根
何启志,南京大学;,3201.0,1.0,南京大学;,F;F;,1, 范从来;,经济与管理;,1,2011-07-01;,何启志
何启志,安徽财经大学;,3403.0,1.0,安徽财经大学;,F;,1, 姚梦雨;,经济与管理;,1,2017-05-01;,何启志
何德旭,中国社会科学院;,1100.0,1.0,中国社会科学院;,F;F;F;F;F;F;F;F;F;F;F;,1, 苗文龙; 姚战琪; 余升国; 蒋照辉; 周宇; 钟震; 娄峰; 吴伯磊;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,2016-02-01;2006-09-01;2002-09-01;2017-08-01;2015-02-01;2013-10-01;2012-10-01;2011-04-01;2002-08-01;,何德旭
何德旭,山西财经大学;,1401.0,1.0,山西财经大学;,F;F;,1, 常戈;,经济与管理;,1,2010-04-01;,何德旭
何德旭,湖北经济学院;,4201.0,1.0,湖北经济学院;,F;,1, 张雪兰;,经济与管理;,1,2009-03-01;,何德旭
何自力,华南理工大学;,4401.0,1.0,华南理工大学;,F;F;F;,1,,经济与管理;经济与管理;,1,2007-01-01;2006-01-01;,何自力
何自力,南开大学;,1200.0,1.0,南开大学;,F;F;,1,,经济与管理;经济与管理;,1,2009-08-01;2001-02-01;,何自力
何诚颖,国信证券;,4403.0,1.0,国信证券;,F;,1,,经济与管理;,1,2003-09-01;,何诚颖
何诚颖,浙江财经大学;,3301.0,1.0,浙江财经大学;,F;F;F;,1, 刘林; 徐向阳; 王占海;,经济与管理;,1,2013-10-01;,何诚颖
何雄浪,,5101.0,2.0,西南财经大学;西南民族大学;;,F;F;X;F;,2, 赵峰;;,经济与管理;经济与管理;,1,2013-04-01;2015-04-01;,何雄浪
何雄浪,宜宾学院;,5115.0,1.0,宜宾学院;,F;F;F;,1, 李国平; 李国平; 杨继瑞;,经济与管理;经济与管理;经济与管理;,1,2007-07-01;2007-12-01;2006-06-01;,何雄浪
何青,中国人民大学;,1100.0,1.0,中国人民大学;,F;F;F;,1, 钱宗鑫; 郭俊杰; 杜巨澜; 薛畅;,经济与管理;经济与管理;,1,2015-12-01;2014-12-01;,何青
何青,南开大学;,1200.0,1.0,南开大学;,F;F;F;F;,1, 李皓鹏; 王冲;,经济与管理;经济与管理;,1,2013-06-01;2008-12-01;,何青
余翔,中国人民银行;,1100.0,1.0,中国人民银行;,F;,1,,经济与管理;,1,2016-01-01;,余翔
余翔,华中科技大学;,4201.0,1.0,华中科技大学;,F;,1, 邱洪华;,经济与管理;,1,2007-12-01;,余翔
俞乔,复旦大学;,3100.0,1.0,复旦大学;,F;F;F;,1, 程滢; 陈剑波; 杨江; 张玮;,经济与管理;经济与管理;,1,2001-04-01;2002-04-01;,俞乔
俞乔,清华大学;,1100.0,1.0,清华大学;,F;F;F;,1, 刘家鹏; 赵昌文;,经济与管理;经济与管理;,1,2013-02-01;2009-06-01;,俞乔
俞红海,上海财经大学;,3100.0,1.0,上海财经大学;,F;F;,1, 徐龙炳; 陈百助;,经济与管理;,1,2010-08-01;,俞红海
俞红海,南京大学;,3201.0,1.0,南京大学;,F;F;,1, 陆蓉; 徐龙炳;,经济与管理;,1,2014-05-01;,俞红海
倪馨,北京师范大学;,1100.0,1.0,北京师范大学;,F;;,2,,经济与管理;,1,2005-10-01;,倪馨
倪馨,河北经贸大学;,1301.0,1.0,河北经贸大学;,F;,1, 李海燕;,经济与管理;,1,2002-11-01;,倪馨
冯旭南,上海大学;,3100.0,1.0,上海大学;,F;F;,1,,经济与管理;,1,2012-04-01;,冯旭南
冯旭南,西南财经大学;,5101.0,1.0,西南财经大学;,F;F;F;,1,,经济与管理;经济与管理;,1,2016-10-01;2014-04-01;,冯旭南
刘冲,上海财经大学;,3100.0,1.0,上海财经大学;,D;F;,2, 郭峰; 傅家范; 周强龙;,经济与管理;,1,2017-10-01;,刘冲
刘冲,北京大学;,1100.0,1.0,北京大学;,F;F;,1, 厉行;,经济与管理;,1,2013-02-01;,刘冲
刘刚,广东财经大学;,4401.0,1.0,广东财经大学;,F;F;F;F;F;,1, 屈恒; 吴思虹; 卢燕峰;,经济与管理;经济与管理;,1,2017-08-01;2015-03-01;,刘刚
刘刚,中国人民大学;,1100.0,1.0,中国人民大学;,F;F;,1, 王泽宇; 程熙鎔;,经济与管理;,1,2016-08-01;,刘刚
刘刚,南开大学;,1200.0,1.0,南开大学;,F;F;,1,,经济与管理;经济与管理;,1,2003-10-01;2002-04-01;,刘刚
刘力,广东外语外贸大学;,4401.0,1.0,广东外语外贸大学;,F;,1,,经济与管理;,1,2005-08-01;,刘力
刘力,北京大学;,1100.0,1.0,北京大学;,F;,1, 俞竞;,经济与管理;,1,2002-08-01;,刘力
刘勇,武汉大学;,4201.0,1.0,武汉大学;,F;F;,1, 白小滢; 邹薇;,经济与管理;,1,2012-12-01;,刘勇
刘勇,江西财经大学;,3601.0,1.0,江西财经大学;,F;,1,,经济与管理;,1,2001-03-01;,刘勇
刘啟仁,厦门大学;,3502.0,1.0,厦门大学;,F;,1, 黄建忠;,经济与管理;,1,2015-12-01;,刘啟仁
刘啟仁,暨南大学;,4401.0,1.0,暨南大学;,F;,1, 黄建忠;,经济与管理;,1,2016-12-01;,刘啟仁
刘喜和,上海大学;,3100.0,1.0,上海大学;,F;F;,1, 周扬; 穆圆媛;,经济与管理;,1,2017-06-01;,刘喜和
刘喜和,天津财经大学;,1200.0,1.0,天津财经大学;,F;F;F;F;F;,1,,经济与管理;经济与管理;,1,2013-06-01;2008-08-01;,刘喜和
刘德鹏,南京大学;,3201.0,1.0,南京大学;,C;,1, 贾良定; 孙雀密; 蔡亚华; 杨椅伊;,经济与管理;,1,2015-12-01;,刘德鹏
刘德鹏,山东大学;,3701.0,1.0,山东大学;,F;,1, 贾良定; 刘畅唱; 蔡亚华; 郑雅琴;,经济与管理;,1,2017-11-01;,刘德鹏
刘拥军,中国农业大学;,1100.0,1.0,中国农业大学;,F;,1,,经济与管理;,1,2004-04-01;,刘拥军
刘拥军,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2002-02-01;,刘拥军
刘文革,浙江工商大学;,3301.0,1.0,浙江工商大学;,F;F;F;F;,1, 周方召; 肖园园; 谢杰; 孙瑾;,经济与管理;经济与管理;,1,2016-11-01;2016-01-01;,刘文革
刘文革,哈尔滨商业大学;,2301.0,1.0,哈尔滨商业大学;,F;F;,1, 关立新; 张广中; 曲振涛;,经济与管理;经济与管理;,1,2005-07-01;2003-12-01;,刘文革
刘斌,,1100.0,2.0,对外经济贸易大学;中国人民银行;;,F;F;F;F;F;F;F;,1, 魏倩; 吕越; 祝坤福; 王乃嘉; 张怀清;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,2016-03-01;2016-09-01;2003-09-01;2002-07-01;2001-07-01;2001-10-01;,刘斌
刘斌,南开大学;,1200.0,1.0,南开大学;,F;F;F;,1, 李磊;,经济与管理;,1,2012-01-01;,刘斌
刘晴,合肥工业大学;,3401.0,1.0,合肥工业大学;,F;F;,1, 程玲; 邵智; 陈清萍;,经济与管理;,1,2017-05-01;,刘晴
刘晴,上海财经大学;,3100.0,1.0,上海财经大学;,F;F;,1, 徐蕾;,经济与管理;,1,2013-09-01;,刘晴
刘洪军,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2002-10-01;,刘洪军
刘洪军,哈尔滨商业大学;,2301.0,1.0,哈尔滨商业大学;,F;,1,,经济与管理;,1,2004-04-01;,刘洪军
刘瑞明,中国人民大学;,1100.0,1.0,中国人民大学;,G;F;D;F;,3, 赵仁杰; 段雨玮; 黄维乔;,经济与管理;经济与管理;,1,2016-10-01;2017-03-01;,刘瑞明
刘瑞明,复旦大学;,3100.0,1.0,复旦大学;,F;F;F;F;F;,1, 石磊;,经济与管理;经济与管理;,1,2010-01-01;2011-01-01;,刘瑞明
刘瑞明,西北大学;,6101.0,1.0,西北大学;,F;F;F;F;F;F;F;,1, 赵仁杰; 石磊; 石磊; 白永秀;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,2015-08-01;2015-04-01;2011-12-01;2011-12-01;2007-10-01;,刘瑞明
刘瑶,东北财经大学;,2102.0,1.0,东北财经大学;,F;F;F;,1, 孙浦阳;,经济与管理;,1,2012-10-01;,刘瑶
刘瑶,南开大学;,1200.0,1.0,南开大学;,F;F;,1,,经济与管理;,1,2011-03-01;,刘瑶
刘畅,南京农业大学;,3201.0,1.0,南京农业大学;,C;,1, 易福金; 徐志刚;,经济与管理;,1,2017-07-01;,刘畅
刘畅,北京大学;,1100.0,1.0,北京大学;,F;F;,1, 刘冲; 马光荣;,经济与管理;,1,2017-08-01;,刘畅
刘胜会,中国人民银行;,1100.0,1.0,中国人民银行;,F;,1,,经济与管理;,1,2011-10-01;,刘胜会
刘胜会,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2006-06-01;,刘胜会
刘阳,南京师范大学;,3201.0,1.0,南京师范大学;,F;,1, 董俊杰;,经济与管理;,1,2013-12-01;,刘阳
刘阳,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2003-08-01;,刘阳
刘青,南开大学;,1200.0,1.0,南开大学;,F;,1, 刘志远; 张健;,经济与管理;,1,2007-02-01;,刘青
刘青,,1100.0,2.0,对外经济贸易大学;中国社会科学院;;,F;F;,1, 陶攀; 洪俊杰;;,经济与管理;经济与管理;,1,2017-01-01;2012-07-01;,刘青
刘静,中国农业科学院;,1100.0,1.0,中国农业科学院;,F;,1, Ruth Meinzen-Dick; 钱克明; 张陆彪; 蒋藜;,经济与管理;,1,2008-01-01;,刘静
刘静,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2002-06-01;,刘静
刘飞,中南财经政法大学;,4201.0,1.0,中南财经政法大学;,F;F;F;,1,,经济与管理;,1,2013-02-01;,刘飞
刘飞,,6101.0,2.0,西安邮电大学;西安交通大学;;,F;F;F;F;,1,;;,经济与管理;经济与管理;经济与管理;,1,2015-04-01;2014-06-01;2011-08-01;,刘飞
卢晶亮,上海财经大学;,3100.0,1.0,上海财经大学;,D;F;F;,2, 冯帅章; 艾春荣;,经济与管理;,1,2014-04-01;,卢晶亮
卢晶亮,暨南大学;,4401.0,1.0,暨南大学;,F;F;,1,,经济与管理;,1,2017-01-01;,卢晶亮
叶光亮,中山大学;,4401.0,1.0,中山大学;,F;F;,1, 邓国营;,经济与管理;,1,2010-01-01;,叶光亮
叶光亮,中国人民大学;,1100.0,1.0,中国人民大学;,F;F;,1, 邓国营; 黎志刚;,经济与管理;,1,2011-12-01;,叶光亮
吴先明,武汉大学;,4201.0,1.0,武汉大学;,F;F;,1, 张楠; 赵奇伟;,经济与管理;,1,2017-10-01;,吴先明
吴先明,南开大学;,1200.0,1.0,南开大学;,F;,1,,经济与管理;,1,2002-08-01;,吴先明
吴志峰,招商银行;,4403.0,1.0,招商银行;,F;F;,1,,经济与管理;,1,2006-05-01;,吴志峰
吴志峰,北京大学;,1100.0,1.0,北京大学;,F;,1,,经济与管理;,1,2005-06-01;,吴志峰
