author_first,unit_city_code,ym,city_unitn,city_units,class_num,mag_classn,coauthor,author_first,unit_city_code,class_num_num,mag_classn_num
万广华,5301.0,2013-05-01;2008-12-01;2008-04-01;2012-04-01;2008-10-01;2008-04-01;,1,云南财经大学;;,F;F;F;F;F;D;D;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;, 张茵; M.S.Qureshi; 伏润民; 吴一平; 张藕香;,万广华,5301.0,2,1
万广华,6104.0,2006-06-01;2004-08-01;,1,西北农林科技大学;;,F;F;,经济与管理;经济与管理;, 张茵;,万广华,6104.0,1,1
云鹤,3301.0,2005-06-01;2012-01-01;2008-07-01;,1,浙江理工大学;;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;, 舒元; 胡剑锋; 吕品; 舒元;,云鹤,3301.0,1,1
云鹤,4401.0,2004-07-01;,1,中山大学;;,F;F;,经济与管理;, 刘涛; 舒元;,云鹤,4401.0,1,1
付强,3701.0,2017-03-01;,1,山东大学;;,F;,经济与管理;,nan,付强,3701.0,1,1
付强,5000.0,2013-04-01;,1,重庆大学;;,F;,经济与管理;, 刘星; 计方;,付强,5000.0,1,1
付文林,3100.0,2014-05-01;2012-05-01;,1,上海财经大学;;,F;F;F;F;,经济与管理;经济与管理;, 赵永辉; 沈坤荣;,付文林,3100.0,1,1
付文林,3201.0,2011-07-01;,1,南京大学;;,F;F;F;,经济与管理;, 耿强;,付文林,3201.0,1,1
代谦,4201.0,2015-05-01;2010-06-01;2009-03-01;2006-04-01;,1,武汉大学;;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;, 何祚宇; 李唐; 李唐; 别朝霞;,代谦,4201.0,1,1
代谦,3502.0,2015-10-01;,1,厦门大学;;,K;D;,经济与管理;, 别朝霞;,代谦,3502.0,2,1
任寿根,3201.0,2001-03-01;,1,南京大学;;,F;,经济与管理;,nan,任寿根,3201.0,1,1
任寿根,3601.0,2003-02-01;2002-01-01;,1,江西财经大学;;,F;F;F;,经济与管理;经济与管理;,nan,任寿根,3601.0,1,1
何启志,3201.0,2011-07-01;,1,南京大学;;,F;F;,经济与管理;, 范从来;,何启志,3201.0,1,1
何启志,3403.0,2017-05-01;,1,安徽财经大学;;,F;,经济与管理;, 姚梦雨;,何启志,3403.0,1,1
何德旭,1100.0,2016-02-01;2006-09-01;2002-09-01;2017-08-01;2015-02-01;2013-10-01;2012-10-01;2011-04-01;2002-08-01;,1,中国社会科学院;;,F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;, 苗文龙; 姚战琪; 余升国; 蒋照辉; 周宇; 钟震; 娄峰; 吴伯磊;,何德旭,1100.0,1,1
何德旭,1401.0,2010-04-01;,1,山西财经大学;;,F;F;,经济与管理;, 常戈;,何德旭,1401.0,1,1
何德旭,4201.0,2009-03-01;,1,湖北经济学院;;,F;,经济与管理;, 张雪兰;,何德旭,4201.0,1,1
何自力,4401.0,2007-01-01;2006-01-01;,1,华南理工大学;;,F;F;F;,经济与管理;经济与管理;,nan,何自力,4401.0,1,1
