author_first,unit_city_code,ym,class_num,mag_classn,city_unitn,city_units,coauthor,author_first.1,unit_city_code.1
何雄浪,5101.0,2013-04-01;2015-04-01;,F;F;X;F;,经济与管理;经济与管理;,2,西南财经大学;西南民族大学;;, 赵峰;;,何雄浪,5101.0
刘斌,1100.0,2016-03-01;2016-09-01;2003-09-01;2002-07-01;2001-07-01;2001-10-01;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,对外经济贸易大学;中国人民银行;;, 魏倩; 吕越; 祝坤福; 王乃嘉; 张怀清;,刘斌,1100.0
刘青,1100.0,2017-01-01;2012-07-01;,F;F;,经济与管理;经济与管理;,2,对外经济贸易大学;中国社会科学院;;, 陶攀; 洪俊杰;;,刘青,1100.0
刘飞,6101.0,2015-04-01;2014-06-01;2011-08-01;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,2,西安邮电大学;西安交通大学;;,;;,刘飞,6101.0
张伟,5201.0,2013-10-01;2011-10-01;,F;X;F;F;,经济与管理;经济与管理;,2,贵州财经大学;贵州大学;;, 朱启贵; 李汉文; 吴文元;,张伟,5201.0
张兵,3201.0,2010-11-01;2008-09-01;2003-01-01;2017-10-01;2015-01-01;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,南京大学;南京农业大学;;, 范致镇; 李心丹; 封思贤; 李心丹; 汪慧建; 李晓明; 陈晓莹; 李丹; 孟德峰;,张兵,3201.0
张勇,1100.0,2014-10-01;2009-05-01;,F;F;F;F;F;,经济与管理;经济与管理;,2,北京大学;中国人民大学;;, 李政军; 龚六堂; 王玺; 古明明;,张勇,1100.0
张卫国,3701.0,2011-08-01;2008-02-01;,F;D;H;,经济与管理;经济与管理;,2,山东社会科学院;山东大学;;, 任燕燕; 花小安;;,张卫国,3701.0
张卫国,5000.0,2011-07-01;2015-08-01;,F;F;F;F;F;F;,经济与管理;经济与管理;,2,重庆大学;西南大学;;, 梁小翠; 陆静; 罗超平; 李海明;,张卫国,5000.0
张强,1100.0,2002-11-01;2011-04-01;,F;F;F;,经济与管理;经济与管理;,2,中国人民银行;中国人民大学;;, 刘西顺; 王伟; 卢荻;,张强,1100.0
张海洋,3301.0,2017-09-01;2011-01-01;2010-04-01;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,2,浙江理工大学;浙江大学;;, 金则杨; 史晋川;,张海洋,3301.0
李君华,4201.0,2016-10-01;2009-04-01;,F;F;F;,经济与管理;经济与管理;,2,湖北经济学院;华中科技大学;;, 欧阳峣;;,李君华,4201.0
李宏瑾,1100.0,2016-01-01;2014-10-01;2012-04-01;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,2,中国金融四十人论坛;中国人民银行;;, 苏乃芳; 洪浩;;,李宏瑾,1100.0
