index,Unnamed: 0,Unnamed: 0.1,id,title,author,author_unit,mag_name,year_period,cited,download,keyword,abstract,fund,class_num,page_num,page_range,author_first,paper_num,aufw,content,cut_out,cutlength
0,0,0,1,中国式分权与新发展理念语境中的标尺竞争;,刘珊珊; 马志远,  上海财经大学公共经济与管理学院,管理世界;,2017-12-15,0,308,"关键词：五大发展理念;
中国式分权;
标尺竞争;","本文借用均值定理的思路和方法测度中国各地在新发展理念语境下社会经济民生福祉和谐发展与否的""二元离散""特征,并构建Probit二元离散模型检验中国式分权体制下地方政府财政支出与治理能力对社会经济民生福祉和谐发展的影响。实证研究结果表明:287个地级市和谐发展偏离指数随时间推移呈收敛态势,标尺竞争引致的俱乐部效应明显;但""问题区域""和""区域问题""并存现象还十分普遍,经济发展水平并非是影响地区和谐发展的主要原因,而与政府财政支出结构偏向关系密切,在五大发展全新理念语境下地方政府财政支出结构调适使得社会经济民生福祉和谐发展改进空间有望得到进一步的提升。",基金：国家自然科学基金项目“基于就业促进和生活保护的社会保险制度费率调整与保障功能优化研究”(编号:71673176)的阶段性成果；,分类号：D61,2,178-179,刘珊珊,1.0,l,"中国式分权与新发展理念语境中的标尺竞争;;关键词：五大发展理念;
中国式分权;
标尺竞争;本文借用均值定理的思路和方法测度中国各地在新发展理念语境下社会经济民生福祉和谐发展与否的""二元离散""特征,并构建Probit二元离散模型检验中国式分权体制下地方政府财政支出与治理能力对社会经济民生福祉和谐发展的影响。实证研究结果表明:287个地级市和谐发展偏离指数随时间推移呈收敛态势,标尺竞争引致的俱乐部效应明显;但""问题区域""和""区域问题""并存现象还十分普遍,经济发展水平并非是影响地区和谐发展的主要原因,而与政府财政支出结构偏向关系密切,在五大发展全新理念语境下地方政府财政支出结构调适使得社会经济民生福祉和谐发展改进空间有望得到进一步的提升。",中国式分权 新 发展 理念 语境 标尺竞争 关键词 五大发展理念 中国式分权 标尺竞争 借用 均值 定理 思路 各地 新 发展 理念 语境 社会 经济 民生 福祉 和谐 发展 二元 离散 特征 二元 离散 检验 中国式分权 体制 地方政府 财政支出 治理能力 社会 经济 民生 福祉 和谐 发展 实证研究 地级市 和谐 发展 偏离 指数 时间推移 呈 收敛 态势 标尺竞争 引致 俱乐部 效应 明显 区域 区域 并存 现象 还 十分 普遍 经济发展水平 并非 地区 和谐 发展 原因 政府 财政 支出结构偏向 关系密切 五大 发展 全新 理念 语境 地方政府 财政支出结构 调适 社会 经济 民生 福祉 和谐 发展 改进 空间 有望 ,317
1,1,1,2,海洋生态补偿的制度建设与治理实践——基于国际比较视角;,朱炜; 王乐锦; 王斌; 谈立群,  山东财经大学  燕山大学,管理世界;,2017-12-15,0,292,"关键词：海洋生态补偿;
制度建设;
治理实践;","本文从环境影响评估、损害赔偿和海洋保护区3个方面梳理了国际公约和一些国家制定的与海洋生态补偿相关的制度;从治理目标、治理方式和治理手段3个层面概括了海洋生态补偿的国际治理实践;最后在借鉴国际经验的基础上,提出了我国海洋生态补偿在法律法规、管理制度和整合管理机制等方面的政策建议。","基金：山东省社会科学规划项目“基于政府自然资源资产负债表编制的生物资源价值计量研究”(15BGLJ03)；
山东省重大财经应用研究课题项目“山东省海洋经济发展中的生态补偿制度研究”(CJ-2017-31)的阶段性研究成果；",分类号：D993.5,2,176-177,朱炜,1.0,z,"海洋生态补偿的制度建设与治理实践——基于国际比较视角;;关键词：海洋生态补偿;
制度建设;
治理实践;本文从环境影响评估、损害赔偿和海洋保护区3个方面梳理了国际公约和一些国家制定的与海洋生态补偿相关的制度;从治理目标、治理方式和治理手段3个层面概括了海洋生态补偿的国际治理实践;最后在借鉴国际经验的基础上,提出了我国海洋生态补偿在法律法规、管理制度和整合管理机制等方面的政策建议。",海洋生态补偿 制度建设 治理实践 国际比较 关键词 海洋生态补偿 制度建设 治理实践 环境影响 评估 损害赔偿 海洋 保护区 国际公约 一些 国家 制定 海洋生态补偿 制度 治理 目标 治理 方式 治理 手段 层面 概括 海洋生态补偿 国际 治理实践 借鉴 国际经验 海洋生态补偿 法律法规 管理制度 整合 管理机制 政策建议 ,164
2,2,2,3,新常态下中国流动人口的居留意愿与家庭消费水平研究;,李国正; 艾小青; 邬嘉迪,  北京工业大学经济与管理学院  华北水利水电大学,管理世界;,2017-12-15,0,432,"关键词：流动人口;
居留意愿;
消费水平;
公共服务;","目前全国流动人口数量已经超过2.47亿,并呈现上升趋势,研究这一群体的消费行为对于实现中国经济内生性增长具有重要意义。基于国家卫计委2015年流动人口动态监测数据,统计显示60%以上的流动人口具有长期定居意愿,通过工具变量回归发现:流动人口居留意愿对家庭消费水平有显著影响;相比其他群体,""打算在本地长期居住(5年以上)""流动人口的家庭消费水平要高出70%~80%。研究认为,改善城镇公共服务质量有助于提高流动人口定居意愿,进而拉动消费,促进经济增长。",基金：国家社科基金重点项目“提高户籍人口城镇化率的对策研究”(16ARK001)的支持；,分类号：C924.2;F126.1,2,174-175,李国正,1.0,l,"新常态下中国流动人口的居留意愿与家庭消费水平研究;;关键词：流动人口;
居留意愿;
消费水平;
公共服务;目前全国流动人口数量已经超过2.47亿,并呈现上升趋势,研究这一群体的消费行为对于实现中国经济内生性增长具有重要意义。基于国家卫计委2015年流动人口动态监测数据,统计显示60%以上的流动人口具有长期定居意愿,通过工具变量回归发现:流动人口居留意愿对家庭消费水平有显著影响;相比其他群体,""打算在本地长期居住(5年以上)""流动人口的家庭消费水平要高出70%~80%。研究认为,改善城镇公共服务质量有助于提高流动人口定居意愿,进而拉动消费,促进经济增长。",新常态 流动人口 居留意愿 家庭 消费水平 关键词 流动人口 居留意愿 消费水平 公共服务 目前 全国 流动人口 数量 已经 超过 亿 呈现 上升 趋势 这一 群体 消费行为 中国经济 内生性 增长 意义 国家 卫 计委 流动人口 动态 监测数据 统计 显示 以上 流动人口 长期 定居 意愿 工具变量 回归 流动人口 居留意愿 家庭 消费水平 相比 群体 打算 本地 长期 居住 以上 流动人口 家庭 消费水平 高出 认为 改善 城镇 公共 服务质量 有助于 流动人口 定居 意愿 拉动 消费 经济增长 ,253
3,3,3,4,提高最低工资会拉升产品价格吗?;,徐建炜; 邹静娴; 毛捷,  北京师范大学经济与工商管理学院  人民大学国家发展与战略研究院  对外经济贸易大学国际经济贸易学院,管理世界;,2017-12-15,0,364,"关键词：最低工资;
价格传递;
竞争效应;
自身效应;","最低工资的提高是否会影响价格水平?本文通过构建企业—产品层级的理论模型,指出最低工资标准的变动不仅会对受到最低工资约束(binding)的企业产生直接影响——""自身效应"",还会对那些不受最低工资约束(non-binding)的企业产生间接影响——""竞争效应"",其净效应是二者之和。进一步,我们通过合并2007~2011年的抽样调查企业数据及其对应的货物销售数据,以及涵盖全国县级行政区域的月度最低工资数据,构造与理论一致的指标进行实证检验。研究发现,最低工资每上调10%,通过""竞争效应""和""自身效应""带来的产品价格涨幅分别为0.07%和0.02%,上述结果在统计上显著,且十分稳健。研究还发现,""自身效应""对于那些工资更接近最低工资标准的企业更显著;但是,随着市场集中度的上升,""竞争效应""会变得更为重要。","基金：国家自然科学基金青年项目(71303021)、国家自然科学基金面上项目(71573038、71673028、71473054)；
北京市社会科学基金(14JGC100)的资助；",分类号：F249.24;F273.2,20,33-45,徐建炜,,x,"提高最低工资会拉升产品价格吗?;;关键词：最低工资;
价格传递;
竞争效应;
自身效应;最低工资的提高是否会影响价格水平?本文通过构建企业—产品层级的理论模型,指出最低工资标准的变动不仅会对受到最低工资约束(binding)的企业产生直接影响——""自身效应"",还会对那些不受最低工资约束(non-binding)的企业产生间接影响——""竞争效应"",其净效应是二者之和。进一步,我们通过合并2007~2011年的抽样调查企业数据及其对应的货物销售数据,以及涵盖全国县级行政区域的月度最低工资数据,构造与理论一致的指标进行实证检验。研究发现,最低工资每上调10%,通过""竞争效应""和""自身效应""带来的产品价格涨幅分别为0.07%和0.02%,上述结果在统计上显著,且十分稳健。研究还发现,""自身效应""对于那些工资更接近最低工资标准的企业更显著;但是,随着市场集中度的上升,""竞争效应""会变得更为重要。",最低工资 拉升 产品价格 关键词 最低工资 价格传递 竞争效应 自身效应 最低工资 是否 价格水平 企业 产品 层级 理论模型 指出 最低工资标准 变动 受到 最低工资 约束 企业 直接 自身效应 还会 受 最低工资 约束 企业 间接 竞争效应 其净 效应 二者 合并 抽样调查 企业 对应 货物 销售 涵盖 全国 县级 行政区域 月度 最低工资 构造 一致 实证检验 最低工资 上调 竞争效应 自身效应 带来 产品价格 涨幅 分别 上述 统计 十分 稳健 还 自身效应 工资 接近 最低工资标准 企业 市场集中度 上升 竞争效应 变得 更为重要 ,274
4,4,4,5,多个大股东与企业融资约束——基于文本分析的经验证据;,姜付秀; 王运通; 田园; 吴恺,  中国人民大学商学院财务与金融系  武汉大学经济与管理学院博士后流动站  中国华融资产管理股份有限公司博士后科研工作站  安徽财经大学会计学院  东北财经大学会计学院,管理世界;,2017-12-15,2,939,"关键词：多个大股东;
监督;
融资约束;
文本分析;","本文采用文本分析方法构建了融资约束指标,在此基础上,实证检验了多个大股东对企业融资约束的影响以及相应的作用机理。我们发现,多个大股东的公司有着较低的融资约束水平。该结论在控制内生性情况下依然成立。中介效应模型的检验结果表明,其他大股东通过抑制控股股东的掏空行为降低了企业融资约束。进一步的研究结果表明,在其他大股东具有较强的监督动机和监督能力(大股东数量更多、持股数量之和更大、大股东之间不容易合谋)、及更好的外部环境(信息环境、法律环境)时,公司的融资约束水平更低,这些发现在逻辑上为其他大股东的监督假说提供证据支持的同时,也表明大股东发挥监督作用降低企业融资约束需要一定条件。本文为完善中国情景下的融资约束指标构建、更好度量中国企业融资约束提供了有益参考;同时,为股权结构安排的经济后果提供了新的证据支持。",基金：国家自然科学基金重点项目(71432008)阶段性成果；,分类号：F0,20,61-74,姜付秀,,j,"多个大股东与企业融资约束——基于文本分析的经验证据;;关键词：多个大股东;
监督;
融资约束;
文本分析;本文采用文本分析方法构建了融资约束指标,在此基础上,实证检验了多个大股东对企业融资约束的影响以及相应的作用机理。我们发现,多个大股东的公司有着较低的融资约束水平。该结论在控制内生性情况下依然成立。中介效应模型的检验结果表明,其他大股东通过抑制控股股东的掏空行为降低了企业融资约束。进一步的研究结果表明,在其他大股东具有较强的监督动机和监督能力(大股东数量更多、持股数量之和更大、大股东之间不容易合谋)、及更好的外部环境(信息环境、法律环境)时,公司的融资约束水平更低,这些发现在逻辑上为其他大股东的监督假说提供证据支持的同时,也表明大股东发挥监督作用降低企业融资约束需要一定条件。本文为完善中国情景下的融资约束指标构建、更好度量中国企业融资约束提供了有益参考;同时,为股权结构安排的经济后果提供了新的证据支持。",多个大股东 企业 融资约束 文本分析 经验 证据 关键词 多个大股东 监督 融资约束 文本分析 文本分析 融资约束 此基础 实证检验 多个大股东 企业 融资约束 相应 机理 多个大股东 公司 有着 融资约束 结论 控制 内生性 依然 成立 中介效应 检验 大股东 控股股东 掏空行为 企业 融资约束 大股东 较强 监督 动机 监督 能力 大股东 数量 持股 数量 大大 股东 容易 合谋 更好 外部环境 信息环境 法律环境 公司 融资约束 逻辑 大股东 监督 假说 提供 证据 支持 大股东 发挥 监督 企业 融资约束 情景 融资约束 更好 度量 企业 融资约束 提供 有益 参考 股权结构 安排 经济后果 提供 新 证据 支持 ,315
5,5,5,6,寻找创新驱动发展的新理论思维——基于新熊彼特增长理论的思考;,柳卸林; 高雨辰; 丁雪辰,  中国科学院大学经济与管理学院  中国科学院大学经济与管理学院中国—丹麦科研教育中心,管理世界;,2017-12-15,3,883,"关键词：创新驱动发展;
新熊彼特主义;
科技政策;
创新系统;","中国改革开放40年以来获得了巨大的经济发展成果,目前已进入发展模式的转型期。我国政府提出创新驱动发展战略,强调创新是发展的第一动力。我国已经从技术追赶阶段逐渐进入了前沿科技的""无人区"",国家创新体系需要激发由好奇心驱动的具有前瞻性、探索性、颠覆性的科技创新。但是,在国家创新体系的转型过程中,政府如何改善治理模式,鼓励和促进创新等问题仍然需要系统性地回答。因此,本文基于新熊彼特增长理论,回溯了创新在我国经济增长与发展中的实践,讨论了当前我国经济发展模式中创新遇到的挑战,并给出适用于中国创新驱动发展的制度建设与政策制定的建议。",,分类号：F124.3,20,8-19,柳卸林,1.0,l,"寻找创新驱动发展的新理论思维——基于新熊彼特增长理论的思考;;关键词：创新驱动发展;
新熊彼特主义;
科技政策;
创新系统;中国改革开放40年以来获得了巨大的经济发展成果,目前已进入发展模式的转型期。我国政府提出创新驱动发展战略,强调创新是发展的第一动力。我国已经从技术追赶阶段逐渐进入了前沿科技的""无人区"",国家创新体系需要激发由好奇心驱动的具有前瞻性、探索性、颠覆性的科技创新。但是,在国家创新体系的转型过程中,政府如何改善治理模式,鼓励和促进创新等问题仍然需要系统性地回答。因此,本文基于新熊彼特增长理论,回溯了创新在我国经济增长与发展中的实践,讨论了当前我国经济发展模式中创新遇到的挑战,并给出适用于中国创新驱动发展的制度建设与政策制定的建议。",寻找 创新驱动发展 新 思维 新 熊彼特 增长理论 思考 关键词 创新驱动发展 新熊彼特主义 科技政策 创新系统 改革开放 以来 获得 巨大 经济发展 成果 目前 已 进入 发展模式 转型期 政府 创新驱动发展 战略 强调 创新 发展 第一 动力 已经 技术追赶 阶段 逐渐 进入 前沿 科技 无人区 国家 创新体系 激发 好奇心 驱动 前瞻性 探索性 颠覆性 科技创新 国家 创新体系 转型 政府 改善 治理模式 鼓励 创新 仍然 系统性 回答 新 熊彼特 增长理论 回溯 创新 经济增长 发展 实践 讨论 经济 发展模式 创新 遇到 挑战 适用 创新驱动发展 制度建设 政策 制定 建议 ,296
6,6,6,7,思维定势如何影响创意质量——基于“众包”平台的实证研究;,杨光; 汪立,  上海财经大学,管理世界;,2017-12-15,0,550,"关键词：创新;
思维定势;
众包;","人们在创新过程中会面临诸多困难和挑战,比如过去的经验会让人们陷入思维定势。研究表明思维定势会限定人们的思维,降低创意的质量。思维定势不仅可以来源于自己的经验,也可以来源于了解和学习别人的经验。鲜有文献关注不同来源的思维定势对人们创意质量影响的异同,以及两种思维定势之间的相互作用。本文基于某T恤""众包""公司6年的面板数据,对上述问题进行了实证研究。结果表明:第一,在用户没有成功经验时,别人创意成功(给用户)造成的思维定势对用户未来创意的成功有积极影响;第二,用户自己创意成功造成的思维定势对其未来创意的成功有消极影响;第三,当用户有成功经验后,别人创意成功(给用户)造成的思维定势可以缓解用户自己思维定势的消极影响。本文的主要贡献在于将思维定势区分为来源于自己和他人,同时研究了两种思维定势对用户创意质量的不同影响以及两者之间的相互作用,并探讨了其背后潜在的影响机理。",基金：国家自然科学基金资助“不同企业社会责任类型对消费者品牌评价的影响和机制研究”(项目编号:71472115)；,分类号：F279.2,20,109-124+157+188,杨光,,y,"思维定势如何影响创意质量——基于“众包”平台的实证研究;;关键词：创新;
思维定势;
众包;人们在创新过程中会面临诸多困难和挑战,比如过去的经验会让人们陷入思维定势。研究表明思维定势会限定人们的思维,降低创意的质量。思维定势不仅可以来源于自己的经验,也可以来源于了解和学习别人的经验。鲜有文献关注不同来源的思维定势对人们创意质量影响的异同,以及两种思维定势之间的相互作用。本文基于某T恤""众包""公司6年的面板数据,对上述问题进行了实证研究。结果表明:第一,在用户没有成功经验时,别人创意成功(给用户)造成的思维定势对用户未来创意的成功有积极影响;第二,用户自己创意成功造成的思维定势对其未来创意的成功有消极影响;第三,当用户有成功经验后,别人创意成功(给用户)造成的思维定势可以缓解用户自己思维定势的消极影响。本文的主要贡献在于将思维定势区分为来源于自己和他人,同时研究了两种思维定势对用户创意质量的不同影响以及两者之间的相互作用,并探讨了其背后潜在的影响机理。",思维定势 创意 质量 众包 平台 实证研究 关键词 创新 思维定势 众包 人们 创新 诸多困难 挑战 过去 经验 人们 陷入 思维定势 思维定势 限定 人们 思维 创意 质量 思维定势 来源于 经验 来源于 了解 学习 别人 经验 鲜有 来源 思维定势 人们 创意 质量 异同 两种 思维定势 相互作用 某恤 众包 公司 上述 实证研究 第一 用户 没有 成功经验 别人 创意 成功 用户 造成 思维定势 用户 未来 创意 成功 积极 第二 用户 创意 成功 造成 思维定势 未来 创意 成功 消极影响 第三 用户 成功经验 别人 创意 成功 用户 造成 思维定势 缓解 用户 思维定势 消极影响 贡献 在于 思维定势 区分 来源于 两种 思维定势 用户 创意 质量 两者之间 相互作用 探讨 背后 潜在 机理 ,356
7,7,7,8,内部员工优势——来自企业人事数据的实证证据;,张红; 周黎安; 梁建章,  暨南大学产业经济研究院  北京大学光华管理学院,管理世界;,2017-12-15,1,686,"关键词：激励;
晋升;
招聘;
锦标赛;","本文探讨了职位空缺时公司在外部招聘与内部晋升之间的选择。我们发现在人才选聘过程中存在内部员工优势:同一职级上,与招聘的外部员工相比,晋升的内部员工通用人力资本偏少,且内部员工的工资和晋升概率也偏低;这意味着相比于同职级的内部员工,公司为外部员工设置的进入门槛更高。不仅如此,内部员工优势在不同工作类型与工作职级中均存在差异。进一步地,本文还细致探讨了此类内部员工优势背后的机制,论证了管理防御、专用人力资本、锦标赛竞争机制是会导致内部员工优势的原因,其中锦标赛竞争机制是主要原因。我们发现:正如锦标赛预期的那样,职位的开放对现有员工努力程度有负向影响,且职位对外开放导致现有员工感受到晋升受阻更可能主动离职;而其他机制最多只能解释小部分内部员工优势。","基金：国家自然科学基金重点项目“推动经济发达地区产业转型升级的机制与政策研究”(71333007)；
广东普通高校哲学社会科学重点实验室“暨南大学产业大数据应用与经济决策研究实验室”的资助；",分类号：F272.92,20,141-157+188,张红,,z,"内部员工优势——来自企业人事数据的实证证据;;关键词：激励;
晋升;
招聘;
锦标赛;本文探讨了职位空缺时公司在外部招聘与内部晋升之间的选择。我们发现在人才选聘过程中存在内部员工优势:同一职级上,与招聘的外部员工相比,晋升的内部员工通用人力资本偏少,且内部员工的工资和晋升概率也偏低;这意味着相比于同职级的内部员工,公司为外部员工设置的进入门槛更高。不仅如此,内部员工优势在不同工作类型与工作职级中均存在差异。进一步地,本文还细致探讨了此类内部员工优势背后的机制,论证了管理防御、专用人力资本、锦标赛竞争机制是会导致内部员工优势的原因,其中锦标赛竞争机制是主要原因。我们发现:正如锦标赛预期的那样,职位的开放对现有员工努力程度有负向影响,且职位对外开放导致现有员工感受到晋升受阻更可能主动离职;而其他机制最多只能解释小部分内部员工优势。",内部 员工 优势 来自 企业 人事 实证证据 关键词 激励 晋升 招聘 锦标赛 探讨 职位 空缺 公司 外部 招聘 内部晋升 选择 人才 选聘 内部 员工 优势 同一 职级 招聘 外部 员工 相比 晋升 内部 员工 通用 人力资本 偏少 内部 员工 工资 晋升 概率 偏低 意味着 相比 于同 职级 内部 员工 公司 外部 员工 设置 进入 门槛 更高 不仅如此 内部 员工 优势 工作 类型 工作 职级 中均 还 细致 探讨 此类 内部 员工 优势 背后 机制 论证 管理 防御 专用 人力资本 锦标赛 竞争机制 内部 员工 优势 原因 锦标赛 竞争机制 原因 锦标赛 预期 职位 开放 现有 员工 努力 负向 职位 对外开放 现有 员工 感受 晋升 受阻 可能 主动 离职 机制 最 只能 解释 小 内部 员工 优势 ,361
8,8,8,9,领导宽恕与员工抑制性建言的关系研究;,张亚军; 张磊,  贵州财经大学工商管理学院,管理世界;,2017-12-15,0,459,"关键词：领导宽恕;
抑制性建言;
心理安全感;","在本土情境下探讨了领导宽恕对员工抑制性建言的影响,重点分析了心理安全感的中介作用以及组织自尊的调节作用。采用多层线性模型等方法分析了58名主管和290个员工的配对样本。研究结果表明:领导宽恕对员工抑制性建言存在显著的正向影响;心理安全感在领导宽恕与员工抑制性建言之间起中介作用;组织自尊正向调节心理安全感与员工抑制性建言之间的关系。","基金：贵州省科技计划项目(黔科合基础[2017]1709)；
贵州省哲学社会科学规划课题(16GZQN05)的支持；",分类号：F272.92,2,184-185,张亚军,1.0,z,"领导宽恕与员工抑制性建言的关系研究;;关键词：领导宽恕;
抑制性建言;
心理安全感;在本土情境下探讨了领导宽恕对员工抑制性建言的影响,重点分析了心理安全感的中介作用以及组织自尊的调节作用。采用多层线性模型等方法分析了58名主管和290个员工的配对样本。研究结果表明:领导宽恕对员工抑制性建言存在显著的正向影响;心理安全感在领导宽恕与员工抑制性建言之间起中介作用;组织自尊正向调节心理安全感与员工抑制性建言之间的关系。",领导宽恕 员工 抑制性建言 关键词 领导宽恕 抑制性建言 心理安全感 本土 情境 探讨 领导宽恕 员工 抑制性建言 重点 心理安全感 中介 组织 自尊 调节作用 多层线性模型 名 主管 员工 配对 领导宽恕 员工 抑制性建言 正向 心理安全感 领导宽恕 员工 抑制性建言 中介 组织 自尊 正向 调节 心理安全感 员工 抑制性建言 ,166
9,9,9,10,2016/2017中国信息经济学乌家培奖获奖公告;,,  中国信息经济学会,管理世界;,2017-12-15,0,54,;,"<正>2016年中国信息经济学乌家培奖授予清华大学徐心教授和北京大学翁翕助理教授,以表彰他们分别在信息技术扩散及其经济影响领域,在信息、学习和激励领域做出的理论创新贡献。2017年中国信息经济学乌家培奖授予哈尔滨工业大学叶强教授和中国人民大学李三希副教授,以表彰他们分别在社会媒体及其影响机制领域,作拍卖和契约设计领域做出的理论创新贡献。",,分类号：F49,1,4,,,n,"2016/2017中国信息经济学乌家培奖获奖公告;;;<正>2016年中国信息经济学乌家培奖授予清华大学徐心教授和北京大学翁翕助理教授,以表彰他们分别在信息技术扩散及其经济影响领域,在信息、学习和激励领域做出的理论创新贡献。2017年中国信息经济学乌家培奖授予哈尔滨工业大学叶强教授和中国人民大学李三希副教授,以表彰他们分别在社会媒体及其影响机制领域,作拍卖和契约设计领域做出的理论创新贡献。",信息经济学 乌家 培奖 获奖 公告 正年 信息经济学 乌家 培奖 授予 清华大学 徐心 教授 北京大学 翁 翕 助理 教授 表彰 分别 信息技术 扩散 经济影响 信息 学习 激励 做出 理论创新 贡献 信息经济学 乌家 培奖 授予 哈尔滨工业大学 叶强 教授 中国人民大学 李三希 副教授 表彰 分别 社会 媒体 机制 作 拍卖 契约 设计 做出 理论创新 贡献 ,182
