,mag_name,cited,download,guanxi1,guanxi2
0,管理世界,0,308,False,False
1,管理世界,0,292,False,False
2,管理世界,0,432,False,False
3,管理世界,0,364,False,False
4,管理世界,2,939,False,False
5,管理世界,3,883,False,False
6,管理世界,0,550,False,False
7,管理世界,1,686,False,False
8,管理世界,0,459,False,False
9,管理世界,0,581,False,False
10,管理世界,0,487,False,False
11,管理世界,0,529,False,False
12,管理世界,0,380,False,False
13,管理世界,2,765,False,False
14,管理世界,0,714,False,False
15,管理世界,1,917,False,True
16,管理世界,0,846,False,False
17,管理世界,0,1445,False,False
18,管理世界,0,266,False,False
19,管理世界,0,442,False,False
20,管理世界,1,482,False,False
21,管理世界,0,811,False,False
22,管理世界,0,358,False,False
23,管理世界,1,414,False,False
24,管理世界,0,308,False,False
25,管理世界,0,823,False,False
26,管理世界,0,568,False,False
27,管理世界,2,504,False,False
28,管理世界,1,421,False,True
29,管理世界,1,1058,False,False
30,管理世界,0,623,False,False
31,管理世界,0,532,False,False
32,管理世界,0,594,False,False
33,管理世界,0,328,False,False
34,管理世界,1,438,False,False
35,管理世界,0,523,False,False
36,管理世界,0,726,False,False
37,管理世界,0,562,False,False
38,管理世界,2,679,False,False
39,管理世界,0,729,False,False
40,管理世界,0,736,False,False
41,管理世界,1,576,False,False
42,管理世界,0,318,False,False
43,管理世界,0,384,False,False
44,管理世界,0,589,False,False
45,管理世界,0,1379,False,False
46,管理世界,0,1641,False,False
47,管理世界,1,1218,False,False
48,管理世界,3,1239,False,False
49,管理世界,1,333,False,False
50,管理世界,0,221,False,False
51,管理世界,2,611,False,False
52,管理世界,0,665,False,False
53,管理世界,0,247,False,False
54,管理世界,0,500,False,False
55,管理世界,3,1036,False,False
56,管理世界,2,1038,False,False
57,管理世界,1,775,False,False
58,管理世界,0,581,False,False
59,管理世界,0,340,False,False
60,管理世界,3,887,False,False
61,管理世界,2,518,False,False
62,管理世界,0,432,False,False
63,管理世界,2,1187,False,False
64,管理世界,0,500,False,False
65,管理世界,2,1329,False,False
66,管理世界,1,649,False,False
67,管理世界,0,295,False,False
68,管理世界,7,1167,False,False
69,管理世界,1,1090,False,False
70,管理世界,0,1532,False,False
71,管理世界,0,446,False,False
72,管理世界,1,567,False,False
73,管理世界,0,364,False,False
74,管理世界,0,708,False,False
75,管理世界,0,309,False,False
76,管理世界,0,326,False,False
78,管理世界,1,640,False,False
79,管理世界,2,1097,False,False
80,管理世界,0,633,False,False
81,管理世界,0,817,False,False
82,管理世界,0,439,False,False
83,管理世界,0,1199,False,False
84,管理世界,2,548,False,False
85,管理世界,0,836,False,False
86,管理世界,2,656,True,True
87,管理世界,1,1032,False,False
88,管理世界,1,517,False,False
89,管理世界,0,885,True,True
90,管理世界,4,2779,False,False
91,管理世界,2,1296,False,False
92,管理世界,1,737,False,False
93,管理世界,1,482,False,False
94,管理世界,2,1170,False,False
95,管理世界,2,1360,False,False
96,管理世界,6,1244,False,False
