index,cut_out
0,中国式分权 新 发展 理念 语境 标尺竞争 关键词 五大发展理念 中国式分权 标尺竞争 借用 均值 定理 思路 各地 新 发展 理念 语境 社会 经济 民生 福祉 和谐 发展 二元 离散 特征 二元 离散 检验 中国式分权 体制 地方政府 财政支出 治理能力 社会 经济 民生 福祉 和谐 发展 实证研究 地级市 和谐 发展 偏离 指数 时间推移 呈 收敛 态势 标尺竞争 引致 俱乐部 效应 明显 区域 区域 并存 现象 还 十分 普遍 经济发展水平 并非 地区 和谐 发展 原因 政府 财政 支出结构偏向 关系密切 五大 发展 全新 理念 语境 地方政府 财政支出结构 调适 社会 经济 民生 福祉 和谐 发展 改进 空间 有望 
1,海洋生态补偿 制度建设 治理实践 国际比较 关键词 海洋生态补偿 制度建设 治理实践 环境影响 评估 损害赔偿 海洋 保护区 国际公约 一些 国家 制定 海洋生态补偿 制度 治理 目标 治理 方式 治理 手段 层面 概括 海洋生态补偿 国际 治理实践 借鉴 国际经验 海洋生态补偿 法律法规 管理制度 整合 管理机制 政策建议 
2,新常态 流动人口 居留意愿 家庭 消费水平 关键词 流动人口 居留意愿 消费水平 公共服务 目前 全国 流动人口 数量 已经 超过 亿 呈现 上升 趋势 这一 群体 消费行为 中国经济 内生性 增长 意义 国家 卫 计委 流动人口 动态 监测数据 统计 显示 以上 流动人口 长期 定居 意愿 工具变量 回归 流动人口 居留意愿 家庭 消费水平 相比 群体 打算 本地 长期 居住 以上 流动人口 家庭 消费水平 高出 认为 改善 城镇 公共 服务质量 有助于 流动人口 定居 意愿 拉动 消费 经济增长 
3,最低工资 拉升 产品价格 关键词 最低工资 价格传递 竞争效应 自身效应 最低工资 是否 价格水平 企业 产品 层级 理论模型 指出 最低工资标准 变动 受到 最低工资 约束 企业 直接 自身效应 还会 受 最低工资 约束 企业 间接 竞争效应 其净 效应 二者 合并 抽样调查 企业 对应 货物 销售 涵盖 全国 县级 行政区域 月度 最低工资 构造 一致 实证检验 最低工资 上调 竞争效应 自身效应 带来 产品价格 涨幅 分别 上述 统计 十分 稳健 还 自身效应 工资 接近 最低工资标准 企业 市场集中度 上升 竞争效应 变得 更为重要 
4,多个大股东 企业 融资约束 文本分析 经验 证据 关键词 多个大股东 监督 融资约束 文本分析 文本分析 融资约束 此基础 实证检验 多个大股东 企业 融资约束 相应 机理 多个大股东 公司 有着 融资约束 结论 控制 内生性 依然 成立 中介效应 检验 大股东 控股股东 掏空行为 企业 融资约束 大股东 较强 监督 动机 监督 能力 大股东 数量 持股 数量 大大 股东 容易 合谋 更好 外部环境 信息环境 法律环境 公司 融资约束 逻辑 大股东 监督 假说 提供 证据 支持 大股东 发挥 监督 企业 融资约束 情景 融资约束 更好 度量 企业 融资约束 提供 有益 参考 股权结构 安排 经济后果 提供 新 证据 支持 
5,寻找 创新驱动发展 新 思维 新 熊彼特 增长理论 思考 关键词 创新驱动发展 新熊彼特主义 科技政策 创新系统 改革开放 以来 获得 巨大 经济发展 成果 目前 已 进入 发展模式 转型期 政府 创新驱动发展 战略 强调 创新 发展 第一 动力 已经 技术追赶 阶段 逐渐 进入 前沿 科技 无人区 国家 创新体系 激发 好奇心 驱动 前瞻性 探索性 颠覆性 科技创新 国家 创新体系 转型 政府 改善 治理模式 鼓励 创新 仍然 系统性 回答 新 熊彼特 增长理论 回溯 创新 经济增长 发展 实践 讨论 经济 发展模式 创新 遇到 挑战 适用 创新驱动发展 制度建设 政策 制定 建议 
6,思维定势 创意 质量 众包 平台 实证研究 关键词 创新 思维定势 众包 人们 创新 诸多困难 挑战 过去 经验 人们 陷入 思维定势 思维定势 限定 人们 思维 创意 质量 思维定势 来源于 经验 来源于 了解 学习 别人 经验 鲜有 来源 思维定势 人们 创意 质量 异同 两种 思维定势 相互作用 某恤 众包 公司 上述 实证研究 第一 用户 没有 成功经验 别人 创意 成功 用户 造成 思维定势 用户 未来 创意 成功 积极 第二 用户 创意 成功 造成 思维定势 未来 创意 成功 消极影响 第三 用户 成功经验 别人 创意 成功 用户 造成 思维定势 缓解 用户 思维定势 消极影响 贡献 在于 思维定势 区分 来源于 两种 思维定势 用户 创意 质量 两者之间 相互作用 探讨 背后 潜在 机理 
7,内部 员工 优势 来自 企业 人事 实证证据 关键词 激励 晋升 招聘 锦标赛 探讨 职位 空缺 公司 外部 招聘 内部晋升 选择 人才 选聘 内部 员工 优势 同一 职级 招聘 外部 员工 相比 晋升 内部 员工 通用 人力资本 偏少 内部 员工 工资 晋升 概率 偏低 意味着 相比 于同 职级 内部 员工 公司 外部 员工 设置 进入 门槛 更高 不仅如此 内部 员工 优势 工作 类型 工作 职级 中均 还 细致 探讨 此类 内部 员工 优势 背后 机制 论证 管理 防御 专用 人力资本 锦标赛 竞争机制 内部 员工 优势 原因 锦标赛 竞争机制 原因 锦标赛 预期 职位 开放 现有 员工 努力 负向 职位 对外开放 现有 员工 感受 晋升 受阻 可能 主动 离职 机制 最 只能 解释 小 内部 员工 优势 
8,领导宽恕 员工 抑制性建言 关键词 领导宽恕 抑制性建言 心理安全感 本土 情境 探讨 领导宽恕 员工 抑制性建言 重点 心理安全感 中介 组织 自尊 调节作用 多层线性模型 名 主管 员工 配对 领导宽恕 员工 抑制性建言 正向 心理安全感 领导宽恕 员工 抑制性建言 中介 组织 自尊 正向 调节 心理安全感 员工 抑制性建言 
9,信息经济学 乌家 培奖 获奖 公告 正年 信息经济学 乌家 培奖 授予 清华大学 徐心 教授 北京大学 翁 翕 助理 教授 表彰 分别 信息技术 扩散 经济影响 信息 学习 激励 做出 理论创新 贡献 信息经济学 乌家 培奖 授予 哈尔滨工业大学 叶强 教授 中国人民大学 李三希 副教授 表彰 分别 社会 媒体 机制 作 拍卖 契约 设计 做出 理论创新 贡献 
