mag_name_ord,mag_name_new
广东金融学院学报,金融经济学研究
华南金融研究,金融经济学研究
贵州财经学院学报,贵州财经大学学报
广东商学院学报,广东财经大学学报
中南财经大学学报,中南财经政法大学学报
云南财贸学院学报,云南财经大学学报
决策借鉴,管理科学
财经论丛浙江财经学院学报,财经论丛
现代财经天津财经大学学报,现代财经
系统工程理论方法应用,系统管理学报
国际商务对外经济贸易大学学报,国际商务
中外管理导报,管理评论
法商研究中南政法学院学报,法商研究
法律科学西北政法大学学报,法律科学
法律科学西北政法学院学报,法律科学
人民论坛·学术前沿,学术前沿
内蒙古社会科学汉文版,内蒙古社会科学
南京大学学报哲学·人文科学·社会科学,南京大学学报
南京大学学报哲学,南京大学学报
北京师范大学学报人文社会科学版,北京师范大学学报社会科学版
山东大学学报人文社会科学版,山东大学学报哲学社会科学版
东北师大学报哲学社会科学版,东北师大学报
西藏大学学报汉文版,西藏大学学报社会科学版
南通大学学报哲学社会科学版,南通大学学报社会科学版
南通师范学院学报哲学社会科学版,南通大学学报社会科学版
北京商学院学报,北京工商大学学报社会科学版
杭州商学院学报,浙江工商大学学报
浙江省政法管理干部学院学报,浙江工商大学学报
中央民族大学学报,中央民族大学学报哲学社会科学版
中南民族学院学报人文社会科学版,中南民族大学学报人文社会科学版
课程·教材·教法,课程
历史教学下半月刊,历史教学
历史教学高校版,历史教学
国外外语教学,外语教学理论与实践
音乐艺术上海音乐学院学报,音乐艺术
南开学报哲学社会科学版,南开学报
兰州大学学报社会科学版,兰州大学学报
中南工业大学学报社会科学版,中南大学学报社会科学版
安徽大学学报哲学社会科学版,安徽大学学报
新疆大学学报哲学·人文社会科学版,新疆大学学报哲学人文社会科学版
新疆大学学报哲学社会科学版,新疆大学学报哲学人文社会科学版
江西师范大学学报哲学社会科学版,江西师范大学学报
华中科技大学学报人文社会科学版,华中科技大学学报社会科学版
云南民族学院学报哲学社会科学版,云南民族大学学报哲学社会科学版
广西民族学院学报哲学社会科学版,广西民族大学学报哲学社会科学版
现代传播中国传媒大学学报,现代传播
南京艺术学院学报美术与设计版,南京艺术学院学报
南京艺术学院学报美术及设计版,南京艺术学院学报
南京艺术学院学报美术与设计,南京艺术学院学报
南京艺术学院学报美术&设计版,南京艺术学院学报
南京艺术学院学报音乐及表演版,南京艺术学院学报2
南京艺术学院学报音乐与表演版,南京艺术学院学报2
南京艺术学院学报音乐与表演,南京艺术学院学报2
南京艺术学院学报音乐&表演版,南京艺术学院学报2
市场与人口分析,人口与发展
武汉大学学报社会科学版,武汉大学学报哲学社会科学版
西南大学学报人文社会科学版,西南大学学报社会科学版
西南师范大学学报人文社会科学版,西南大学学报社会科学版
苏州大学学报哲学社会科学版,苏州大学学报
上海交通大学学报社会科学版,上海交通大学学报哲学社会科学版
暨南学报人文科学与社会科学版,暨南学报哲学社会科学
西南民族大学学报人文社会科学版,西南民族大学学报
西南民族大学学报人文社科版,西南民族大学学报
西南民族学院学报哲学社会科学版,西南民族大学学报
教育与现代化,研究生教育研究
湘潭大学社会科学学报,湘潭大学学报哲学社会科学版
湘潭工学院学报社会科学版,湖南科技大学学报社会科学版
中央民族大学学报哲学社会科学版哲学社会科学版,中央民族大学学报哲学社会科学版
课程教材教法,课程
外交评论外交学院学报,外交评论
外交学院学报,外交评论
法律科学.西北政法学院学报,法律科学
修辞学习,当代修辞学
学科教育,教育学报
科学技术与辩证法,科学技术哲学研究
现代图书情报技术,数据分析与知识发现
华东政法学院学报,华东政法大学学报
欧洲研究,欧洲
城市规划汇刊,城市规划学刊
江苏大学学报高教研究版,高校教育管理
镇江师专学报社会科学版,高校教育管理
高等师范教育研究,教师教育研究
北京联合大学学报人文社会科学版,北京联合大学学报
饰,艺术设计研究
装艺术设计研究,装饰
美苑,艺术工作
中国历史文物,中国国家博物馆馆刊
南京审计学院学报,南京审计大学学报
世界贸易组织动态与研究,上海对外经贸大学学报
陕西经贸学院学报,西安财经学院学报
重庆工商大学学报西部论坛,西部论坛
重庆工商大学学报,西部论坛
重庆商学院学报,西部论坛
青岛海洋大学学报社会科学版,中国海洋大学学报社会科学版
自贡师范高等专科学校学报,上海对外经贸大学学报
江西教育科研,教育学术月刊
新乡教育学院学报,管理学刊
科学对社会的影响,科学与社会
社会保障研究北京,社会保障研究
暨南大学华文学院学报,华文教学与研究
上海科技翻译,上海翻译
西安外国语学院学报,西安外国语大学学报
国际关系学院学报,国际安全研究
中国青年政治学院学报,中国青年社会科学
税务与经济长春税务学院学报,税务与经济
西北民族学院学报哲学社会科学版,西北民族大学学报哲学社会科学版
西藏民族学院学报哲学社会科学版,西藏民族大学学报哲学社会科学版
黑龙江财专学报,哈尔滨商业大学学报社会科学版
国外城市规划,国际城市规划
中国高校科技与产业化学术版,中国高校科技
中国高校科技与产业化,中国高校科技
中国高校技术市场,中国高校科技
交通高教研究,高教发展与评估
教育理论与实践学科版,教育理论与实践
建筑管理现代化,管理现代化
外国文学动态研究,外国文学动态
上海立信会计学院学报,会计与经济研究
立信会计高等专科学校学报,会计与经济研究
山东经济,经济与管理评论
阿拉伯世界研究,阿拉伯世界
戏剧中央戏剧学院学报,戏剧
北方民族大学学报哲学社会科学版,北方民族大学学报
戏剧中央戏剧学院学报,戏剧
法律适用国家法官学院学报,法律适用
杭州师范学院学报人文社会科学版,杭州师范大学学报社会科学版
杭州师范学院学报社会科学版,杭州师范大学学报社会科学版
华侨大学学报人文社会科学版,华侨大学学报哲学社会科学版
江苏理工大学学报社会科学版,江苏大学学报社会科学版
南京化工大学学报哲学社会科学版,南京工业大学学报社会科学版
山东师大学报人文社会科学版,山东师范大学学报人文社会科学版
体育文史,体育文化导刊
西北第二民族学院学报哲学社会科学版,北方民族大学学报
中学教育,基础教育
俄罗斯东欧中亚研究,东欧中亚研究
俄罗斯中亚东欧研究,东欧中亚研究
机械工业高教研究,大学教育科学
武汉大学学报社会科学版,武汉大学学报哲学社会科学版
经济前沿,产经评论
暨南大学华文学院学报,华文教学与研究
高校理论战线,中国高校社会科学
中文自学指导,现代中文学刊
辽宁教育研究,现代教育管理
东南大学学报社会科学版,东南大学学报哲学社会科学版
中南民族学院学报哲学社会科学版,中南民族大学学报人文社会科学版
中国农业大学社会科学学报,中国农业大学学报社会科学版
中国历史博物馆馆刊,中国国家博物馆馆刊
北京体育师范学院学报,首都体育学院学报
北京图书馆馆刊,国家图书馆学刊
华东理工大学学报文科版,华东理工大学学报社会科学版
华东理工大学学报社科版,华东理工大学学报社会科学版
华中理工大学学报社会科学版,华中科技大学学报社会科学版
南通师专学报社会科学版,南通大学学报社会科学版
同济大学学报人文·社会科学版,同济大学学报社会科学版
哲学译丛,世界哲学
商学论坛,广东财经大学学报
四川师范大学学报哲学社会科学版,四川师范大学学报社会科学版
国家高级教育行政学院学报,国家教育行政学院学报
国际汉学,国际汉学
国际经贸研究,南开管理评论
地质技术经济管理,当代经济管理
外国教育资料,全球教育展望
外国法译评,环球法律评论
外国语上海外国语学院学报,外国语上海外国语大学学报
天津师大学报社会科学版,天津师范大学学报社会科学版
安徽师大学报哲学社会科学版,安徽师范大学学报人文社会科学版
山东大学学报哲社版,山东大学学报哲学社会科学版
山东师大学报社会科学版,山东师范大学学报人文社会科学版
山东法学,法学论坛
延边大学学报哲学社会科学版,延边大学学报社会科学版
心理学动态,心理科学进展
报刊管理,传媒
新疆新闻界,当代传播
新疆社会经济,新疆社会科学
杭州师范学院学报,杭州师范大学学报社会科学版
武汉大学学报人文社会科学版,武汉大学学报人文科学版
武汉水利电力大学学报社会科学版,武汉大学学报哲学社会科学版
江苏图书馆学报,新世纪图书馆
河南大学学报社科版,河南大学学报社会科学版
浙江大学学报社会科学版,浙江大学学报人文社会科学版
海南大学学报社会科学版,海南大学学报人文社会科学版
湖北民族学院学报社会科学版,湖北民族学院学报哲学社会科学版
湖南教育学院学报,湖南师范大学教育科学学报
湘潭大学学报社会科学版,湘潭大学学报哲学社会科学版
特区与港澳经济,产经评论
福建学刊,东南学术
福建论坛文史哲版,福建论坛人文社会科学版
科学与社会中文版,科学与社会
立信学刊,会计与经济研究
自贡师专学报,四川理工学院学报社会科学版
西南师范大学学报哲学社会科学版,西南大学学报社会科学版
西藏民族学院学报社会科学版,西藏民族大学学报哲学社会科学版
解放军外语学院学报,解放军外国语学院学报
辽宁高等教育研究,现代教育管理
郑州大学学报社会科学版,郑州大学学报哲学社会科学版
音乐学习与研究,天津音乐学院学报
民族团结,中国民族
河南金融管理干部学院学报,征信
涉外税务,国际税收
银行与企业,武汉金融
事业财会,财务与金融
教育导刊幼儿教育,教育导刊
上海师范大学学报哲学社会科学版,上海师范大学学报哲学社会科学
上海高教研究,教育发展研究
中国文学研究辑刊,中国文学研究
中国渔业经济研究,中国渔业经济
中国电大教育,中国远程教育
中大管理研究,管理学季刊
中央检察官管理学院学报,国家检察官学院学报
云南大学学报哲学社会科学版,云南大学学报社会科学版
云南学术探索,学术探索
产业经济评论山东大学,产业经济评论
今日东欧中亚,俄罗斯研究
中国人民公安大学学报社会科学版,公安大学学报
中国人民公安大学学报,公安大学学报
公安大学学报社会科学版,公安大学学报
内蒙古大学学报人文社会科学版,内蒙古大学学报哲学社会科学版
内蒙古大学学报人文,内蒙古大学学报哲学社会科学版
内部文稿,红旗文稿
励耘学刊文学卷,励耘学刊
励耘学刊语言卷,励耘学刊
南京体育学院学报社会科学版,南京体育学院学报
南昌大学学报社会科学版,南昌大学学报人文社会科学版
厦门大学学报哲学社会科学版,厦门大学学报哲学社会科学版
古代文学理论研究第三十一辑——中国文论的方与圆,古代文学理论研究
古代文学理论研究第三十七辑——美的观点与中国文论,古代文学理论研究
古代文学理论研究第三十三辑——中国文化的经典与文体,古代文学理论研究
古代文学理论研究第三十九辑——中国文化的价值论与文体论,古代文学理论研究
古代文学理论研究第三十二辑——中国文论的古与今,古代文学理论研究
古代文学理论研究第三十五辑——中国文论的思想与主体,古代文学理论研究
古代文学理论研究第三十八辑——中国文化的理念、偏好与争论,古代文学理论研究
古代文学理论研究第三十六辑——中国文论与名家典范,古代文学理论研究
古代文学理论研究第三十四辑——中国文论的思想与情境,古代文学理论研究
古代文学理论研究第三十辑——中国文论的直与曲,古代文学理论研究
古代文学理论研究第二十一辑,古代文学理论研究
古代文学理论研究第二十七辑——中国文化论的我与他,古代文学理论研究
古代文学理论研究第二十三辑,古代文学理论研究
古代文学理论研究第二十九辑——中国文论的两轮,古代文学理论研究
古代文学理论研究第二十二辑,古代文学理论研究
古代文学理论研究第二十五辑——中国文论的情与体,古代文学理论研究
古代文学理论研究第二十八辑——中国文论的道与艺,古代文学理论研究
古代文学理论研究第二十六辑——中国文论的史与用,古代文学理论研究
古代文学理论研究第二十四辑——中国文论的常与变,古代文学理论研究
古代文学理论研究第二十辑,古代文学理论研究
古代文学理论研究第十九辑,古代文学理论研究
古代文学理论研究第四十一辑——中国文论的诠释学传统,古代文学理论研究
古代文学理论研究第四十辑——中国文论的思想与智慧,古代文学理论研究
四川外语学院学报,外国语文
基督教思想评论第十八辑,基督教思想评论
基督教思想评论总第二十一辑,基督教思想评论
基督教思想评论总第二十辑,基督教思想评论
外国哲学第14辑,外国哲学
外国哲学第15辑,外国哲学
外国哲学第16辑,外国哲学
外国哲学第17辑,外国哲学
外国哲学第18辑,外国哲学
外国哲学第19辑,外国哲学
外国哲学第20辑,外国哲学
外国哲学第21辑,外国哲学
外国哲学第22辑,外国哲学
外国哲学第23辑,外国哲学
外国哲学第24辑,外国哲学
外国哲学第25辑,外国哲学
外国哲学第26辑,外国哲学
外国哲学第27辑,外国哲学
外国哲学第28辑,外国哲学
外国哲学第29辑,外国哲学
外国哲学第30辑,外国哲学
外国哲学第31辑,外国哲学
外国哲学第32辑,外国哲学
黄钟中国,黄钟
黄钟武汉音乐学院学报,黄钟
高校社会科学研究和理论教学,思想理论教育导刊
资源·产业,资源与产业
经济改革与发展,宏观经济研究
系统辩证学学报,系统科学学报
矿产资源开发,资源与产业
电大教学,远程教育杂志
甲骨文與殷商史,甲骨文与殷商史
理论学习月刊,中共福建省委党校学报
燧石,理论视野
燕赵学术,中国语言文学研究
清华政治经济学报,政治经济学报
注册会计师通讯,中国注册会计师
河海大学学报社会科学版,河海大学学报哲学社会科学版
武汉交通科技大学学报哲学社会科学版,武汉理工大学学报社会科学版
武汉交通科技大学学报社会科学版,武汉理工大学学报社会科学版
有色金属高教研究,现代大学教育
暨南学报哲学社会科学版版,暨南学报哲学社会科学
暨南学报哲学社会科学版,暨南学报哲学社会科学
新闻通讯,传媒观察
新疆大学学报社会科学版,新疆大学学报哲学人文社会科学版
文学评论丛刊,文学研究
思想·理论·教育,思想理论教育
徐州师范大学学报哲学社会科学版,江苏师范大学学报哲学社会科学版
徐州师范大学学报,江苏师范大学学报哲学社会科学版
形象史学研究,形象史学
当代港澳研究,当代港澳
广东金融,南方金融
工会理论与实践中国工运学院学报,中国劳动关系学院学报
工会理论与实践,中国劳动关系学院学报
山东教育科研,当代教育科学
学校党建与思想教育上半月,学校党建与思想教育
大学出版,现代出版
上海师范大学学报基础教育版,现代基础教育研究
中国电子出版,中国电子与网络出版
中国科技史料,中国科技史杂志
中国考试研究版,中国考试
亚非纵横,亚太安全与海洋研究
北方交通大学学报社会科学版,北京交通大学学报社会科学版
复旦公共政策评论,复旦公共行政评论
武汉教育学院学报,江汉学术
新闻爱好者理论版,新闻爱好者
江汉大学学报人文社会科学版,江汉学术
江汉大学学报人文科学版,江汉学术
江西农业大学学报社会科学版,农林经济管理学报
青海民族学院学报社会科学版,青海民族大学学报社会科学版
济南大学学报综合版,济南大学学报
济南大学学报社会科学版,济南大学学报
社会工作下半月理论,社会工作
社会工作下半月,社会工作
社会工作学术版,社会工作
青海民族学院学报,青海民族大学学报社会科学版
