,author_unit_first
1,首都经贸大学
2,中国社科院工业经济研究所
4,国内专用通信局
5,中国社科院法学所
9,北京农商银行
11,国防科技大学
13,国防科技大学
14,上海立信会计学院
15,上海对外贸易学院
16,上海立信会计学院
17,中债资信评估有限责任公司
18,湖南湘潭大学
19,南京审计学院
20,上海立信会计学院
22,中国社科院世界经济与政治研究所
25,南京审计学院
26,中债资信评估有限责任公司
27,上海立信会计学院
28,中国社科院财经战略研究院
29,浙江财经学院
30,上海立信会计学院
31,南京审计学院
32,瑞银证券
33,南京审计学院
34,广州中山大学
35,国家发改委经济研究所
36,南京审计学院
40,上海立信会计学院
41,南京审计学院
42,广东商学院
43,长春税务学院
44,襄樊学院
45,浙江财经学院
46,上海立信会计学院
47,南京审计学院
48,浙江财经学院
49,浙江财经学院
50,山东经济学院
51,上海立信会计学院
52,中国社科院经济研究所
53,长春税务学院
54,上海立信会计学院
55,浙江财经学院
56,中国国防大学
57,中国财政金融政策研究中心
58,浙江财经学院
60,上海对外贸易学院
61,上海立信会计学院
62,河南财经学院
63,中国社科院数量经济技术经济研究所
64,建银国际(控股)有限公司
65,武汉华中科技大学
66,University
67,南京审计学院
68,中国建设银行
69,中科院研究生院管理学院
70,重庆工学院
71,大公国际资信评估有限公司
74,江苏社会科学院
75,浙江财经学院
77,中国工商银行
78,云南财贸学院
80,南方基金管理公司
81,中国社科院世经政所博士后流动站
82,United
84,河南财经学院
85,杭州商学院
88,中国建设银行
89,国通证券
90,解放军南京政治学院
91,杭州商学院
93,宏源证券
94,湛江海洋大学
95,中国工商银行
96,中证金融研究院
98,中国社科院金融研究所
99,中国社科院金融所
100,金融评论
102,南京审计学院
103,金融评论
104,上海对外贸易学院
105,南京审计学院
107,金融评论
108,中国工商银行
110,韩国资本市场化研究院
111,中国社科院金融所
112,福建莆田学院
113,金融评论
114,中国工商银行
115,金融学季刊
117,中国工商银行
118,中国工商银行
119,中国社科院世界经济与政治研究所
120,中国工商银行
121,中国工商银行
122,中国工商银行
123,中国工商银行
124,中国工商银行
125,中国建设银行
126,中国工商银行
127,中国工商银行
128,中银国际研究公司
129,中国建设银行
130,中国工商银行
131,中国工商银行
132,兵团经济研究所
134,中国建设银行
135,工银金融租赁有限公司
136,中国工商银行
137,中国工商银行
138,博鳌亚洲论坛
139,中国工商银行
140,中国工商银行
141,中国工商银行
142,中国工商银行
143,中国工商银行
144,中国工商银行
145,中国建设银行
146,中国工商银行
147,社科院财经战略研究院
148,中国工商银行
149,中国工商银行
150,中国工商银行
151,全国人大财经委
152,中国工商银行
153,国家发改委
154,中国工商银行
155,中国工商银行
156,中国工商银行
157,中国工商银行
158,中国工商银行
159,中国工商银行
160,中国工商银行
161,中国工商银行
162,苏州科技学院
163,中国工商银行
164,中国工商银行
165,中国工商银行
166,中国工商银行
167,中国工商银行
168,浦发银行
169,中国工商银行
170,中国工商银行
171,中国工商银行
172,中国工商银行
173,中国建设银行
174,中国工商银行
175,中国工商银行
176,中国工商银行
177,中国工商银行
178,中国工商银行
179,上海立信会计学院
180,中国工商银行
181,中国工商银行
182,中国工商银行
183,中国工商银行
184,中国工商银行
185,中国工商银行
186,中国工商银行
187,中国工商银行
188,中国工商银行
189,广东商学院
190,中国工商银行
191,中国工商银行
192,中国工商银行
193,中国工商银行
194,中国工商银行
195,中国工商银行
196,中国工商银行
197,中国工商银行
198,中国工商银行
199,中国工商银行
200,中国工商银行
201,中国工商银行
202,中国工商银行
203,中国工商银行
204,中国工商银行
205,中国工商银行
206,广东商学院
207,中国工商银行
208,中国工商银行
209,中国工商银行
210,中国工商银行
211,中国工商银行
212,中国工商银行
213,中国工商银行
214,中国工商银行
215,中国工商银行
216,中国工商银行
217,中国工商银行
218,新疆石河子大学
220,中国工商银行
221,中国工商银行
222,中国工商银行
223,中国工商银行
224,中国工商银行
225,中国工商银行
226,中国工商银行
227,中国工商银行
228,中国工商银行
229,中国工商银行
230,南京审计学院
231,广东商学院
232,中国工商银行
233,中国工商银行
234,中国工商银行
235,中国工商银行
236,中国工商银行
237,中国工商银行
238,中国工商银行
239,中国工商银行
240,西藏民族学院
241,中国工商银行
242,中国工商银行
243,中国工商银行
244,中国工商银行
245,深圳发展银行
246,中国工商银行
247,中国工商银行
249,中国工商银行
250,上海立信会计学院
251,中国工商银行
252,中国工商银行
253,中国工商银行
254,中国工商银行
255,中国工商银行
256,中国工商银行
