site_id_org,site_id,site_name,city_name,city_code,site_jd,site_wd
date,date,,,,,
hour,hour,,,,,
type,type,,,,,
1022A,a1022,,,,,
1289A,a1289,,,,,
1892A,a1892,,,,,
1001A,beijing01,万寿西宫,北京,1100,116.366,39.8673
1002A,beijing02,定陵,北京,1100,116.17,40.2865
1003A,beijing03,东四,北京,1100,116.434,39.9522
1004A,beijing04,天坛,北京,1100,116.434,39.8745
1005A,beijing05,农展馆,北京,1100,116.473,39.9716
1006A,beijing06,官园,北京,1100,116.361,39.9425
1007A,beijing07,海淀区万柳,北京,1100,116.315,39.9934
1008A,beijing08,顺义新城,北京,1100,116.72,40.1438
1009A,beijing09,怀柔镇,北京,1100,116.644,40.3937
1010A,beijing10,昌平镇,北京,1100,116.23,40.1952
1011A,beijing11,奥体中心,北京,1100,116.407,40.0031
1012A,beijing12,古城,北京,1100,116.225,39.9279
1013A,tianjin01,市监测中心,天津,1200,117.151,39.097
1014A,tianjin02,南口路,天津,1200,117.193,39.173
1015A,tianjin03,勤俭路,天津,1200,117.145,39.1654
1016A,tianjin04,南京路,天津,1200,117.184,39.1205
1017A,tianjin05,大直沽八号路,天津,1200,117.237,39.1082
1018A,tianjin06,前进路,天津,1200,117.202,39.0927
1019A,tianjin07,北辰科技园区,天津,1200,117.184,39.2133
1020A,tianjin08,天山路,天津,1200,117.269,39.1337
1021A,tianjin09,跃进路,天津,1200,117.307,39.0877
1023A,tianjin10,第四大街,天津,1200,117.707,39.0343
1024A,tianjin11,永明路,天津,1200,117.457,38.8394
1025A,tianjin12,航天路,天津,1200,117.401,39.124
1026A,tianjin13,汉北路,天津,1200,117.764,39.1587
1027A,tianjin14,团泊洼,天津,1200,117.157,38.9194
1028A,shijiazhuang01,化工学校,石家庄,1301,114.522,38.049
1029A,shijiazhuang02,职工医院,石家庄,1301,114.455,38.0513
1030A,shijiazhuang03,高新区,石家庄,1301,114.605,38.0398
1031A,shijiazhuang04,西北水源,石家庄,1301,114.502,38.1398
1032A,shijiazhuang05,西南高教,石家庄,1301,114.459,38.0058
1033A,shijiazhuang06,世纪公园,石家庄,1301,114.533,38.0178
1034A,shijiazhuang07,人民会堂,石家庄,1301,114.521,38.0524
1035A,shijiazhuang08,封龙山,石家庄,1301,114.354,37.9097
1036A,tangshan01,供销社,唐山,1302,118.166,39.6308
1037A,tangshan02,雷达站,唐山,1302,118.144,39.643
1038A,tangshan03,物资局,唐山,1302,118.185,39.6407
1039A,tangshan04,陶瓷公司,唐山,1302,118.218,39.6679
1040A,tangshan05,十二中,唐山,1302,118.184,39.6578
1041A,tangshan06,小山,唐山,1302,118.2,39.6295
1042A,qinhuangdao01,北戴河环保局,秦皇岛,1303,119.526,39.8283
1043A,qinhuangdao02,第一关,秦皇岛,1303,119.762,40.0181
1044A,qinhuangdao03,监测站,秦皇岛,1303,119.602,39.9567
1045A,qinhuangdao04,市政府,秦皇岛,1303,119.607,39.9358
1046A,qinhuangdao05,建设大厦,秦皇岛,1303,119.537,39.9419
1047A,handan01,环保局,邯郸,1304,114.513,36.6176
1048A,handan02,东污水处理厂,邯郸,1304,114.543,36.6164
1049A,handan03,矿院,邯郸,1304,114.504,36.5776
1050A,handan04,丛台公园,邯郸,1304,114.496,36.6198
1051A,baoding01,游泳馆,保定,1306,115.493,38.8632
1052A,baoding02,华电二区,保定,1306,115.522,38.8957
1053A,baoding03,接待中心,保定,1306,115.471,38.9108
1054A,baoding04,地表水厂,保定,1306,115.461,38.8416
1055A,baoding05,胶片厂,保定,1306,115.442,38.8756
1056A,baoding06,监测站,保定,1306,115.521,38.8707
1057A,zhangjiakou01,人民公园,张家口,1307,114.898,40.8367
1058A,zhangjiakou02,探机厂,张家口,1307,114.892,40.7948
1059A,zhangjiakou03,五金库,张家口,1307,114.881,40.8115
1060A,zhangjiakou04,世纪豪园,张家口,1307,114.903,40.7688
1061A,zhangjiakou05,北泵房,张家口,1307,114.904,40.8725
1062A,chengde01,铁路,承德,1308,117.966,40.9161
1063A,chengde02,中国银行,承德,1308,117.952,40.9843
1064A,chengde03,开发区,承德,1308,117.963,40.9359
1065A,chengde04,文化中心,承德,1308,117.818,40.9733
1066A,chengde05,离宫,承德,1308,117.938,41.0112
1067A,langfang01,药材公司,廊坊,1310,116.684,39.5178
1068A,langfang02,开发区,廊坊,1310,116.773,39.5747
1069A,langfang03,环境监测监理中心,廊坊,1310,116.715,39.5571
1070A,langfang04,北华航天学院,廊坊,1310,116.746,39.5343
1071A,cangzhou01,沧县城建局,沧州,1309,116.885,38.2991
1072A,cangzhou02,电视转播站,沧州,1309,116.858,38.3254
1073A,cangzhou03,市环保局,沧州,1309,116.871,38.3228
1074A,hengshui01,电机北厂,衡水,1311,115.695,37.7575
1075A,hengshui02,市监测站,衡水,1311,115.643,37.7379
1076A,hengshui03,市环保局,衡水,1311,115.691,37.739
1077A,xingtai01,达活泉,邢台,1305,114.482,37.0967
1078A,xingtai02,邢师高专,邢台,1305,114.526,37.0533
1079A,xingtai03,路桥公司,邢台,1305,114.533,37.0964
1080A,xingtai04,市环保局,邢台,1305,114.485,37.062
1081A,taiyuan01,尖草坪,太原,1401,112.522,37.8873
1082A,taiyuan02,涧河,太原,1401,112.573,37.9103
1083A,taiyuan03,上兰,太原,1401,112.434,38.0108
1084A,taiyuan04,晋源,太原,1401,112.469,37.7124
1085A,taiyuan05,小店,太原,1401,112.558,37.7394
1086A,taiyuan06,桃园,太原,1401,112.537,37.8692
1087A,taiyuan07,坞城,太原,1401,112.57,37.8195
1088A,taiyuan08,南寨,太原,1401,112.549,37.9854
1089A,taiyuan09,金胜,太原,1401,112.488,37.7805
1090A,huhehaote01,呼市一监,呼和浩特,1501,111.651,40.7579
1091A,huhehaote02,小召,呼和浩特,1501,111.658,40.8033
1092A,huhehaote03,兴松小区,呼和浩特,1501,111.659,40.8452
1093A,huhehaote04,糖厂,呼和浩特,1501,111.608,40.8144
1094A,huhehaote05,如意水处理厂,呼和浩特,1501,111.751,40.8369
1095A,huhehaote06,二十九中,呼和浩特,1501,111.728,40.8062
1096A,huhehaote07,工大金川校区,呼和浩特,1501,111.551,40.7866
1097A,huhehaote08,化肥厂生活区,呼和浩特,1501,111.717,40.7612
1098A,shenyang01,森林路,沈阳,2101,123.684,41.9339
1099A,shenyang02,浑南东路,沈阳,2101,123.535,41.7561
1100A,shenyang03,新秀街,沈阳,2101,123.439,41.7089
1101A,shenyang04,沧海路,沈阳,2101,123.284,41.7694
1102A,shenyang05,东陵路,沈阳,2101,123.542,41.8336
1103A,shenyang06,陵东街,沈阳,2101,123.428,41.8472
1104A,shenyang07,文化路,沈阳,2101,123.41,41.765
1105A,shenyang08,小河沿,沈阳,2101,123.478,41.7775
1106A,shenyang09,太原街,沈阳,2101,123.4,41.7972
1107A,shenyang10,南十东路,沈阳,2101,123.361,41.7806
1108A,shenyang11,京沈街,沈阳,2101,123.378,41.9228
1109A,dalian01,甘井子,大连,2102,121.612,38.9739
1110A,dalian02,周水子,大连,2102,121.565,38.9511
1111A,dalian03,星海三站,大连,2102,121.564,38.885
1112A,dalian04,青泥洼桥,大连,2102,121.633,38.9119
1113A,dalian05,傅家庄,大连,2102,121.625,38.8639
1114A,dalian06,七贤岭,大连,2102,121.518,38.8561
1115A,dalian07,旅顺,大连,2102,121.259,38.8081
1116A,dalian08,金州,大连,2102,121.748,39.1311
1117A,dalian09,开发区,大连,2102,121.777,39.0511
1118A,dalian10,双D港,大连,2102,121.977,39.0631
1119A,changchun01,食品厂,长春,2201,125.323,43.9167
1120A,changchun02,客车厂,长春,2201,125.287,43.91
1121A,changchun03,邮电学院,长春,2201,125.279,43.84
1122A,changchun04,劳动公园,长春,2201,125.365,43.8748
1123A,changchun05,园林处,长春,2201,125.325,43.8694
1124A,changchun06,净月潭,长春,2201,125.454,43.7878
1125A,changchun07,甩湾子,长春,2201,125.633,43.55
1126A,changchun08,经开区环卫处,长春,2201,125.417,43.8667
1127A,changchun09,高新区管委会,长春,2201,125.25,43.8167
1128A,changchun10,岱山公园,长春,2201,125.217,43.85
1129A,haerbin01,岭北,哈尔滨,2301,126.542,45.755
1130A,haerbin02,松北商大,哈尔滨,2301,126.561,45.8167
1131A,haerbin03,阿城会宁,哈尔滨,2301,126.979,45.5422
1132A,haerbin04,南岗学府路,哈尔滨,2301,126.599,45.7222
1133A,haerbin05,太平宏伟公园,哈尔滨,2301,126.689,45.7733
1134A,haerbin06,道外承德广场,哈尔滨,2301,126.635,45.7667
1135A,haerbin07,香坊红旗大街,哈尔滨,2301,126.685,45.7319
1136A,haerbin08,动力和平路,哈尔滨,2301,126.646,45.7258
1137A,haerbin09,道里建国路,哈尔滨,2301,126.593,45.7478
1138A,haerbin10,平房东轻厂,哈尔滨,2301,126.615,45.61
1139A,haerbin11,呼兰师专,哈尔滨,2301,126.611,45.9819
1140A,haerbin12,省农科院,哈尔滨,2301,126.621,45.6842
1141A,shanghai01,普陀,上海,3100,121.4,31.238
1142A,shanghai02,十五厂,上海,3100,121.478,31.2036
1143A,shanghai03,虹口,上海,3100,121.467,31.3008
1144A,shanghai04,徐汇上师大,上海,3100,121.412,31.1654
1145A,shanghai05,杨浦四漂,上海,3100,121.536,31.2659
1146A,shanghai06,青浦淀山湖,上海,3100,120.978,31.0935
1147A,shanghai07,静安监测站,上海,3100,121.425,31.2261
1148A,shanghai08,浦东川沙,上海,3100,121.703,31.1907
1149A,shanghai09,浦东新区监测站,上海,3100,121.533,31.2284
1150A,shanghai10,浦东张江,上海,3100,121.577,31.2071
1151A,nanjing01,迈皋桥,南京,3201,118.803,32.1083
1152A,nanjing02,草场门,南京,3201,118.749,32.0572
1153A,nanjing03,山西路,南京,3201,118.778,32.0723
1154A,nanjing04,中华门,南京,3201,118.777,32.0144
1155A,nanjing05,瑞金路,南京,3201,118.803,32.0314
1156A,nanjing06,玄武湖,南京,3201,118.795,32.0775
1157A,nanjing07,浦口,南京,3201,118.626,32.0878
1158A,nanjing08,奥体中心,南京,3201,118.737,32.0092
1159A,nanjing09,仙林大学城,南京,3201,118.907,32.105
1160A,szhou01,上方山,苏州,3205,120.561,31.2472
1161A,szhou02,南门,苏州,3205,120.628,31.2864
1162A,szhou03,彩香,苏州,3205,120.591,31.3019
1163A,szhou04,轧钢厂,苏州,3205,120.596,31.3264
1164A,szhou05,吴中区,苏州,3205,120.613,31.2703
1165A,szhou06,苏州新区,苏州,3205,120.543,31.2994
1166A,szhou07,苏州工业园区,苏州,3205,120.669,31.3097
1167A,szhou08,相城区,苏州,3205,120.641,31.3708
1168A,nantong01,南郊,南通,3206,120.913,31.96
1169A,nantong02,虹桥,南通,3206,120.86,32.0005
1170A,nantong03,城中,南通,3206,120.87,32.02
1171A,nantong04,星湖花园,南通,3206,120.94,31.93
1172A,nantong05,紫琅学院,南通,3206,120.81,32.0417
1173A,lianyungang01,市环境监测站,连云港,3207,119.176,34.5885
1174A,lianyungang02,洪门派出所,连云港,3207,119.141,34.5896
1175A,lianyungang03,墟沟核电专家村,连云港,3207,119.368,34.7507
1176A,lianyungang04,开发区恒瑞医药公司,连云港,3207,119.348,34.6984
1177A,xuzhou01,黄河新村,徐州,3203,117.167,34.2761
1178A,xuzhou02,淮塔,徐州,3203,117.192,34.2417
1179A,xuzhou03,铜山兽医院,徐州,3203,117.192,34.3083
1180A,xuzhou04,新城区,徐州,3203,117.256,34.2153
1181A,xuzhou05,桃园路,徐州,3203,117.244,34.2911
1182A,xuzhou06,农科院,徐州,3203,117.293,34.2778
1183A,xuzhou07,铜山区环保局,徐州,3203,117.166,34.1806
1184A,yangzhou01,城东财政所,扬州,3210,119.46,32.3878
1185A,yangzhou02,市监测站,扬州,3210,119.404,32.41
1186A,yangzhou03,邗江监测站,扬州,3210,119.389,32.3761
1187A,yangzhou04,第四医院,扬州,3210,119.439,32.4033
1188A,wuxi01,雪浪,无锡,3202,120.269,31.4867
1189A,wuxi02,黄巷,无锡,3202,120.275,31.6219
1190A,wuxi03,曹张,无锡,3202,120.294,31.56
1191A,wuxi04,漆塘,无锡,3202,120.242,31.5031
1192A,wuxi05,东亭,无锡,3202,120.354,31.5848
1193A,wuxi06,旺庄,无锡,3202,120.354,31.5475
1194A,wuxi07,荣巷,无锡,3202,120.245,31.5631
1195A,wuxi08,堰桥,无锡,3202,120.288,31.6842
1196A,changzhou01,市监测站,常州,3204,119.996,31.7586
1197A,changzhou02,城建学校,常州,3204,119.933,31.7786
1198A,changzhou03,常工院,常州,3204,119.962,31.8089
1199A,changzhou04,潞城,常州,3204,120.039,31.7638
1200A,changzhou05,武进监测站,常州,3204,119.935,31.7039
1201A,changzhou06,安家,常州,3204,119.905,31.9108
1202A,zhenjiang01,环境监测站,镇江,3211,119.458,32.405
1203A,zhenjiang02,新区办事处,镇江,3211,119.68,32.1883
1204A,zhenjiang03,职教中心,镇江,3211,119.491,32.215
1205A,zhenjiang04,丹徒区监测站,镇江,3211,119.43,32.1319
1206A,taizhou01,公园路,泰州,3212,119.9,32.4867
1207A,taizhou02,莲花,泰州,3212,119.922,32.4611
1208A,taizhou03,高港区政府,泰州,3212,119.882,32.303
1209A,taizhou04,留学生创业园,泰州,3212,119.888,32.4639
1210A,huaian01,钵池山,淮安,3208,119.036,33.5981
1211A,huaian02,北京南路,淮安,3208,119.007,33.575
1212A,huaian03,市监测站,淮安,3208,118.989,33.6067
1213A,huaian04,楚州区监测站,淮安,3208,119.135,33.5039
1214A,huaian05,淮阴区监测站,淮安,3208,119.012,33.627
1215A,yancheng01,盐城电厂,盐城,3209,120.118,33.4022
1216A,yancheng02,市监测站,盐城,3209,120.156,33.3942
1217A,yancheng03,文峰中学,盐城,3209,120.129,33.3719
1218A,yancheng04,开发区管委会,盐城,3209,120.225,33.3947
1219A,suqian01,市监测站,宿迁,3213,118.266,33.96
1220A,suqian02,宿迁学院,宿迁,3213,118.293,33.9528
1221A,suqian03,宿迁中学,宿迁,3213,118.244,33.9592
1222A,suqian04,宿豫区环保局,宿迁,3213,118.321,33.9506
1223A,hangzhou01,滨江,杭州,3301,120.211,30.21
