,city_code,city_name,pro_code,pro_name,city_lat,city_long,dist,site_id,site_name
0,1100,北京市,11,北京市,39.9026,116.4013,37,54416,密云
1,1200,天津市,12,天津市,39.0831,117.1947,14,54527,天津
2,1301,石家庄市,13,河北省,38.0417,114.5088,26,53698,石家庄
3,1302,唐山市,13,河北省,39.6292,118.1741,28,54534,唐山
4,1303,秦皇岛市,13,河北省,39.9343,119.5947,53,54449,秦皇岛
5,1304,邯郸市,13,河北省,36.6255,114.5333,60,53798,邢台
6,1305,邢台市,13,河北省,37.0701,114.4989,25,53798,邢台
7,1306,保定市,13,河北省,38.873000000000005,115.4585,50,54602,保定
8,1307,张家口市,13,河北省,40.8231,114.8814,48,53399,张北
9,1308,承德市,13,河北省,40.9525,117.9561,53,54423,承德
10,1309,沧州市,13,河北省,38.3039,116.833,31,54624,黄骅
11,1310,廊坊市,13,河北省,39.537,116.6779,34,54511,北京
12,1311,衡水市,13,河北省,37.7383,115.6643,48,54606,饶阳
13,1401,太原市,14,山西省,37.8704,112.5489,58,53772,太原
14,1402,大同市,14,山西省,40.0756,113.2931,4,53487,大同
15,1403,阳泉市,14,山西省,37.8565,113.5741,46,53687,平定
16,1404,长治市,14,山西省,36.1952,113.1096,15,53884,襄坦
17,1405,晋城市,14,山西省,35.4911,112.8457,59,53975,阳城
18,1406,朔州市,14,山西省,39.3304,112.426,18,53578,朔州
19,1407,晋中市,14,山西省,37.6863,112.7462,49,53772,太原
20,1408,运城市,14,山西省,35.0271,111.0017,5,53959,运城
21,1409,忻州市,14,山西省,38.4161,112.7276,26,53673,原平
22,1410,临汾市,14,山西省,36.0882,111.5126,19,53868,临汾
23,1411,吕梁市,14,山西省,37.5175,111.1379,25,53764,离石
24,1501,呼和浩特市,15,内蒙古自治区,40.8409,111.7422,50,53463,呼和浩特
25,1502,包头市,15,内蒙古自治区,40.6563,109.8346,45,53446,包头市气象台
26,1503,乌海市,15,内蒙古自治区,39.6541,106.7894,64,53519,惠农
27,1504,赤峰市,15,内蒙古自治区,42.2559,118.8807,32,54218,赤峰
28,1505,通辽市,15,内蒙古自治区,43.6502,122.235,32,54135,通辽
29,1506,鄂尔多斯市,15,内蒙古自治区,39.6072,109.7756,19,53543,东胜
30,1507,呼伦贝尔市,15,内蒙古自治区,49.2096,119.7584,25,50527,海拉尔
31,1508,巴彦淖尔市,15,内蒙古自治区,40.7418,107.3821,36,53513,临河
32,1509,乌兰察布市,15,内蒙古自治区,40.993,113.1253,7,53480,集宁
33,1522,兴安盟,15,内蒙古自治区,46.0776,122.06700000000001,4,50838,乌兰浩特
34,1525,锡林郭勒盟,15,内蒙古自治区,43.9335,116.0482,40,54102,锡林浩特
35,1529,阿拉善盟,15,内蒙古自治区,38.8519,105.729,48,53602,阿拉善左旗
36,2101,沈阳市,21,辽宁省,41.8033,123.4253,41,54342,沈阳
37,2102,大连市,21,辽宁省,38.9132,121.6097,45,54662,大连
38,2103,鞍山市,21,辽宁省,41.1067,122.9892,6,54339,鞍山
39,2104,抚顺市,21,辽宁省,41.8787,123.9514,37,54351,抚顺
40,2105,本溪市,21,辽宁省,41.2921,123.7606,27,54346,本溪
41,2106,丹东市,21,辽宁省,39.999,124.34899999999999,12,54497,丹东
42,2107,锦州市,21,辽宁省,41.0931,121.1214,4,54337,锦州
43,2108,营口市,21,辽宁省,40.6654,122.2302,23,54472,海城
44,2109,阜新市,21,辽宁省,42.0195,121.6649,17,54237,阜新
45,2110,辽阳市,21,辽宁省,41.2673,123.167,22,54342,沈阳
46,2111,盘锦市,21,辽宁省,41.1179,122.0652,12,54470,大洼
47,2112,铁岭市,21,辽宁省,42.2207,123.7202,27,54254,开原
48,2113,朝阳市,21,辽宁省,41.5714,120.4447,30,54324,朝阳
49,2114,葫芦岛市,21,辽宁省,40.7096,120.8318,45,54337,锦州
50,2201,长春市,22,吉林省,43.8147,125.3171,34,54161,长春
51,2202,吉林市,22,吉林省,43.8356,126.5439,49,54171,永吉
52,2203,四平市,22,吉林省,43.1639,124.3442,13,54157,四平
53,2204,辽源市,22,吉林省,42.8854,125.1371,37,54260,辽源
54,2205,通化市,22,吉林省,41.7262,125.934,48,54363,通化 
55,2206,白山市,22,吉林省,41.9375,126.4177,34,54276,靖宇
56,2207,松原市,22,吉林省,45.1398,124.8188,25,50949,前郭
57,2208,白城市,22,吉林省,45.6177,122.8331,37,50936,白城
58,2224,延边朝鲜族自治州,22,吉林省,42.8913,129.5089,32,54195,汪清
59,2301,哈尔滨市,23,黑龙江省,45.8018,126.5289,30,50953,哈尔滨
60,2302,齐齐哈尔市,23,黑龙江省,47.3523,123.9116,30,50745,齐齐哈尔
61,2303,鸡西市,23,黑龙江省,45.2929,130.9619,34,50978,鸡西
62,2304,鹤岗市,23,黑龙江省,47.3475,130.2901,97,50873,佳木斯
63,2305,双鸭山市,23,黑龙江省,46.6443,131.151,64,50788,富锦
64,2306,大庆市,23,黑龙江省,46.5881,125.0976,40,50854,安达
65,2307,伊春市,23,黑龙江省,47.7252,128.8341,42,50774,伊春
66,2308,佳木斯市,23,黑龙江省,46.7977,130.3111,37,50873,佳木斯
67,2309,七台河市,23,黑龙江省,45.7695,130.9955,60,50973,勃利
68,2310,牡丹江市,23,黑龙江省,44.5497,129.6261,33,54094,牡丹江
69,2311,黑河市,23,黑龙江省,50.2436,127.5211,20,50468,爱辉
70,2312,绥化市,23,黑龙江省,46.6347,126.9737,42,50853,北林
71,2327,大兴安岭地区,23,黑龙江省,52.3352,124.7111,23,50246,塔河
72,3100,上海市,31,上海市,31.2323,121.4692,18,58362,宝山
73,3201,南京市,32,江苏省,32.0623,118.7917,46,58252,丹徒
74,3202,无锡市,32,江苏省,31.4925,120.3066,16,58354,无锡
75,3203,徐州市,32,江苏省,34.205999999999996,117.2783,17,58027,徐州
76,3204,常州市,32,江苏省,31.8121,119.9697,48,58343,常州
77,3205,苏州市,32,江苏省,31.3011,120.5811,36,58354,无锡
78,3206,南通市,32,江苏省,31.9823,120.8901,29,58259,南通
79,3207,连云港市,32,江苏省,34.5976,119.2157,15,58040,赣榆
80,3208,淮安市,32,江苏省,33.6118,119.0098,48,58143,阜宁
81,3209,盐城市,32,江苏省,33.3488,120.1586,11,58150,射阳
82,3210,扬州市,32,江苏省,32.3961,119.4075,15,58241,高邮
83,3211,镇江市,32,江苏省,32.1897,119.4204,15,58252,丹徒
84,3212,泰州市,32,江苏省,32.458,119.9184,24,58251,东台
85,3213,宿迁市,32,江苏省,33.9633,118.27,20,58038,沭阳
86,3301,杭州市,33,浙江省,30.2764,120.1504,15,58457,杭州
87,3302,宁波市,33,浙江省,29.8709,121.5398,45,58467,慈溪
88,3303,温州市,33,浙江省,27.9975,120.6953,45,58667,玉环
89,3304,嘉兴市,33,浙江省,30.7562,120.7542,50,58464,平湖
90,3305,湖州市,33,浙江省,30.8964,120.08200000000001,23,58358,东山
91,3306,绍兴市,33,浙江省,29.9984,120.58200000000001,9,58553,上虞
92,3307,金华市,33,浙江省,29.081999999999997,119.6427,24,58549,金华
93,3308,衢州市,33,浙江省,28.9732,118.8547,30,58633,衢州
94,3309,舟山市,33,浙江省,29.9878,122.2024,14,58477,定海
95,3310,台州市,33,浙江省,28.6593,121.4163,36,58665,洪家
96,3311,丽水市,33,浙江省,28.471,119.9184,40,58646,丽水
97,3401,合肥市,34,安徽省,31.8234,117.2218,39,58321,合肥
98,3402,芜湖市,34,安徽省,31.3547,118.4275,11,58336,马鞍山
99,3403,蚌埠市,34,安徽省,32.918,117.3839,49,58221,蚌埠
100,3404,淮南市,34,安徽省,32.6275,116.9945,21,58221,蚌埠
101,3405,马鞍山市,34,安徽省,31.6724,118.5016,13,58238,南京
102,3406,淮北市,34,安徽省,33.9573,116.7929,36,58027,徐州
103,3407,铜陵市,34,安徽省,30.9477,117.8067,48,58429,铜陵
104,3408,安庆市,34,安徽省,30.5272,117.0514,44,58429,铜陵
105,3410,黄山市,34,安徽省,29.7171,118.3323,35,58531,屯溪
106,3411,滁州市,34,安徽省,32.3036,118.3117,18,58236,滁州
107,3412,阜阳市,34,安徽省,32.8921,115.8088,53,58203,阜阳
108,3413,宿州市,34,安徽省,33.648,116.959,45,58122,宿州
109,3415,六安市,34,安徽省,31.7357,116.5168,38,58311,六安
110,3416,亳州市,34,安徽省,33.846,115.7731,51,58102,亳州
111,3417,池州市,34,安徽省,30.6671,117.4861,8,58429,铜陵
112,3418,宣城市,34,安徽省,30.9429,118.7537,40,58338,芜湖县
113,3501,福州市,35,福建省,26.0776,119.2917,12,58847,福州
114,3502,厦门市,35,福建省,24.4825,118.0845,21,59134,厦门
115,3503,莆田市,35,福建省,25.4569,119.0031,49,58944,平潭
116,3504,三明市,35,福建省,26.2668,117.6338,48,58834,南平
117,3505,泉州市,35,福建省,24.8747,118.6755,39,59133,崇武
118,3506,漳州市,35,福建省,24.5159,117.6427,35,59126,漳州
119,3507,南平市,35,福建省,26.6451,118.1727,30,58834,南平
120,3508,龙岩市,35,福建省,25.0779,117.0128,5,58927,龙岩
121,3509,宁德市,35,福建省,26.6691,119.5433,37,58846,宁德
122,3601,南昌市,36,江西省,28.6865,115.8532,46,58606,南昌
123,3602,景德镇市,36,江西省,29.2715,117.1731,11,58527,景德镇
124,3603,萍乡市,36,江西省,27.6262,113.8492,40,57793,宜春
125,3604,九江市,36,江西省,29.7076,115.9969,56,58506,庐山
126,3605,新余市,36,江西省,27.8213,114.9126,47,58608,樟树
127,3606,鹰潭市,36,江西省,28.2633,117.0639,11,58626,贵溪
128,3607,赣州市,36,江西省,25.835,114.9303,35,57993,赣县
129,3608,吉安市,36,江西省,27.1164,114.988,27,58705,永丰
130,3609,宜春市,36,江西省,27.8187,114.4115,41,57793,宜春
131,3610,抚州市,36,江西省,27.9524,116.3532,67,58715,南城
132,3611,上饶市,36,江西省,28.4583,117.9385,21,58634,玉山
133,3701,济南市,37,山东省,36.6506,117.1144,32,54727,章丘
134,3702,青岛市,37,山东省,36.0668,120.3775,16,54857,青岛
135,3703,淄博市,37,山东省,36.8126,118.0488,64,54744,垦利
136,3704,枣庄市,37,山东省,34.8113,117.3237,45,54929,费县
137,3705,东营市,37,山东省,37.4341,118.6748,31,54744,垦利
138,3706,烟台市,37,山东省,37.4638,121.4479,33,54764,福山
139,3707,潍坊市,37,山东省,36.7063,119.1559,28,54843,潍坊
140,3708,济宁市,37,山东省,35.4154,116.5818,10,54916,兖州
141,3709,泰安市,37,山东省,36.2,117.0816,5,54826,泰山
142,3710,威海市,37,山东省,37.512,122.1154,25,54774,威海
143,3711,日照市,37,山东省,35.4164,119.5269,23,54945,日照
144,3712,莱芜市,37,山东省,36.2137,117.6709,37,54727,章丘
