city_name,city_code,date,site_id,site_name,temp,gtemp,rain,sunshine,humidity,wind,wind_max,wind_d
大兴安岭地区,2327.0,2017-01-01,50246,塔河,-24.9,-23.2,0.0,4.9,73.0,2.3,3.1,14.0
大兴安岭地区,2327.0,2017-01-02,50246,塔河,-27.2,-25.4,0.0,5.7,70.0,2.4,3.4,13.0
大兴安岭地区,2327.0,2017-01-03,50246,塔河,-29.0,-26.3,0.0,4.6,71.0,1.5,3.0,14.0
大兴安岭地区,2327.0,2017-01-04,50246,塔河,-28.6,-26.8,0.0,5.3,69.0,2.3,3.5,14.0
大兴安岭地区,2327.0,2017-01-05,50246,塔河,-24.0,-22.3,0.0,0.0,71.0,1.9,3.5,14.0
大兴安岭地区,2327.0,2017-01-06,50246,塔河,-24.6,-23.5,0.0,4.9,71.0,1.8,3.1,14.0
大兴安岭地区,2327.0,2017-01-07,50246,塔河,-20.5,-19.7,0.0,0.0,77.0,2.1,3.8,13.0
大兴安岭地区,2327.0,2017-01-08,50246,塔河,-17.3,-19.3,0.0,4.6,72.0,1.8,4.9,13.0
大兴安岭地区,2327.0,2017-01-09,50246,塔河,-22.5,-22.8,0.0,0.0,49.0,3.5,7.6,14.0
大兴安岭地区,2327.0,2017-01-10,50246,塔河,-26.6,-26.8,0.0,6.5,57.0,2.3,5.7,15.0
大兴安岭地区,2327.0,2017-01-11,50246,塔河,-24.7,-26.3,0.0,5.8,55.0,2.2,6.3,15.0
大兴安岭地区,2327.0,2017-01-12,50246,塔河,-19.4,-19.8,0.0,1.1,53.0,3.7,7.4,15.0
大兴安岭地区,2327.0,2017-01-13,50246,塔河,-13.7,-14.4,0.0,0.0,58.0,4.5,6.6,16.0
大兴安岭地区,2327.0,2017-01-14,50246,塔河,-22.2,-21.2,0.0,6.7,69.0,2.3,3.1,10.0
大兴安岭地区,2327.0,2017-01-15,50246,塔河,-21.5,-20.7,0.0,1.2,66.0,1.7,3.0,13.0
大兴安岭地区,2327.0,2017-01-16,50246,塔河,-21.8,-22.8,0.0,6.8,68.0,2.4,3.7,11.0
大兴安岭地区,2327.0,2017-01-17,50246,塔河,-25.7,-25.3,0.0,6.3,68.0,2.6,3.7,13.0
大兴安岭地区,2327.0,2017-01-18,50246,塔河,-25.6,-25.4,0.0,6.9,67.0,2.3,3.4,13.0
