date,aqi,temph
2014/1/1,85,25
2014/1/2,158,25
2014/1/3,74,24
2014/1/4,165,27
2014/1/5,113,25
2014/1/6,190,28
2014/1/7,122,28
2014/1/8,32,27
2014/1/9,49,29
2014/1/10,95,26
2014/1/11,159,24
2014/1/12,52,28
2014/1/13,117,30
2014/1/14,113,34
2014/1/15,180,31
2014/1/16,403,29
2014/1/17,209,25
2014/1/18,113,28
2014/1/19,149,27
2014/1/20,33,21
2014/1/21,68,18
2014/1/22,162,25
2014/1/23,276,29
2014/1/24,195,31
2014/1/25,50,31
2014/1/26,77,30
2014/1/27,114,32
2014/1/28,67,30
2014/2/1,178,31
2014/2/2,85,33
2014/2/3,38,35
2014/2/4,47,36
2014/2/5,119,35
2014/2/6,158,32
2014/2/7,124,35
2014/2/8,84,38
2014/2/9,34,36
2014/2/10,53,33
2014/2/11,142,32
2014/2/12,150,23
2014/2/13,242,27
2014/2/14,329,29
2014/2/15,429,32
2014/2/16,348,28
2014/2/17,118,31
2014/2/18,98,32
2014/2/19,92,31
2014/2/20,270,31
2014/2/21,311,30
2014/2/22,311,32
2014/2/23,255,35
2014/2/24,313,35
2014/2/25,404,30
2014/2/27,37,35
2014/2/28,113,36
2014/3/1,68,34
2014/3/2,189,36
2014/3/3,268,37
2014/3/4,67,35
2014/3/5,50,37
2014/3/6,43,37
2014/3/7,70,22
2014/3/8,179,23
2014/3/9,127,23
2014/3/10,110,29
2014/3/11,195,26
2014/3/12,41,27
2014/3/13,69,25
2014/3/14,64,28
2014/3/15,133,29
2014/3/16,145,29
2014/3/17,142,24
2014/3/18,85,28
2014/3/19,73,31
2014/3/20,44,35
2014/3/21,62,33
2014/3/22,86,28
2014/3/23,186,25
2014/3/24,271,28
2014/3/25,255,27
2014/3/26,331,25
2014/3/27,285,24
2014/3/28,169,31
2014/3/29,63,33
2014/3/30,77,33
2014/4/1,147,30
2014/4/2,133,29
2014/4/3,66,31
2014/4/4,91,30
2014/4/5,68,32
2014/4/6,98,35
2014/4/7,135,36
2014/4/8,223,36
2014/4/9,156,33
2014/4/10,246,35
2014/4/11,83,37
2014/4/12,133,37
2014/4/13,212,32
2014/4/14,270,32
2014/4/15,109,22
2014/4/16,90,24
2014/4/17,124,29
2014/4/18,182,31
2014/4/19,84,27
2014/4/20,84,29
2014/4/21,73,29
2014/4/22,85,31
2014/4/23,156,30
2014/4/24,156,32
2014/4/25,163,31
2014/4/26,69,35
