prov,prov_code,index_18,index_17
北京市,11,368.54,329.94
天津市,12,316.88,284.03
河北省,13,282.77,258.17
山西省,14,283.65,259.95
内蒙古自治区,15,271.57,258.50
辽宁省,21,290.95,267.18
吉林省,22,276.08,254.76
黑龙江省,23,274.73,256.78
上海市,31,377.73,336.65
江苏省,32,334.02,297.69
浙江省,33,357.45,318.05
安徽省,34,303.83,271.60
福建省,35,334.44,299.28
江西省,36,296.23,267.17
山东省,37,301.13,272.06
河南省,41,295.76,266.92
湖北省,42,319.48,285.28
湖南省,43,286.81,261.12
广东省,44,331.92,296.17
广西壮族自治区,45,289.25,261.94
海南省,46,309.72,275.64
重庆市,50,301.53,276.31
四川省,51,294.30,267.80
贵州省,52,276.91,251.46
云南省,53,285.79,256.27
西藏自治区,54,274.33,245.57
陕西省,61,295.95,266.85
甘肃省,62,266.82,243.78
青海省,63,263.12,240.20
宁夏回族自治区,64,272.92,255.59
新疆维吾尔自治区,65,271.84,248.69
,,,
