week,others,prov3,prov2,prov1
1,0.755028191,0.757252932,0.765105077,0.686371292
2,0.512161927,0.521718237,0.34565516,0.315716164
3,0.525944606,0.507329795,0.363375949,0.300024751
4,0.511022605,0.471196815,0.336904382,0.27560735
5,0.567537808,0.491963489,0.327287349,0.277271279
6,0.684709442,0.605921036,0.384930355,0.317398531
7,0.793043603,0.70076104,0.457812906,0.346754847
8,0.822331838,0.742659586,0.650540164,0.350589792
9,0.805709097,0.735947301,0.752351126,0.360595999
10,0.771662919,0.727173429,0.742034341,0.40218838
