county_name,county_name2,county_city,prov_code,prov_name,city_code,city_name,year2017
井陉县,井陉县,130121,13,河北省,1301,石家庄市,104.6508315
正定县,正定县,130123,13,河北省,1301,石家庄市,111.4922919
行唐县,行唐县,130125,13,河北省,1301,石家庄市,100.492792
灵寿县,灵寿县,130126,13,河北省,1301,石家庄市,103.3969674
高邑县,高邑县,130127,13,河北省,1301,石家庄市,106.3561324
深泽县,深泽县,130128,13,河北省,1301,石家庄市,100.4015953
赞皇县,赞皇县,130129,13,河北省,1301,石家庄市,103.3815891
无极县,无极县,130130,13,河北省,1301,石家庄市,101.6806951
平山县,平山县,130131,13,河北省,1301,石家庄市,104.1362628
元氏县,元氏县,130132,13,河北省,1301,石家庄市,104.8513785
赵县,赵县,130133,13,河北省,1301,石家庄市,102.1715112
滦县,滦县,130223,13,河北省,1302,唐山市,101.0357888
滦南县,滦南县,130224,13,河北省,1302,唐山市,103.9167056
乐亭县,乐亭县,130225,13,河北省,1302,唐山市,109.1212829
迁西县,迁西县,130227,13,河北省,1302,唐山市,101.098061
玉田县,玉田县,130229,13,河北省,1302,唐山市,103.9229038
青龙满族自治县,青龙满族自治县,130321,13,河北省,1303,秦皇岛市,98.66855265
昌黎县,昌黎县,130322,13,河北省,1303,秦皇岛市,105.3758143
卢龙县,卢龙县,130324,13,河北省,1303,秦皇岛市,99.05520657
邯郸县,邯郸县,130421,13,河北省,1304,邯郸市,116.0144755
临漳县,临漳县,130423,13,河北省,1304,邯郸市,99.20898613
成安县,成安县,130424,13,河北省,1304,邯郸市,100.8300716
大名县,大名县,130425,13,河北省,1304,邯郸市,100.5424778
涉县,涉县,130426,13,河北省,1304,邯郸市,108.3838265
磁县,磁县,130427,13,河北省,1304,邯郸市,103.744171
邱县,邱县,130430,13,河北省,1304,邯郸市,100.7796077
鸡泽县,鸡泽县,130431,13,河北省,1304,邯郸市,101.1033402
广平县,广平县,130432,13,河北省,1304,邯郸市,102.5164412
馆陶县,馆陶县,130433,13,河北省,1304,邯郸市,105.7547502
魏县,魏县,130434,13,河北省,1304,邯郸市,98.88854226
曲周县,曲周县,130435,13,河北省,1304,邯郸市,100.1113564
邢台县,邢台县,130521,13,河北省,1305,邢台市,104.5529099
临城县,临城县,130522,13,河北省,1305,邢台市,101.857791
内丘县,内丘县,130523,13,河北省,1305,邢台市,105.2340497
柏乡县,柏乡县,130524,13,河北省,1305,邢台市,102.0345071
隆尧县,隆尧县,130525,13,河北省,1305,邢台市,103.9729231
任县,任县,130526,13,河北省,1305,邢台市,102.5718948
南和县,南和县,130527,13,河北省,1305,邢台市,102.0169393
宁晋县,宁晋县,130528,13,河北省,1305,邢台市,101.2575381
巨鹿县,巨鹿县,130529,13,河北省,1305,邢台市,100.8065413
新河县,新河县,130530,13,河北省,1305,邢台市,102.9511922
平乡县,平乡县,130532,13,河北省,1305,邢台市,100.1128943
威县,威县,130533,13,河北省,1305,邢台市,99.06617406
清河县,清河县,130534,13,河北省,1305,邢台市,104.3359662
临西县,临西县,130535,13,河北省,1305,邢台市,102.4841421
涞水县,涞水县,130623,13,河北省,1306,保定市,105.1397974
阜平县,阜平县,130624,13,河北省,1306,保定市,103.1971504
定兴县,定兴县,130626,13,河北省,1306,保定市,102.767887
唐县,唐县,130627,13,河北省,1306,保定市,100.062321
高阳县,高阳县,130628,13,河北省,1306,保定市,104.9591104
容城县,容城县,130629,13,河北省,1306,保定市,105.48394
涞源县,涞源县,130630,13,河北省,1306,保定市,103.4076395
望都县,望都县,130631,13,河北省,1306,保定市,103.8392594
安新县,安新县,130632,13,河北省,1306,保定市,109.3518321
易县,易县,130633,13,河北省,1306,保定市,102.9672655
曲阳县,曲阳县,130634,13,河北省,1306,保定市,101.94998
蠡县,蠡县,130635,13,河北省,1306,保定市,101.5412368
顺平县,顺平县,130636,13,河北省,1306,保定市,103.0693979
