city_name,city_code,year18,year17,year16,year15,year14,year13,year12,year11
北京市,1100,285.41,269.90,243.14,222.21,190.68,178.97,135.73,80.78
天津市,1200,251.07,237.15,213.30,193.66,165.33,151.01,114.74,73.70
石家庄市,1301,246.43,235.14,204.08,181.16,150.43,140.76,98.05,59.25
唐山市,1302,228.87,219.29,193.31,170.82,146.30,133.93,96.38,61.74
秦皇岛市,1303,232.67,225.23,199.42,177.04,149.98,135.52,95.14,56.10
邯郸市,1304,217.72,211.06,185.70,156.09,130.39,116.10,76.76,45.38
邢台市,1305,214.77,205.90,178.10,152.21,113.78,115.50,80.22,41.46
保定市,1306,226.67,214.85,184.76,162.46,134.90,124.45,87.68,45.42
张家口市,1307,220.22,212.76,187.13,161.88,134.30,120.03,83.43,47.19
承德市,1308,215.31,210.91,185.26,159.50,130.33,121.40,81.42,44.82
沧州市,1309,215.63,205.65,180.10,156.15,131.10,120.23,80.38,45.45
廊坊市,1310,249.06,235.25,205.89,183.02,155.96,146.05,104.93,62.22
衡水市,1311,218.05,204.79,179.08,154.30,118.04,115.32,78.36,39.48
太原市,1401,257.79,249.21,229.22,201.10,170.02,153.90,116.45,70.57
大同市,1402,226.56,214.57,185.97,170.26,143.26,135.79,101.21,57.70
阳泉市,1403,224.08,217.03,192.42,170.46,145.80,127.89,86.85,54.30
长治市,1404,222.82,217.62,192.22,165.82,132.94,118.70,74.19,42.03
晋城市,1405,236.34,225.80,200.43,173.43,140.78,126.98,91.06,56.57
朔州市,1406,220.68,209.26,185.83,160.45,131.51,115.03,75.87,36.78
晋中市,1407,227.95,222.43,198.35,169.96,136.30,126.81,89.51,48.82
运城市,1408,226.68,216.75,191.78,164.42,132.10,119.16,78.92,42.60
忻州市,1409,218.92,210.32,187.74,163.21,129.50,108.65,78.62,40.60
临汾市,1410,225.46,215.69,191.36,164.46,133.13,120.06,81.00,41.03
吕梁市,1411,217.94,211.21,185.91,159.80,128.93,114.93,81.00,46.90
呼和浩特市,1501,245.36,246.20,237.67,196.14,156.39,150.32,110.24,62.15
包头市,1502,233.82,230.29,211.84,185.37,150.82,139.52,103.99,61.18
乌海市,1503,235.67,232.20,197.94,189.21,170.95,147.75,98.15,57.30
赤峰市,1504,210.15,206.14,173.70,155.48,135.34,117.17,76.63,40.56
通辽市,1505,203.25,200.50,171.71,157.76,134.03,121.33,81.34,41.91
鄂尔多斯市,1506,232.75,228.36,198.16,179.94,170.39,136.87,100.59,63.43
呼伦贝尔市,1507,214.11,208.44,178.75,167.11,140.93,122.60,83.06,38.39
巴彦淖尔市,1508,219.92,230.95,202.21,163.18,140.69,119.25,90.47,47.37
乌兰察布市,1509,202.14,210.30,173.34,155.51,136.33,120.30,76.22,25.80
兴安盟,1522,201.69,200.41,169.22,150.10,132.63,99.34,70.86,39.45
锡林郭勒盟,1525,222.90,215.28,189.72,169.08,136.92,123.36,88.68,53.34
阿拉善盟,1529,239.45,235.77,203.29,179.56,158.27,150.45,95.86,70.34
沈阳市,2101,254.39,242.40,219.42,197.72,168.81,152.28,111.57,71.56
大连市,2102,253.97,244.83,222.00,199.88,171.06,155.49,115.69,78.96
鞍山市,2103,226.64,215.48,192.18,176.50,151.26,131.57,96.60,55.92
抚顺市,2104,225.96,218.28,200.64,181.43,146.29,131.12,91.61,54.12
本溪市,2105,220.84,213.46,194.26,173.50,149.70,125.46,87.92,54.54
丹东市,2106,221.81,213.64,192.67,172.40,140.93,124.41,91.49,49.06
锦州市,2107,217.08,206.74,185.44,168.12,144.42,123.50,84.36,42.35
营口市,2108,224.63,217.94,196.34,176.74,158.43,133.45,92.85,52.27
阜新市,2109,206.35,201.60,182.47,160.47,129.98,119.52,85.37,42.32
辽阳市,2110,218.94,209.51,192.18,170.04,137.61,118.70,89.97,52.45
盘锦市,2111,233.79,224.00,205.75,180.30,150.82,129.20,99.41,68.49
铁岭市,2112,207.35,200.27,175.68,159.50,130.87,108.78,78.41,37.09
朝阳市,2113,196.28,202.18,168.80,152.18,121.42,103.49,72.86,28.53
葫芦岛市,2114,216.62,202.36,174.75,162.38,142.74,130.23,85.09,40.47
长春市,2201,240.52,232.06,207.28,186.36,154.49,138.20,98.89,54.54
吉林市,2202,227.80,215.61,193.45,173.53,140.69,125.02,90.39,46.25
四平市,2203,207.40,201.05,176.96,155.93,139.53,118.34,78.57,36.44
辽源市,2204,207.49,198.34,177.42,157.54,129.91,106.18,81.80,44.82
通化市,2205,215.87,207.21,184.88,161.96,140.26,112.12,82.09,46.57
白山市,2206,216.88,209.74,186.15,165.90,138.18,126.05,92.02,54.59
松原市,2207,199.77,196.55,171.88,154.52,132.84,96.01,72.40,30.88
白城市,2208,205.22,199.34,174.53,152.45,120.69,99.84,72.71,38.54
延边朝鲜族自治州,2224,227.81,218.26,190.52,171.18,141.62,128.16,92.35,51.55
哈尔滨市,2301,242.59,236.82,212.96,193.37,157.78,139.79,102.49,64.23
齐齐哈尔市,2302,206.04,200.24,179.60,154.73,124.54,112.27,75.00,35.29
鸡西市,2303,212.00,204.56,183.53,160.21,128.24,110.72,82.97,47.69
鹤岗市,2304,215.91,209.19,185.73,165.10,122.71,114.92,90.41,45.23
双鸭山市,2305,208.34,203.70,181.60,158.66,135.95,117.35,86.95,49.31
大庆市,2306,233.48,228.53,209.54,185.77,155.10,144.96,98.25,61.53
伊春市,2307,211.55,205.61,184.36,158.80,146.02,122.26,84.22,47.19
佳木斯市,2308,217.25,212.40,190.90,162.85,141.17,115.19,81.64,48.24
七台河市,2309,208.54,204.71,177.90,154.42,140.82,107.33,77.21,43.65
牡丹江市,2310,224.05,216.38,191.63,171.31,144.92,126.24,81.46,46.62
黑河市,2311,211.32,205.28,183.72,156.27,136.80,110.83,77.29,27.03
绥化市,2312,195.34,189.47,167.91,144.78,112.72,100.45,67.21,26.74
大兴安岭地区,2327,214.95,209.57,182.93,157.04,150.73,114.73,72.68,42.91
上海市,3100,291.44,275.55,238.96,222.45,192.59,182.03,135.03,81.18
南京市,3201,289.18,271.90,244.38,217.24,186.44,173.08,131.13,79.76
无锡市,3202,276.08,260.18,230.50,206.26,178.59,161.77,118.68,78.60
徐州市,3203,253.73,239.33,210.53,181.53,153.79,137.54,101.64,59.82
常州市,3204,279.53,260.34,232.18,206.67,175.81,162.00,120.27,78.45
苏州市,3205,281.97,267.44,236.99,208.81,181.10,165.86,124.29,80.58
南通市,3206,264.52,246.18,217.01,191.11,164.71,150.37,110.42,71.18
连云港市,3207,250.71,236.37,213.45,179.24,149.35,135.98,100.20,57.42
淮安市,3208,254.79,238.80,207.11,175.22,147.23,130.29,94.73,59.14
盐城市,3209,251.02,239.55,211.96,177.64,145.12,133.93,97.46,59.16
扬州市,3210,263.82,251.60,226.78,195.19,163.72,146.75,105.78,68.16
镇江市,3211,267.95,252.55,222.83,197.83,168.42,148.82,110.47,72.64
泰州市,3212,260.34,247.08,220.16,186.47,161.96,145.03,105.41,65.62
宿迁市,3213,249.79,235.77,206.03,170.02,137.83,129.62,89.31,50.35
杭州市,3301,302.98,285.43,246.92,231.13,199.40,189.27,147.96,86.18
宁波市,3302,274.40,258.55,228.33,213.31,186.10,168.04,129.17,81.77
温州市,3303,273.98,260.22,229.53,211.38,180.98,169.68,127.24,81.83
嘉兴市,3304,272.74,252.92,220.65,205.98,175.41,165.88,128.16,86.51
湖州市,3305,269.89,249.64,218.39,201.49,172.70,160.91,119.58,77.79
绍兴市,3306,262.11,245.75,220.60,204.52,175.02,156.07,118.88,77.10
金华市,3307,277.19,253.80,222.10,209.87,179.43,166.92,125.47,79.46
衢州市,3308,260.71,241.64,210.36,194.88,163.35,149.34,107.11,67.99
舟山市,3309,264.49,247.96,222.24,201.37,174.58,157.51,120.64,76.74
台州市,3310,263.88,246.88,218.68,203.35,172.87,160.81,124.81,77.26
丽水市,3311,257.31,241.28,212.82,194.73,164.41,155.93,112.62,74.03
合肥市,3401,272.52,256.24,222.57,201.48,172.25,155.02,114.66,71.58
芜湖市,3402,254.90,241.64,206.82,186.64,159.18,140.36,104.45,57.03
蚌埠市,3403,237.29,221.71,194.19,174.68,145.63,132.85,93.41,55.02
淮南市,3404,232.23,221.89,187.72,176.98,149.01,132.51,99.57,50.92
马鞍山市,3405,249.31,234.34,207.94,187.29,166.44,140.99,108.43,57.10
淮北市,3406,227.74,220.85,224.44,168.80,146.55,120.57,85.54,47.48
铜陵市,3407,237.18,219.11,195.18,191.15,170.17,142.16,113.18,63.69
安庆市,3408,231.25,217.40,193.09,167.70,145.56,125.14,85.25,42.34
黄山市,3410,240.61,227.25,197.97,177.93,154.09,141.73,103.88,59.15
滁州市,3411,236.42,222.28,196.14,171.48,152.03,125.84,85.67,45.43
阜阳市,3412,223.66,211.66,183.15,156.31,127.19,116.76,81.69,36.94
宿州市,3413,216.57,206.39,181.82,154.23,135.80,111.93,77.93,35.41
六安市,3415,232.20,217.60,190.73,161.42,134.70,117.39,78.86,35.28
亳州市,3416,218.95,206.71,180.11,153.13,124.95,104.04,69.89,27.08
池州市,3417,234.76,221.90,198.56,172.78,142.00,127.68,91.46,51.82
宣城市,3418,238.48,223.42,192.92,175.35,155.21,136.96,92.70,56.03
福州市,3501,272.67,257.85,226.29,209.40,179.35,167.15,125.39,77.62
厦门市,3502,284.91,271.24,238.03,218.39,188.26,177.31,131.70,80.28
莆田市,3503,256.47,241.12,212.21,187.90,149.14,142.66,104.12,67.55
三明市,3504,248.22,235.56,209.72,185.86,151.25,139.23,104.36,60.87
泉州市,3505,262.14,243.43,214.54,195.46,160.62,154.36,112.03,70.60
漳州市,3506,252.48,237.96,204.19,184.33,153.83,138.57,98.41,58.47
南平市,3507,243.41,231.95,204.16,183.49,151.90,142.51,103.97,60.77
龙岩市,3508,253.53,240.49,212.80,189.50,158.02,144.30,104.75,63.45
宁德市,3509,256.56,242.78,213.55,193.58,162.22,150.71,112.21,63.67
南昌市,3601,265.13,253.13,218.74,197.52,170.03,152.18,113.21,69.45
景德镇市,3602,238.99,226.16,196.71,177.29,150.24,139.59,97.84,59.37
萍乡市,3603,227.04,218.47,195.97,170.19,141.67,128.96,92.81,51.20
九江市,3604,237.60,225.12,196.78,173.13,145.87,126.60,90.95,50.02
新余市,3605,235.60,222.79,192.85,168.73,153.21,130.47,92.89,41.63
鹰潭市,3606,232.20,219.11,196.20,169.63,156.94,128.65,87.21,46.79
赣州市,3607,236.95,224.36,195.14,169.64,140.38,126.02,88.48,48.38
吉安市,3608,221.07,208.62,184.47,158.32,130.64,116.92,77.68,36.31
宜春市,3609,225.91,211.89,190.64,160.96,132.07,120.08,82.41,42.13
