prov,year,central,west,east,lnploan,plandm,pgdpg,govexp,edu,marketization,open1
anhui,2005,1,0,0,-0.349800866,0.35566 ,10.35488756,0.133278625,7.038595091,6.56,0.140164112
anhui,2006,1,0,0,-0.174427429,0.51341 ,13.17297707,0.153821333,7.337275647,7.15,0.160467611
anhui,2007,1,0,0,-0.012415757,0.80839 ,13.26935417,0.16897809,7.244981996,7.48,0.16600194
anhui,2008,1,0,0,0.124544514,0.74613 ,11.72495601,0.18608095,7.440297782,7.64,0.162049323
anhui,2009,1,0,0,0.415516096,1.00290 ,12.06716802,0.212854851,7.621315327,7.88,0.106032457
anhui,2010,1,0,0,0.653622711,1.83469 ,17.20186638,0.209365253,8.118141332,7.88,0.133249748
beijing,2005,0,0,1,2.196679414,0.64372 ,8.692756721,0.15184877,10.68579576,8.2,1.480770391
beijing,2006,0,0,1,2.291307054,1.23436 ,9.349881104,0.159752642,10.95010531,8.54,1.558975225
beijing,2007,0,0,1,2.389479988,2.29682 ,10.54008073,0.16751635,11.08531178,9.02,1.503478211
beijing,2008,0,0,1,2.467301273,4.05040 ,5.223945121,0.176274017,10.96959221,9.58,1.715893321
beijing,2009,0,0,1,2.673138217,3.94840 ,6.112400265,0.190847182,11.17256699,9.87,1.206112219
beijing,2010,0,0,1,2.712586279,6.72208 ,2.371652662,0.192532026,11.47684835,9.87,1.449753933
fujian,2005,0,0,1,0.35416262,0.67525 ,10.34587084,0.090480252,7.542981633,7.94,0.682590641
fujian,2006,0,0,1,0.586968835,1.44990 ,13.19050709,0.096085761,7.726284971,8.42,0.661629693
fujian,2007,0,0,1,0.803354776,1.97089 ,13.5404637,0.098463215,7.746832144,8.59,0.617493232
fujian,2008,0,0,1,0.968586457,0.64002 ,11.60036758,0.105120479,7.803859371,8.78,0.55010572
fujian,2009,0,0,1,1.215390192,1.80002 ,10.9750864,0.115377791,8.346369465,9.02,0.444200602
fujian,2010,0,0,1,1.416917324,3.08265 ,12.39859798,0.115021795,8.803739291,9.02,0.500668224
gansu,2005,0,1,0,-0.280004587,0.07450 ,10.61601958,0.222002244,6.860003937,4.32,0.111879798
gansu,2006,0,1,0,-0.187242857,0.19188 ,10.38193286,0.232109513,6.777379371,4.58,0.134482165
gansu,2007,0,1,0,-0.058327686,0.14602 ,11.15413747,0.249756729,7.064400319,4.82,0.155910007
gansu,2008,0,1,0,0.068509556,0.20159 ,9.248801944,0.305806329,7.166337256,4.88,0.135063543
